Orthogroup	NEMVE	BRAFL
OG0000020	NEMVE13307	bflo_07448
OG0000020	NEMVE21746	bflo_14450
OG0000020	NEMVE13092	bflo_00687
OG0000020	NEMVE15151	bflo_14415
OG0000021	NEMVE25647	bflo_07173
OG0000021	NEMVE17642, NEMVE17644, NEMVE21888	bflo_12821, bflo_20935
OG0000021	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095	bflo_20505, bflo_09681
OG0000021	NEMVE04837	bflo_27402, bflo_22537, bflo_22539, bflo_22305, bflo_14957, bflo_14617, bflo_14568, bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965
OG0000023	NEMVE01882	bflo_10816, bflo_10061
OG0000023	NEMVE02033, NEMVE05058, NEMVE00878	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512, bflo_20456
OG0000023	NEMVE13647	bflo_03971, bflo_03972, bflo_00874, bflo_06832, bflo_14042
OG0000023	NEMVE18254	bflo_20954
OG0000026	NEMVE24164, NEMVE07469	bflo_26853, bflo_07376
OG0000027	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706	bflo_07313, bflo_06884, bflo_21207, bflo_21232, bflo_21997, bflo_16745, bflo_11436, bflo_08030, bflo_00219, bflo_00221, bflo_00220, bflo_22002, bflo_20174, bflo_13627, bflo_13309, bflo_13311, bflo_13310, bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610
OG0000028	NEMVE07358, NEMVE05350, NEMVE02019	bflo_14636, bflo_15358
OG0000028	NEMVE06026, NEMVE05984	bflo_01235, bflo_02042
