Orthogroup	NEMVE	ASTMX
OG0000031	NEMVE06981	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571
OG0000031	NEMVE07223	ASTMX22712
OG0000031	NEMVE01806	ASTMX12572
OG0000031	NEMVE01412	ASTMX06525
OG0000031	NEMVE02343	ASTMX09693, ASTMX17541
OG0000031	NEMVE04984	ASTMX00710, ASTMX00969, ASTMX17640
OG0000031	NEMVE07820	ASTMX03912, ASTMX00105
OG0000031	NEMVE12067	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725
OG0000031	NEMVE21885	ASTMX00107, ASTMX04176
OG0000031	NEMVE22486	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637
OG0000034	NEMVE07311, NEMVE07285	ASTMX03519
OG0000034	NEMVE03284	ASTMX15312
OG0000034	NEMVE10927	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372
OG0000034	NEMVE10961, NEMVE24294	ASTMX09860, ASTMX06813, ASTMX07013
OG0000034	NEMVE06675, NEMVE11922, NEMVE10845	ASTMX12428, ASTMX02190
OG0000034	NEMVE05344	ASTMX01548
OG0000034	NEMVE16104, NEMVE09479, NEMVE10924	ASTMX02136
OG0000034	NEMVE25715, NEMVE08797	ASTMX10911
OG0000035	NEMVE23841	ASTMX17732
OG0000035	NEMVE22676	ASTMX22713, ASTMX21245
OG0000035	NEMVE22226, NEMVE05357, NEMVE02194	ASTMX07147, ASTMX00613, ASTMX06338
OG0000035	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233	ASTMX07340, ASTMX07227, ASTMX07114
OG0000036	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372	ASTMX01338, ASTMX03570
OG0000037	NEMVE00865, NEMVE01113	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639, ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313
OG0000037	NEMVE10401	ASTMX15913, ASTMX19727, ASTMX16533
OG0000038	NEMVE06149	ASTMX12552, ASTMX04170
OG0000039	NEMVE01371, NEMVE05995	ASTMX03851
OG0000039	NEMVE09831, NEMVE16411, NEMVE04657	ASTMX16971
OG0000039	NEMVE15743	ASTMX14711
OG0000039	NEMVE18297, NEMVE18296	ASTMX10108, ASTMX07819
OG0000041	NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033	ASTMX07372, ASTMX15974, ASTMX00243, ASTMX02219, ASTMX19274, ASTMX15919
OG0000041	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232
OG0000041	NEMVE05295	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746, ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276
OG0000044	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743	ASTMX08796, ASTMX20812, ASTMX22549, ASTMX06174, ASTMX11109, ASTMX06176
OG0000044	NEMVE16246, NEMVE14588	ASTMX11110
OG0000045	NEMVE24106	ASTMX14022
OG0000045	NEMVE00309, NEMVE15224, NEMVE04686	ASTMX10022, ASTMX03368
OG0000045	NEMVE11131, NEMVE17534, NEMVE17201, NEMVE15169, NEMVE02656, NEMVE08142, NEMVE20592, NEMVE17847	ASTMX16178
OG0000046	NEMVE08905, NEMVE15252	ASTMX22281, ASTMX12308, ASTMX11629, ASTMX06852, ASTMX11904, ASTMX11903, ASTMX12229, ASTMX06773, ASTMX12983, ASTMX09167
OG0000048	NEMVE05567	ASTMX04189
OG0000048	NEMVE14912	ASTMX08678, ASTMX11739, ASTMX08677, ASTMX05741, ASTMX04556, ASTMX04258, ASTMX18409, ASTMX15600
OG0000048	NEMVE14024	ASTMX04570
OG0000048	NEMVE15061	ASTMX00590
OG0000049	NEMVE19461, NEMVE02399, NEMVE21864	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857, ASTMX00928, ASTMX08370, ASTMX07196, ASTMX04011, ASTMX18609, ASTMX01014, ASTMX00951, ASTMX05170, ASTMX00786
OG0000049	NEMVE07661, NEMVE06992, NEMVE00847	ASTMX20103
OG0000050	NEMVE20299, NEMVE17503, NEMVE02458, NEMVE01136, NEMVE20024, NEMVE15194, NEMVE17974	ASTMX16561
OG0000051	NEMVE18951, NEMVE15008	ASTMX02511
OG0000054	NEMVE15086, NEMVE10916	ASTMX04679
OG0000054	NEMVE05466	ASTMX05759
OG0000056	NEMVE11244	ASTMX02386
OG0000056	NEMVE11933	ASTMX17742
OG0000056	NEMVE01724, NEMVE05835, NEMVE01653	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363
OG0000056	NEMVE01503, NEMVE04541	ASTMX18310
OG0000057	NEMVE03498, NEMVE03044, NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257
OG0000057	NEMVE00466, NEMVE23304, NEMVE06822, NEMVE16838, NEMVE08358	ASTMX11645
OG0000057	NEMVE08590, NEMVE08584, NEMVE02970, NEMVE11676	ASTMX18685, ASTMX11838
OG0000058	NEMVE13151	ASTMX10002
OG0000059	NEMVE15315, NEMVE02009, NEMVE06154	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960, ASTMX09334, ASTMX11300
OG0000060	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264
OG0000062	NEMVE10327	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342
OG0000062	NEMVE14126	ASTMX01260
OG0000063	NEMVE05614	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324
OG0000063	NEMVE00961	ASTMX11259, ASTMX01032
OG0000063	NEMVE18393	ASTMX12583
OG0000063	NEMVE09684	ASTMX10350, ASTMX13375, ASTMX12584
OG0000065	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551	ASTMX13708, ASTMX15083, ASTMX08041, ASTMX15226, ASTMX22995, ASTMX22138, ASTMX12818, ASTMX13454
OG0000066	NEMVE02094, NEMVE00829	ASTMX01776
OG0000067	NEMVE14139, NEMVE14099	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454
OG0000068	NEMVE24661, NEMVE20048	ASTMX15456, ASTMX10880, ASTMX04048, ASTMX00964, ASTMX17789, ASTMX11787, ASTMX09217, ASTMX10879, ASTMX10878, ASTMX20702, ASTMX04017, ASTMX10771, ASTMX00977, ASTMX02175, ASTMX13274, ASTMX19064, ASTMX03044, ASTMX22819, ASTMX03045, ASTMX22587, ASTMX22308
OG0000069	NEMVE15092	ASTMX20491
OG0000070	NEMVE23951, NEMVE09231, NEMVE05946	ASTMX03868, ASTMX11850
OG0000070	NEMVE06972, NEMVE04610	ASTMX10727
OG0000071	NEMVE22171	ASTMX03580, ASTMX03579, ASTMX03578, ASTMX03576, ASTMX03577, ASTMX01732, ASTMX18909, ASTMX18910, ASTMX10408
OG0000071	NEMVE08129, NEMVE05963	ASTMX03820
OG0000072	NEMVE01460	ASTMX04733, ASTMX14003, ASTMX11793, ASTMX14353, ASTMX03718, ASTMX16521
OG0000072	NEMVE07818	ASTMX19895, ASTMX03692, ASTMX11241
OG0000074	NEMVE04681	ASTMX12476
OG0000075	NEMVE23844	ASTMX13833, ASTMX15058
OG0000075	NEMVE13100	ASTMX04760
OG0000075	NEMVE15115	ASTMX10641, ASTMX00718
OG0000075	NEMVE21913	ASTMX12169, ASTMX18152
OG0000075	NEMVE18051	ASTMX16716, ASTMX04759
OG0000075	NEMVE24197	ASTMX01001, ASTMX08839, ASTMX10263
OG0000075	NEMVE22411	ASTMX12953, ASTMX02098
OG0000075	NEMVE17771	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441
OG0000075	NEMVE07707	ASTMX07134
OG0000077	NEMVE04990	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112, ASTMX06199, ASTMX03488, ASTMX12363, ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594, ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084, ASTMX16324, ASTMX07654, ASTMX03210
OG0000078	NEMVE17207	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539
OG0000079	NEMVE07219, NEMVE03189	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709
OG0000079	NEMVE08009	ASTMX02337, ASTMX02996, ASTMX05046
OG0000080	NEMVE06862	ASTMX22762, ASTMX21534, ASTMX03885, ASTMX23043, ASTMX23016
OG0000081	NEMVE06228, NEMVE02734, NEMVE09334, NEMVE12527, NEMVE05056	ASTMX05086, ASTMX02861, ASTMX19704, ASTMX02860, ASTMX00638, ASTMX14294, ASTMX06157, ASTMX15416, ASTMX09818
OG0000082	NEMVE19066	ASTMX06917
OG0000082	NEMVE05388	ASTMX17888
OG0000082	NEMVE14867, NEMVE15134	ASTMX15920, ASTMX10851, ASTMX17248, ASTMX10849, ASTMX11876, ASTMX19980
OG0000083	NEMVE12859, NEMVE06053, NEMVE08070, NEMVE09935, NEMVE03051, NEMVE02455, NEMVE08434, NEMVE06040, NEMVE03091	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864
OG0000084	NEMVE07901	ASTMX17409, ASTMX15441, ASTMX19583, ASTMX06002, ASTMX20667
OG0000085	NEMVE09794, NEMVE03205	ASTMX01460, ASTMX20784, ASTMX14674
OG0000085	NEMVE09840	ASTMX08105
OG0000085	NEMVE07289	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760
OG0000085	NEMVE07695, NEMVE08967, NEMVE08972	ASTMX19538
OG0000085	NEMVE05696	ASTMX01137, ASTMX09823, ASTMX11049
OG0000085	NEMVE18682, NEMVE18681	ASTMX21189, ASTMX20129
OG0000085	NEMVE13608	ASTMX09759, ASTMX09890, ASTMX10718
OG0000086	NEMVE23431, NEMVE19351	ASTMX17706, ASTMX09528
OG0000086	NEMVE00122	ASTMX23077
OG0000086	NEMVE07436, NEMVE11600, NEMVE08104, NEMVE10624, NEMVE01074, NEMVE23816, NEMVE18508, NEMVE19950, NEMVE25808	ASTMX05962
OG0000087	NEMVE14074	ASTMX06968
OG0000087	NEMVE12577	ASTMX08354, ASTMX08355, ASTMX08356
OG0000087	NEMVE03741, NEMVE21845	ASTMX08347
OG0000087	NEMVE04646	ASTMX17717
OG0000087	NEMVE02951	ASTMX06381
OG0000087	NEMVE25319	ASTMX19474
OG0000087	NEMVE20307	ASTMX17716
OG0000088	NEMVE24299, NEMVE07906, NEMVE16345, NEMVE14559, NEMVE09565, NEMVE02110	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971
OG0000089	NEMVE15803	ASTMX12140, ASTMX19290, ASTMX07948, ASTMX03871, ASTMX13992
OG0000090	NEMVE05578	ASTMX15822, ASTMX13800, ASTMX19765
