Orthogroup	HUMAN	NEMVE
OG0000101	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830	NEMVE18515
OG0000102	HUMAN08946, HUMAN02473	NEMVE01554, NEMVE04730
OG0000103	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888	NEMVE06305
OG0000103	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080	NEMVE09043
OG0000104	HUMAN05724, HUMAN19523	NEMVE07990
OG0000104	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742	NEMVE01265
OG0000104	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722	NEMVE01905
OG0000104	HUMAN19373	NEMVE06744
OG0000104	HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799	NEMVE00656, NEMVE11959, NEMVE06478, NEMVE02810, NEMVE06126
OG0000106	HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978	NEMVE07221, NEMVE07805
OG0000106	HUMAN01589, HUMAN09602	NEMVE16024
OG0000107	HUMAN24662	NEMVE03999, NEMVE21307
OG0000107	HUMAN01575, HUMAN24611	NEMVE17314, NEMVE09156, NEMVE01768
OG0000107	HUMAN24618	NEMVE08712
OG0000107	HUMAN24628	NEMVE02891, NEMVE02920
OG0000110	HUMAN07521, HUMAN12253, HUMAN12252	NEMVE00979, NEMVE07027, NEMVE03143, NEMVE24541, NEMVE22920, NEMVE12064, NEMVE15426, NEMVE10514
OG0000113	HUMAN00919	NEMVE21021, NEMVE14510
OG0000114	HUMAN05933, HUMAN05928, HUMAN00841, HUMAN11898, HUMAN21798	NEMVE07046, NEMVE14943
OG0000116	HUMAN01486	NEMVE11443, NEMVE21821, NEMVE13450, NEMVE22004, NEMVE21900, NEMVE13056
OG0000117	HUMAN01029	NEMVE23834, NEMVE12069
OG0000117	HUMAN04356, HUMAN04357	NEMVE06169, NEMVE03380
OG0000119	HUMAN17875, HUMAN06568, HUMAN12949	NEMVE22896
OG0000119	HUMAN17940, HUMAN20669	NEMVE15248
OG0000120	HUMAN19084	NEMVE03379
OG0000120	HUMAN19076, HUMAN19075	NEMVE07384, NEMVE08536, NEMVE12836
OG0000120	HUMAN19072	NEMVE08594
OG0000121	HUMAN23092, HUMAN03659	NEMVE22381
OG0000121	HUMAN14877	NEMVE08130, NEMVE14214
OG0000121	HUMAN18067	NEMVE03127, NEMVE09919
OG0000122	HUMAN12772, HUMAN27264, HUMAN18288	NEMVE05937, NEMVE10909
OG0000124	HUMAN13586, HUMAN25969, HUMAN20106	NEMVE24720
OG0000124	HUMAN00442, HUMAN00443	NEMVE14854
OG0000124	HUMAN09305, HUMAN02618	NEMVE13714
OG0000126	HUMAN22375, HUMAN24176, HUMAN09168	NEMVE07689
OG0000126	HUMAN07866, HUMAN30407, HUMAN21845	NEMVE08729, NEMVE02964
OG0000126	HUMAN07493, HUMAN22359	NEMVE00909
OG0000126	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480	NEMVE02955
OG0000127	HUMAN07859, HUMAN30409, HUMAN21844	NEMVE24353
OG0000127	HUMAN21549, HUMAN07766	NEMVE22473
OG0000127	HUMAN24572, HUMAN16589, HUMAN18562	NEMVE10526
OG0000127	HUMAN27422, HUMAN19318	NEMVE13457
OG0000127	HUMAN10225, HUMAN20144, HUMAN20145, HUMAN13245	NEMVE22419
OG0000128	HUMAN04854, HUMAN04855, HUMAN04482, HUMAN05330, HUMAN05329	NEMVE12106, NEMVE04961, NEMVE01987, NEMVE18699, NEMVE05813, NEMVE00993, NEMVE10370, NEMVE09954, NEMVE24226, NEMVE08877, NEMVE02973, NEMVE07718, NEMVE13536, NEMVE16591, NEMVE07067, NEMVE16738, NEMVE06927
OG0000129	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344	NEMVE15459, NEMVE24455, NEMVE05043
OG0000129	HUMAN05233, HUMAN30228	NEMVE14958
OG0000130	HUMAN26940, HUMAN21484	NEMVE06584, NEMVE05300, NEMVE10363, NEMVE19712, NEMVE09669, NEMVE17089, NEMVE10460
OG0000131	HUMAN19899	NEMVE07984, NEMVE05410
OG0000131	HUMAN18503, HUMAN18504	NEMVE20141
OG0000132	HUMAN20126	NEMVE00818, NEMVE00836, NEMVE00732, NEMVE00832, NEMVE00761, NEMVE00751, NEMVE00762, NEMVE00731, NEMVE15492, NEMVE01916
OG0000133	HUMAN27246, HUMAN27250, HUMAN27247, HUMAN27249, HUMAN27245, HUMAN27244, HUMAN27243	NEMVE17437
