Orthogroup	HUMAN	ASTMX
OG0000035	HUMAN05843, HUMAN05844	ASTMX02614, ASTMX08545
OG0000035	HUMAN04381, HUMAN04382	ASTMX15322
OG0000035	HUMAN04383	ASTMX15321, ASTMX20966
OG0000036	HUMAN08124	ASTMX05584
OG0000036	HUMAN11555	ASTMX18592
OG0000036	HUMAN08152, HUMAN08151	ASTMX10059, ASTMX16974
OG0000036	HUMAN15233	ASTMX00596, ASTMX03566
OG0000036	HUMAN11289	ASTMX19120
OG0000036	HUMAN22872	ASTMX18312
OG0000036	HUMAN15223	ASTMX03570
OG0000037	HUMAN25010, HUMAN25009	ASTMX04826
OG0000037	HUMAN25006	ASTMX04827, ASTMX08066, ASTMX04828
OG0000037	HUMAN02504	ASTMX18303
OG0000037	HUMAN08759	ASTMX08083, ASTMX01399
OG0000037	HUMAN04817	ASTMX03952, ASTMX04639
OG0000037	HUMAN02659, HUMAN02660	ASTMX01500, ASTMX15266
OG0000037	HUMAN04897	ASTMX10464
OG0000037	HUMAN15443	ASTMX06313
OG0000037	HUMAN19040	ASTMX15913
OG0000037	HUMAN28273	ASTMX19727
OG0000037	HUMAN16721	ASTMX16533
OG0000037	HUMAN03689	ASTMX03275
OG0000038	HUMAN18259, HUMAN18258	ASTMX05291
OG0000038	HUMAN18257	ASTMX12685, ASTMX17002
OG0000039	HUMAN02107	ASTMX03851
OG0000039	HUMAN29023	ASTMX16971
OG0000039	HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450, HUMAN02444	ASTMX14711
OG0000039	HUMAN13199	ASTMX10108, ASTMX07819
OG0000040	HUMAN27040, HUMAN27041	ASTMX07215
OG0000040	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242
OG0000041	HUMAN16072	ASTMX07372, ASTMX15974
OG0000041	HUMAN04227	ASTMX00243, ASTMX02219
OG0000041	HUMAN06826	ASTMX19274
OG0000041	HUMAN01391	ASTMX15919
OG0000041	HUMAN15981	ASTMX19739, ASTMX18949
OG0000041	HUMAN01398	ASTMX00985, ASTMX20382
OG0000041	HUMAN05838	ASTMX18641
OG0000041	HUMAN01399	ASTMX00986, ASTMX20384
OG0000041	HUMAN05837	ASTMX19436, ASTMX18640
OG0000041	HUMAN01401	ASTMX00987
OG0000041	HUMAN05836	ASTMX18639
OG0000041	HUMAN04298	ASTMX00232
OG0000041	HUMAN19139	ASTMX00945, ASTMX01024
OG0000041	HUMAN27913	ASTMX08027, ASTMX12746
OG0000041	HUMAN16617	ASTMX04559
OG0000041	HUMAN16643	ASTMX04569
OG0000041	HUMAN28077	ASTMX22600
OG0000041	HUMAN19052	ASTMX18276
OG0000042	HUMAN21251	ASTMX00117
OG0000043	HUMAN05606	ASTMX12801
OG0000043	HUMAN01578	ASTMX22617
OG0000044	HUMAN24292	ASTMX03900
OG0000044	HUMAN22106	ASTMX14800
OG0000044	HUMAN27711	ASTMX17272
OG0000044	HUMAN03716, HUMAN03718, HUMAN03717	ASTMX12948
OG0000044	HUMAN24391	ASTMX20812
OG0000044	HUMAN07519	ASTMX22549, ASTMX06174
OG0000044	HUMAN07517	ASTMX06176
OG0000044	HUMAN03043	ASTMX07618
OG0000044	HUMAN24293	ASTMX11110
OG0000045	HUMAN02932	ASTMX14022
OG0000045	HUMAN29444	ASTMX15522, ASTMX03419
OG0000045	HUMAN28768	ASTMX10022, ASTMX03368
OG0000046	HUMAN23116	ASTMX22281
OG0000046	HUMAN22960	ASTMX12308
OG0000046	HUMAN22324, HUMAN22325, HUMAN22323	ASTMX11629
OG0000048	HUMAN29550	ASTMX04189
OG0000048	HUMAN12292	ASTMX18058, ASTMX03009, ASTMX03008, ASTMX22626, ASTMX04415, ASTMX04416
OG0000048	HUMAN08560, HUMAN08561	ASTMX08678, ASTMX11739, ASTMX08677, ASTMX05741, ASTMX04556
OG0000048	HUMAN16328	ASTMX15600
OG0000048	HUMAN16644	ASTMX04570
OG0000048	HUMAN11449	ASTMX00590
OG0000049	HUMAN25699	ASTMX10248, ASTMX08138
OG0000049	HUMAN05316	ASTMX03713, ASTMX05857
OG0000049	HUMAN20965	ASTMX00928, ASTMX08370
OG0000049	HUMAN26499	ASTMX07196
OG0000049	HUMAN24353	ASTMX04011, ASTMX18609
OG0000049	HUMAN24922, HUMAN24921	ASTMX01014, ASTMX00951
OG0000049	HUMAN26912	ASTMX05170
OG0000049	HUMAN20433	ASTMX00786
OG0000049	HUMAN26913	ASTMX20103
OG0000051	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201	ASTMX02511
OG0000053	HUMAN01064	ASTMX12784
OG0000054	HUMAN23119	ASTMX04679
OG0000054	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964	ASTMX05759
OG0000055	HUMAN02616, HUMAN24656, HUMAN24660, HUMAN24663, HUMAN24607, HUMAN24616, HUMAN24621, HUMAN24623, HUMAN24613, HUMAN24632, HUMAN24617, HUMAN01576, HUMAN24671, HUMAN24630, HUMAN01568, HUMAN24645, HUMAN24649, HUMAN19580	ASTMX22616
OG0000056	HUMAN22445	ASTMX01590
OG0000056	HUMAN01195	ASTMX02364
OG0000056	HUMAN14849	ASTMX17902
OG0000056	HUMAN01194	ASTMX02363
OG0000056	HUMAN07396, HUMAN07395	ASTMX18310
OG0000057	HUMAN23569	ASTMX16761
OG0000057	HUMAN10014	ASTMX17228, ASTMX14491
OG0000057	HUMAN29650	ASTMX18685, ASTMX11838
OG0000058	HUMAN17378, HUMAN03592	ASTMX10002
OG0000058	HUMAN23378	ASTMX01061
OG0000058	HUMAN02623	ASTMX17542, ASTMX11001, ASTMX18630
OG0000058	HUMAN09237	ASTMX08080
OG0000058	HUMAN13532	ASTMX12315
OG0000059	HUMAN07577	ASTMX11234
OG0000059	HUMAN21611	ASTMX20918
OG0000059	HUMAN22839	ASTMX08000
OG0000059	HUMAN23845	ASTMX00300, ASTMX18960
OG0000060	HUMAN25284	ASTMX04292, ASTMX07603
OG0000060	HUMAN16007, HUMAN16006	ASTMX21094, ASTMX10197
OG0000060	HUMAN04276	ASTMX00445
OG0000060	HUMAN06988	ASTMX07264
OG0000061	HUMAN17964	ASTMX00680, ASTMX05396
OG0000061	HUMAN26554	ASTMX12006
OG0000061	HUMAN18142	ASTMX10422, ASTMX12960
OG0000061	HUMAN20809	ASTMX20513, ASTMX13746
OG0000061	HUMAN13555	ASTMX21095, ASTMX14165
OG0000061	HUMAN15809	ASTMX02316
OG0000061	HUMAN12027	ASTMX11665
OG0000061	HUMAN20727	ASTMX06207, ASTMX18339
OG0000061	HUMAN26146, HUMAN26147	ASTMX05474, ASTMX04490, ASTMX01934
OG0000061	HUMAN26149	ASTMX05473
OG0000061	HUMAN27337	ASTMX15449
OG0000061	HUMAN26138, HUMAN26137	ASTMX18729
OG0000061	HUMAN12821	ASTMX15987
OG0000062	HUMAN29104	ASTMX03300
OG0000062	HUMAN14474	ASTMX18474, ASTMX18479
OG0000062	HUMAN24841, HUMAN24843	ASTMX11236, ASTMX20466
OG0000062	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342
OG0000062	HUMAN25285	ASTMX01260
OG0000063	HUMAN14398	ASTMX13776, ASTMX04927
OG0000063	HUMAN28499	ASTMX01608, ASTMX01645
OG0000063	HUMAN21099	ASTMX11259, ASTMX01032
