Orthogroup	HUMAN	SCHMD
OG0000166	HUMAN10732	SCHMD15704, SCHMD08401
OG0000167	HUMAN19292, HUMAN19291	SCHMD16214, SCHMD15187
OG0000167	HUMAN00657, HUMAN00658	SCHMD10169, SCHMD14397, SCHMD01901, SCHMD10730
OG0000168	HUMAN04352	SCHMD29139, SCHMD28842, SCHMD22979, SCHMD29401
OG0000171	HUMAN26251, HUMAN03748, HUMAN18622, HUMAN03747	SCHMD26790, SCHMD13950
OG0000174	HUMAN27541, HUMAN27540, HUMAN22731	SCHMD09838
OG0000175	HUMAN22641, HUMAN22640, HUMAN27918, HUMAN27828, HUMAN27827	SCHMD18439, SCHMD17544
OG0000179	HUMAN01511, HUMAN01513, HUMAN01517, HUMAN01565, HUMAN01540, HUMAN01553, HUMAN01502, HUMAN26276, HUMAN03337, HUMAN03338	SCHMD11075
OG0000179	HUMAN23712, HUMAN09621	SCHMD01320
OG0000181	HUMAN06326, HUMAN06327, HUMAN02594	SCHMD27609, SCHMD12097, SCHMD28522
OG0000181	HUMAN07664, HUMAN21747	SCHMD20053, SCHMD26119
OG0000182	HUMAN03114	SCHMD24741
OG0000182	HUMAN09225	SCHMD07603
OG0000183	HUMAN15779, HUMAN08957, HUMAN04785, HUMAN02522	SCHMD21103, SCHMD28756
OG0000183	HUMAN05463, HUMAN19339, HUMAN19578, HUMAN05532, HUMAN05533	SCHMD12130, SCHMD10333
OG0000186	HUMAN00084	SCHMD16812, SCHMD07850, SCHMD22114, SCHMD12081
OG0000188	HUMAN01044, HUMAN01045	SCHMD07258
OG0000188	HUMAN27536	SCHMD04013
OG0000191	HUMAN28068	SCHMD25599, SCHMD19773, SCHMD22587, SCHMD26985, SCHMD17165, SCHMD21346, SCHMD23922
OG0000192	HUMAN18173, HUMAN01281, HUMAN28989, HUMAN14173	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443
OG0000193	HUMAN05477	SCHMD01373
OG0000194	HUMAN21679, HUMAN21678, HUMAN21808, HUMAN00275, HUMAN00276	SCHMD11912, SCHMD12565
OG0000195	HUMAN21628, HUMAN21627, HUMAN21626, HUMAN11913, HUMAN11912, HUMAN21624	SCHMD06851
OG0000195	HUMAN21625	SCHMD25501
OG0000197	HUMAN00631, HUMAN25533, HUMAN25532, HUMAN27956, HUMAN27958, HUMAN27961, HUMAN27960, HUMAN27957, HUMAN27959	SCHMD10696, SCHMD17861, SCHMD23209
OG0000199	HUMAN23978, HUMAN23979, HUMAN23972, HUMAN23974, HUMAN23976, HUMAN23962, HUMAN23961, HUMAN23965, HUMAN23963, HUMAN23969, HUMAN23970, HUMAN23967, HUMAN23975, HUMAN23977, HUMAN23971, HUMAN23973, HUMAN23964, HUMAN23966, HUMAN23968, HUMAN23980, HUMAN23981, HUMAN23982	SCHMD25193, SCHMD19754, SCHMD12419, SCHMD26058, SCHMD15988, SCHMD23974
OG0000200	HUMAN21772	SCHMD07833, SCHMD18193, SCHMD17707
OG0000201	HUMAN25906, HUMAN20134	SCHMD28886, SCHMD20370, SCHMD17233
OG0000201	HUMAN20007, HUMAN20008, HUMAN20009, HUMAN11788, HUMAN04555	SCHMD00317, SCHMD09035
OG0000201	HUMAN12208	SCHMD06305, SCHMD14342, SCHMD21248, SCHMD10519
OG0000201	HUMAN12206, HUMAN19902	SCHMD10520
OG0000202	HUMAN27583	SCHMD26575, SCHMD23738, SCHMD09500, SCHMD21440, SCHMD09501, SCHMD21441
OG0000203	HUMAN23097, HUMAN27942, HUMAN25548, HUMAN00779	SCHMD13221
OG0000204	HUMAN18516	SCHMD05946, SCHMD11236, SCHMD20783
OG0000204	HUMAN18517	SCHMD19671, SCHMD20793, SCHMD11234, SCHMD00858
OG0000204	HUMAN18515, HUMAN06257	SCHMD00861
OG0000205	HUMAN08496, HUMAN02469	SCHMD01159, SCHMD14901, SCHMD14452, SCHMD14902, SCHMD14453
OG0000205	HUMAN12678, HUMAN20579, HUMAN06361	SCHMD25881, SCHMD14433, SCHMD00603, SCHMD11532, SCHMD18472, SCHMD00599, SCHMD27278
OG0000205	HUMAN13147, HUMAN27255, HUMAN27254, HUMAN17799	SCHMD03008, SCHMD07998, SCHMD07996
OG0000207	HUMAN13832, HUMAN19141, HUMAN28598, HUMAN00876, HUMAN21341, HUMAN02010	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396
OG0000207	HUMAN21342	SCHMD21037
OG0000208	HUMAN19120	SCHMD02180
OG0000208	HUMAN19119, HUMAN11858, HUMAN12257, HUMAN12256, HUMAN27010, HUMAN26894	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900
OG0000210	HUMAN01117	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393
OG0000210	HUMAN22011, HUMAN22010	SCHMD24015
OG0000211	HUMAN18718	SCHMD21436
OG0000215	HUMAN23880, HUMAN18661	SCHMD15383
OG0000215	HUMAN18245	SCHMD27729, SCHMD15945
OG0000218	HUMAN21084, HUMAN05261	SCHMD01527
OG0000220	HUMAN28206	SCHMD07645
OG0000221	HUMAN18038, HUMAN18223, HUMAN20676, HUMAN12806, HUMAN12805, HUMAN21691, HUMAN00105, HUMAN00104, HUMAN18037, HUMAN20574, HUMAN06093, HUMAN06091, HUMAN06092	SCHMD10720
OG0000222	HUMAN00432, HUMAN18379, HUMAN18378, HUMAN18377	SCHMD21612, SCHMD08502
OG0000223	HUMAN03439	SCHMD03921, SCHMD02888, SCHMD07141, SCHMD29544
OG0000223	HUMAN17365	SCHMD25725
OG0000225	HUMAN26821, HUMAN26818, HUMAN02411, HUMAN20859, HUMAN20858, HUMAN26781, HUMAN06681, HUMAN06682, HUMAN28017, HUMAN28016, HUMAN22075, HUMAN22076, HUMAN24061	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161
OG0000227	HUMAN14351	SCHMD05742, SCHMD06927
OG0000227	HUMAN14350, HUMAN09613, HUMAN09611	SCHMD05353
OG0000227	HUMAN10994, HUMAN24420, HUMAN18815	SCHMD04380
OG0000230	HUMAN27790, HUMAN16569	SCHMD23835, SCHMD14315
OG0000231	HUMAN30467, HUMAN17388, HUMAN22380, HUMAN04081	SCHMD15225, SCHMD17377
OG0000231	HUMAN11124, HUMAN27993, HUMAN27994	SCHMD24769, SCHMD25604
OG0000235	HUMAN22334, HUMAN07552, HUMAN17686	SCHMD29163
OG0000236	HUMAN01231, HUMAN01232	SCHMD00730
OG0000239	HUMAN12749, HUMAN02988, HUMAN18073	SCHMD18522
OG0000239	HUMAN08545	SCHMD03432
OG0000239	HUMAN26079	SCHMD16926, SCHMD03433
OG0000239	HUMAN12754, HUMAN26078	SCHMD06547
