Orthogroup	APOSC_ok	BRALA
OG0000025	APOSC_17955, APOSC_21691	BRALA32180
OG0000025	APOSC_04292	BRALA21990, BRALA01764, BRALA20092
OG0000025	APOSC_02742	BRALA29928, BRALA29404
OG0000025	APOSC_16064, APOSC_13930, APOSC_14384, APOSC_20106, APOSC_27720, APOSC_16406, APOSC_27399, APOSC_26764, APOSC_02075, APOSC_16057, APOSC_04291, APOSC_13769, APOSC_15339	BRALA01670, BRALA20143, BRALA15727, BRALA11574, BRALA26555
OG0000025	APOSC_09001	BRALA18864
OG0000025	APOSC_10546, APOSC_03176	BRALA08078, BRALA28867, BRALA19412, BRALA08149, BRALA12844, BRALA13976, BRALA21247, BRALA25435, BRALA28795, BRALA26554
OG0000025	APOSC_26832, APOSC_25716, APOSC_04817, APOSC_15835, APOSC_10002, APOSC_03320, APOSC_08050, APOSC_11235, APOSC_13630, APOSC_13492, APOSC_02242	BRALA15728, BRALA15173, BRALA17925, BRALA20091, BRALA25964, BRALA20492, BRALA24129, BRALA01765, BRALA32347
OG0000026	APOSC_12180	BRALA07901, BRALA07423
OG0000026	APOSC_13965	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918
OG0000026	APOSC_06128	BRALA15313
OG0000026	APOSC_00772, APOSC_25893, APOSC_00773, APOSC_03305, APOSC_26195	BRALA17325, BRALA20027, BRALA16217, BRALA10481, BRALA13063, BRALA15952, BRALA05914, BRALA05915, BRALA10202, BRALA12591, BRALA01447, BRALA05916, BRALA05917, BRALA23569, BRALA17359
OG0000026	APOSC_14214	BRALA01767
OG0000027	APOSC_23292, APOSC_07467, APOSC_02536, APOSC_10438, APOSC_21792	BRALA16500, BRALA16502
OG0000028	APOSC_17838, APOSC_17839	BRALA08523
OG0000028	APOSC_22919, APOSC_22920	BRALA00011, BRALA12956, BRALA12957
OG0000028	APOSC_04255, APOSC_27024, APOSC_04522	BRALA19589, BRALA19590, BRALA06381, BRALA06380, BRALA21277
OG0000029	APOSC_04700	BRALA01099
OG0000029	APOSC_18084	BRALA00240
OG0000030	APOSC_06833, APOSC_14874, APOSC_04381	BRALA04160, BRALA13442
OG0000030	APOSC_00359	BRALA32573
OG0000030	APOSC_18052, APOSC_19478	BRALA13032
OG0000030	APOSC_12149	BRALA10449
OG0000030	APOSC_27610	BRALA32176
OG0000031	APOSC_14603	BRALA28310, BRALA01948, BRALA09437, BRALA32909, BRALA01946, BRALA12064, BRALA09438, BRALA01951, BRALA14885, BRALA09441, BRALA09439, BRALA32910, BRALA01947, BRALA01952, BRALA14882, BRALA23662, BRALA14883, BRALA19306, BRALA05713, BRALA17265, BRALA15256, BRALA15254, BRALA01977, BRALA22606
OG0000031	APOSC_14687	BRALA04543
OG0000031	APOSC_14535	BRALA04547
OG0000031	APOSC_00328	BRALA13458
OG0000031	APOSC_01319	BRALA16640
OG0000031	APOSC_17680	BRALA28311
OG0000031	APOSC_06756, APOSC_06755	BRALA15572
OG0000032	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726	BRALA11179, BRALA11177, BRALA09647
OG0000034	APOSC_28767, APOSC_28766	BRALA27570
OG0000034	APOSC_01056	BRALA08751
OG0000034	APOSC_00389	BRALA08901, BRALA03079
OG0000034	APOSC_10138	BRALA17580
OG0000034	APOSC_10830	BRALA08885
OG0000034	APOSC_23397	BRALA06594
OG0000034	APOSC_00072	BRALA18444
OG0000034	APOSC_15909	BRALA02412
OG0000035	APOSC_27035	BRALA21367, BRALA35402
OG0000035	APOSC_22023, APOSC_22024, APOSC_12588, APOSC_03857, APOSC_23863, APOSC_01826	BRALA13925
OG0000035	APOSC_04998	BRALA13921
OG0000035	APOSC_25573	BRALA29588
OG0000035	APOSC_08656, APOSC_21135, APOSC_21136	BRALA13915, BRALA22877
OG0000035	APOSC_27270	BRALA13917
OG0000036	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667	BRALA22400, BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181
OG0000036	APOSC_00378	BRALA06754
OG0000036	APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485	BRALA31321, BRALA06755, BRALA06753, BRALA18345
OG0000036	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092	BRALA22402, BRALA22404
OG0000037	APOSC_01516	BRALA22282
OG0000037	APOSC_24133	BRALA22275
OG0000037	APOSC_28740	BRALA16015
OG0000037	APOSC_09580, APOSC_09579	BRALA16388
OG0000038	APOSC_06537, APOSC_16047, APOSC_06107, APOSC_14280, APOSC_05817, APOSC_20988	BRALA32346
OG0000038	APOSC_17001	BRALA13194
OG0000038	APOSC_17727, APOSC_26790, APOSC_06670, APOSC_12872, APOSC_10359, APOSC_20091, APOSC_10945	BRALA18077
OG0000038	APOSC_22530	BRALA04779
OG0000038	APOSC_25222, APOSC_10656	BRALA27417
OG0000039	APOSC_00666	BRALA01170, BRALA17648, BRALA19632, BRALA19635, BRALA01164
OG0000039	APOSC_17065	BRALA31558
