Orthogroup	APOSC_ok	PFLAV
OG0000021	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614	TCONS_00016243.p1
OG0000021	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082	TCONS_00044068.p1
OG0000023	APOSC_14758	TCONS_00026137.p1
OG0000023	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982	TCONS_00004930.p1
OG0000023	APOSC_18183, APOSC_27088, APOSC_07209, APOSC_18870	TCONS_00029827.p1
OG0000023	APOSC_12268	TCONS_00006339.p1, TCONS_00006341.p1
OG0000023	APOSC_15754, APOSC_15753	TCONS_00023484.p1, TCONS_00023448.p1, TCONS_00023486.p1, TCONS_00023450.p1, TCONS_00023451.p1, TCONS_00023489.p1, TCONS_00006187.p1, TCONS_00006188.p1, TCONS_00006190.p1
OG0000024	APOSC_12646	TCONS_00012484.p1
OG0000024	APOSC_04236, APOSC_19476, APOSC_14174, APOSC_24397	TCONS_00027765.p1
OG0000024	APOSC_23909	TCONS_00038533.p1
OG0000024	APOSC_28972	TCONS_00021650.p1
OG0000024	APOSC_28434, APOSC_09826	TCONS_00003610.p1, TCONS_00052950.p1, TCONS_00002982.p1, TCONS_00039372.p1, TCONS_00038234.p1, TCONS_00054692.p1, TCONS_00050908.p1, TCONS_00023169.p1, TCONS_00025719.p1, TCONS_00045646.p1, TCONS_00035184.p1, TCONS_00045722.p1
OG0000024	APOSC_15787, APOSC_15998, APOSC_01155	TCONS_00032509.p1
OG0000024	APOSC_23812	TCONS_00052348.p1
OG0000024	APOSC_19344, APOSC_19343, APOSC_19342	TCONS_00013372.p1, TCONS_00008306.p1
OG0000024	APOSC_21649	TCONS_00004499.p1
OG0000024	APOSC_27461, APOSC_10842	TCONS_00053773.p1, TCONS_00015293.p1
OG0000025	APOSC_17955, APOSC_21691	TCONS_00029873.p1, TCONS_00041153.p1
OG0000025	APOSC_02742	TCONS_00016476.p1
OG0000025	APOSC_14384	TCONS_00018426.p1, TCONS_00027603.p1, TCONS_00027215.p2
OG0000025	APOSC_27720, APOSC_16406, APOSC_27399, APOSC_26764, APOSC_02075, APOSC_16057, APOSC_04291, APOSC_13769, APOSC_15339	TCONS_00031481.p1, TCONS_00007104.p1, TCONS_00029375.p1, TCONS_00056090.p1, TCONS_00009489.p1, TCONS_00032646.p1, TCONS_00026371.p1
OG0000025	APOSC_10546, APOSC_03176	TCONS_00031198.p1, TCONS_00018673.p1, TCONS_00024081.p1, TCONS_00016477.p1, TCONS_00034579.p1, TCONS_00034352.p1, TCONS_00038052.p1
OG0000025	APOSC_04817	TCONS_00031703.p1, TCONS_00012858.p1, TCONS_00007266.p1, TCONS_00049623.p1, TCONS_00019473.p1, TCONS_00044920.p1, TCONS_00044570.p1, TCONS_00032176.p1, TCONS_00032902.p1, TCONS_00033001.p1, TCONS_00030113.p1, TCONS_00010596.p1, TCONS_00056440.p1, TCONS_00028828.p1, TCONS_00052217.p2, TCONS_00048535.p1, TCONS_00032079.p1
OG0000026	APOSC_12180	TCONS_00003307.p1, TCONS_00043299.p1
OG0000026	APOSC_13965	TCONS_00017322.p1
OG0000026	APOSC_06128	TCONS_00046715.p1, TCONS_00035568.p1
OG0000026	APOSC_19946, APOSC_16869, APOSC_02238, APOSC_26096, APOSC_26099, APOSC_26100, APOSC_26095, APOSC_02237, APOSC_26097, APOSC_26098, APOSC_26101, APOSC_29011, APOSC_29010	TCONS_00006376.p1, TCONS_00020194.p1
OG0000026	APOSC_17220	TCONS_00031948.p1
OG0000026	APOSC_14214	TCONS_00043670.p1
OG0000027	APOSC_00367, APOSC_04798, APOSC_15438, APOSC_25751, APOSC_07487, APOSC_07887, APOSC_13318, APOSC_08776, APOSC_13270	TCONS_00036982.p1, TCONS_00038160.p1, TCONS_00043390.p1, TCONS_00043383.p1, TCONS_00043158.p1, TCONS_00041772.p1, TCONS_00011611.p1, TCONS_00012601.p1, TCONS_00013252.p1, TCONS_00029640.p1
OG0000028	APOSC_18684	TCONS_00029701.p1, TCONS_00029704.p1, TCONS_00029474.p1, TCONS_00029475.p1
OG0000028	APOSC_14441	TCONS_00006156.p1, TCONS_00006138.p1
OG0000028	APOSC_06053	TCONS_00006185.p1, TCONS_00006184.p1
OG0000028	APOSC_22599	TCONS_00038444.p1, TCONS_00038402.p1
OG0000028	APOSC_17838, APOSC_17839	TCONS_00029777.p1, TCONS_00029776.p1
OG0000028	APOSC_22919, APOSC_22920	TCONS_00002058.p1, TCONS_00002059.p1, TCONS_00042376.p1, TCONS_00051030.p1
OG0000028	APOSC_04255	TCONS_00029577.p1
OG0000028	APOSC_27024	TCONS_00029851.p1
OG0000028	APOSC_04522	TCONS_00028862.p1
OG0000029	APOSC_04700	TCONS_00053078.p1
OG0000029	APOSC_18084	TCONS_00019159.p1
OG0000029	APOSC_20307, APOSC_21722, APOSC_14165, APOSC_23954, APOSC_24664, APOSC_08971	TCONS_00029399.p1, TCONS_00023706.p1, TCONS_00029394.p1, TCONS_00023709.p1, TCONS_00020104.p1
OG0000029	APOSC_15506	TCONS_00019133.p1, TCONS_00019127.p1, TCONS_00019135.p1, TCONS_00019138.p1, TCONS_00019136.p1, TCONS_00019137.p1, TCONS_00019126.p1, TCONS_00050506.p1, TCONS_00051607.p1
OG0000030	APOSC_23944, APOSC_11647, APOSC_21982	TCONS_00020726.p1, TCONS_00020728.p1, TCONS_00020088.p1
OG0000030	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867	TCONS_00019673.p1
OG0000030	APOSC_00359	TCONS_00054176.p1, TCONS_00054136.p1
OG0000030	APOSC_18052, APOSC_19478	TCONS_00014295.p1, TCONS_00013116.p1
OG0000030	APOSC_12431, APOSC_12430	TCONS_00044665.p1, TCONS_00044667.p1, TCONS_00044691.p1, TCONS_00045784.p1
