Orthogroup	APOSC_ok	DROME
OG0000085	APOSC_21002	DROME19740
OG0000085	APOSC_25216	DROME10832, DROME10831
OG0000086	APOSC_09013	DROME14954
OG0000087	APOSC_06838, APOSC_06839, APOSC_06840	DROME22088
OG0000087	APOSC_09511	DROME21450
OG0000087	APOSC_26769, APOSC_05507	DROME03097
OG0000087	APOSC_19078, APOSC_21650, APOSC_26553, APOSC_26554	DROME08842
OG0000089	APOSC_22092, APOSC_06490	DROME18066, DROME18069, DROME12817
OG0000090	APOSC_26110	DROME02752
OG0000090	APOSC_13932	DROME00161, DROME00160, DROME00159, DROME00158
OG0000090	APOSC_03937	DROME16241, DROME16240, DROME16239
OG0000091	APOSC_00071, APOSC_26465, APOSC_28469, APOSC_08986, APOSC_19169, APOSC_16352	DROME18437, DROME18438, DROME20481
OG0000094	APOSC_02606, APOSC_02607, APOSC_24152	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879
OG0000094	APOSC_21896, APOSC_21895	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000095	APOSC_19404, APOSC_13013, APOSC_05229	DROME01438
OG0000096	APOSC_05085	DROME08195, DROME08196
OG0000096	APOSC_03162	DROME08870
OG0000096	APOSC_25015	DROME13163
OG0000096	APOSC_00869	DROME06400
OG0000096	APOSC_16859	DROME13915
OG0000096	APOSC_21738	DROME09341
OG0000098	APOSC_27629, APOSC_10815	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214
OG0000099	APOSC_25391, APOSC_06951	DROME10335, DROME10334, DROME09743
OG0000099	APOSC_01352, APOSC_23267	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996
OG0000100	APOSC_27828	DROME09951
OG0000101	APOSC_10387	DROME17779
OG0000101	APOSC_23688	DROME05458
OG0000103	APOSC_08194	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989
OG0000103	APOSC_19265	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000104	APOSC_15082, APOSC_15083, APOSC_15085, APOSC_15084	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670
OG0000104	APOSC_11443, APOSC_11444, APOSC_11442	DROME16895, DROME16894
OG0000104	APOSC_16135	DROME16546, DROME16548, DROME16547, DROME16549
OG0000104	APOSC_04087, APOSC_04088	DROME17321, DROME17322
OG0000106	APOSC_22868	DROME02609
OG0000106	APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
