Orthogroup	BRALA	HUMAN
OG0000054	BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964
OG0000055	BRALA13087	HUMAN02616
OG0000056	BRALA00682	HUMAN22445
OG0000056	BRALA21309	HUMAN07396, HUMAN07395
OG0000057	BRALA05192, BRALA22206, BRALA11691, BRALA27516, BRALA21236	HUMAN23569, HUMAN10014
OG0000058	BRALA29633	HUMAN14551
OG0000058	BRALA24063	HUMAN17378, HUMAN03592
OG0000058	BRALA06324	HUMAN23378
OG0000058	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406
OG0000058	BRALA11173, BRALA06327	HUMAN13532, HUMAN25949
OG0000059	BRALA13206	HUMAN30238, HUMAN07577
OG0000059	BRALA11568	HUMAN21611
OG0000059	BRALA19963, BRALA20366	HUMAN05382, HUMAN22839, HUMAN23845
OG0000060	BRALA01718	HUMAN25284
OG0000061	BRALA07400	HUMAN17964, HUMAN26554
OG0000061	BRALA23690, BRALA23691, BRALA23692, BRALA33700, BRALA14844	HUMAN18142, HUMAN20809
OG0000061	BRALA22663, BRALA26552, BRALA22659, BRALA26551, BRALA26563	HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337
OG0000061	BRALA09017, BRALA07401, BRALA14793, BRALA14792	HUMAN26138, HUMAN26137, HUMAN12821
OG0000062	BRALA21141, BRALA30349, BRALA21142	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195
OG0000062	BRALA31607	HUMAN25285
OG0000063	BRALA00957	HUMAN00859, HUMAN28501
OG0000063	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297	HUMAN18628, HUMAN03783, HUMAN03782
OG0000066	BRALA25733	HUMAN29798
OG0000067	BRALA20114, BRALA23146, BRALA20125, BRALA07853, BRALA09449	HUMAN23532
OG0000067	BRALA35634, BRALA09451	HUMAN24070, HUMAN22809
OG0000068	BRALA17338	HUMAN26983
OG0000068	BRALA17343	HUMAN30510, HUMAN30509, HUMAN20837, HUMAN20380, HUMAN30511, HUMAN21486, HUMAN06933
OG0000069	BRALA27564	HUMAN01574
OG0000069	BRALA06255	HUMAN13360
OG0000069	BRALA22501	HUMAN02573
OG0000069	BRALA11725	HUMAN13361, HUMAN02574
OG0000069	BRALA18787	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658
OG0000069	BRALA33181	HUMAN01571
OG0000069	BRALA06393, BRALA06457, BRALA31410	HUMAN01569
OG0000070	BRALA19019, BRALA19027, BRALA19020	HUMAN25671, HUMAN29634, HUMAN30393
OG0000070	BRALA24904, BRALA14166, BRALA14168, BRALA14506, BRALA14507, BRALA14508, BRALA00869, BRALA13923, BRALA21904, BRALA31816, BRALA28174, BRALA29611, BRALA33117, BRALA16447, BRALA14504, BRALA14505, BRALA15434, BRALA07382, BRALA09112, BRALA15447, BRALA14512, BRALA07371, BRALA14167, BRALA10327, BRALA03588, BRALA09032, BRALA02167, BRALA22763, BRALA01254	HUMAN14161
OG0000071	BRALA05660	HUMAN17352
OG0000072	BRALA12631	HUMAN22965, HUMAN22964, HUMAN04101
OG0000072	BRALA33639, BRALA31916	HUMAN22852
OG0000073	BRALA22888	HUMAN06831, HUMAN06836
OG0000074	BRALA08058	HUMAN09283
OG0000075	BRALA11316	HUMAN12839, HUMAN02593
OG0000075	BRALA07062	HUMAN06329
OG0000075	BRALA18754	HUMAN00444
OG0000075	BRALA16174	HUMAN05218
OG0000075	BRALA11318	HUMAN18234, HUMAN06328
