Orthogroup	BRALA	OWEFU
OG0000026	BRALA11498	OFUSG10470.1.p1, OFUSG09501.1.p1
OG0000026	BRALA22923, BRALA12678, BRALA12677	OFUSG02601.1.p1
OG0000026	BRALA33267	OFUSG11075.1.p1, OFUSG12487.1.p1
OG0000026	BRALA18399, BRALA07898, BRALA07900, BRALA07899	OFUSG26427.1.p1
OG0000026	BRALA01048	OFUSG00817.1.p1
OG0000026	BRALA01767	OFUSG24229.1.p1
OG0000027	BRALA20955, BRALA26178, BRALA25170, BRALA33815	OFUSG26650.1.p1
OG0000027	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150	OFUSG21901.2.p1, OFUSG21901.1.p1
OG0000028	BRALA26965, BRALA06262, BRALA06265, BRALA11957, BRALA28259, BRALA27261	OFUSG21057.1.p1, OFUSG21057.2.p1
OG0000028	BRALA08037	OFUSG05527.1.p1, OFUSG03389.1.p1
OG0000028	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542, BRALA08547, BRALA15654, BRALA01199, BRALA17029, BRALA17030	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1
OG0000028	BRALA08523	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1
OG0000028	BRALA00011, BRALA12956, BRALA12957	OFUSG16442.1.p1, OFUSG16442.2.p1
OG0000028	BRALA19589, BRALA19590, BRALA06381, BRALA06380, BRALA21277	OFUSG12432.2.p1, OFUSG12432.1.p1, OFUSG25286.1.p1, OFUSG11555.1.p1
OG0000029	BRALA01099	OFUSG21155.1.p1
OG0000029	BRALA21105	OFUSG16858.1.p1
OG0000030	BRALA04160, BRALA13442	OFUSG16143.1.p1
OG0000030	BRALA12198	OFUSG16141.1.p1, OFUSG16142.2.p1, OFUSG16142.1.p1
OG0000030	BRALA12205	OFUSG21892.1.p1, OFUSG11273.1.p1
OG0000030	BRALA32573	OFUSG21119.1.p1
OG0000030	BRALA13032	OFUSG17928.1.p1
OG0000030	BRALA10449	OFUSG12869.1.p1
