Orthogroup	BRALA	BRAFL
OG0000018	BRALA30091, BRALA20808	bflo_08031
OG0000019	BRALA31027	bflo_04872
OG0000019	BRALA00002	bflo_04871
OG0000019	BRALA17788	bflo_24292
OG0000019	BRALA23254	bflo_27149
OG0000019	BRALA08382	bflo_02909, bflo_06783
OG0000019	BRALA08384, BRALA08351	bflo_04197
OG0000019	BRALA16757	bflo_22767
OG0000019	BRALA35055	bflo_06001
OG0000019	BRALA10428	bflo_05746, bflo_23533
OG0000019	BRALA00309	bflo_26497
OG0000019	BRALA00310, BRALA00311	bflo_00628
OG0000019	BRALA23185, BRALA13461, BRALA09553	bflo_06284
OG0000019	BRALA00404, BRALA00405	bflo_26518, bflo_26519
OG0000019	BRALA23253	bflo_15319
OG0000019	BRALA16935	bflo_14638
OG0000019	BRALA16938	bflo_14407, bflo_14408
OG0000019	BRALA16161	bflo_21582
OG0000019	BRALA13485	bflo_05781
OG0000019	BRALA13482	bflo_06786
OG0000019	BRALA33941	bflo_05478
OG0000019	BRALA13483	bflo_06552
OG0000019	BRALA08371	bflo_02039
OG0000019	BRALA00611	bflo_04152
OG0000019	BRALA08352	bflo_02884, bflo_17342, bflo_17343, bflo_02918
OG0000019	BRALA01468	bflo_02876
OG0000019	BRALA26666, BRALA08383	bflo_25580, bflo_02890
OG0000019	BRALA00610	bflo_06715, bflo_06719, bflo_02868, bflo_04218
OG0000019	BRALA13160	bflo_15434, bflo_14556
OG0000020	BRALA30796	bflo_04613
OG0000020	BRALA12010	bflo_12668
OG0000020	BRALA09135	bflo_19465
OG0000020	BRALA27241	bflo_19726
OG0000020	BRALA02483, BRALA23113	bflo_20627
OG0000020	BRALA30618	bflo_13852
OG0000020	BRALA28848	bflo_17473, bflo_27211
OG0000020	BRALA05608	bflo_24908
OG0000020	BRALA18984	bflo_12267
OG0000020	BRALA03076	bflo_13699
OG0000020	BRALA19763	bflo_11209
OG0000020	BRALA21902	bflo_01316
OG0000020	BRALA16840	bflo_26255, bflo_05601
OG0000020	BRALA01910	bflo_05497
OG0000020	BRALA05743	bflo_24504
OG0000020	BRALA25854	bflo_09206
OG0000020	BRALA14414	bflo_24474
OG0000020	BRALA19612	bflo_24384
OG0000020	BRALA17137, BRALA26917, BRALA04450, BRALA19326	bflo_16833
OG0000020	BRALA17705, BRALA01370, BRALA04503	bflo_26236
OG0000020	BRALA22183	bflo_20748
OG0000020	BRALA09492	bflo_09699, bflo_21336
OG0000020	BRALA12060, BRALA03276, BRALA03275	bflo_13053, bflo_12684
OG0000020	BRALA15785	bflo_25143
OG0000020	BRALA31112, BRALA12011, BRALA22630	bflo_24001, bflo_22065
OG0000020	BRALA11869	bflo_14513
OG0000020	BRALA11167	bflo_23109
OG0000020	BRALA27392	bflo_16368
OG0000020	BRALA11912	bflo_14118
OG0000020	BRALA18130	bflo_18684
OG0000020	BRALA12599	bflo_14450
OG0000020	BRALA10628	bflo_00687
OG0000020	BRALA23615	bflo_14415
OG0000021	BRALA18963	bflo_11723
OG0000021	BRALA18098	bflo_07173
OG0000021	BRALA18043	bflo_11166, bflo_11165, bflo_11164
OG0000021	BRALA22428	bflo_12821
OG0000021	BRALA30352	bflo_20935
OG0000021	BRALA34639, BRALA31905	bflo_20505, bflo_09681
OG0000021	BRALA06012	bflo_27402, bflo_22537
OG0000021	BRALA20360	bflo_14617
OG0000021	BRALA20164	bflo_14568
OG0000021	BRALA20364	bflo_14963
OG0000021	BRALA11803	bflo_15001
OG0000021	BRALA20363	bflo_14964, bflo_14616
OG0000021	BRALA20361	bflo_14965
OG0000022	BRALA26060	bflo_08168
OG0000023	BRALA34393, BRALA34449	bflo_10816
OG0000023	BRALA33273	bflo_10061
OG0000023	BRALA25880	bflo_25079
OG0000023	BRALA05747	bflo_24815
OG0000023	BRALA25168	bflo_00728
OG0000023	BRALA25184	bflo_18293
OG0000023	BRALA25185	bflo_17225
OG0000023	BRALA29062	bflo_17512
OG0000023	BRALA25437	bflo_20456
OG0000023	BRALA19145	bflo_03801
OG0000023	BRALA14945	bflo_20063
