Orthogroup	DANRE	BRAFL
OG0000037	DANRE11959, DANRE17549, DANRE11958, DANRE11635, DANRE11634, DANRE17282, DANRE17582, DANRE10717, DANRE10716, DANRE06286, DANRE06287	bflo_18550, bflo_02879
OG0000037	DANRE03950, DANRE03951, DANRE05592, DANRE05591, DANRE37805, DANRE37804, DANRE13383	bflo_10999
OG0000037	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607	bflo_01343, bflo_01342
OG0000037	DANRE11315	bflo_10180
OG0000038	DANRE01550, DANRE01549	bflo_16371
OG0000038	DANRE23401	bflo_16788
OG0000038	DANRE41584	bflo_05210, bflo_10654
OG0000038	DANRE15348	bflo_18855
OG0000039	DANRE38069, DANRE38070	bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169
OG0000039	DANRE09344	bflo_15832
OG0000040	DANRE30036	bflo_18133
OG0000040	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230	bflo_18120, bflo_22334, bflo_22335, bflo_22336, bflo_18296, bflo_21600, bflo_21601, bflo_19151, bflo_22337, bflo_22516, bflo_10596, bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272
OG0000041	DANRE36805, DANRE27215, DANRE24076, DANRE27216, DANRE05493, DANRE05492, DANRE18224, DANRE05473, DANRE36043, DANRE17635	bflo_05956
OG0000042	DANRE42454, DANRE42453, DANRE42455, DANRE08533, DANRE08529, DANRE08530, DANRE08535, DANRE08531, DANRE08532, DANRE08528, DANRE08534, DANRE08536, DANRE23872, DANRE23873, DANRE23870, DANRE23868, DANRE23869, DANRE23871, DANRE23875, DANRE23874	bflo_10929, bflo_25898, bflo_02971, bflo_02974, bflo_03714, bflo_26102, bflo_03006, bflo_22040, bflo_03610, bflo_26101, bflo_02981, bflo_11796, bflo_02991, bflo_03706, bflo_26342, bflo_25465, bflo_00903
OG0000043	DANRE43265	bflo_19214
OG0000044	DANRE05244, DANRE05245	bflo_07748
OG0000045	DANRE38824	bflo_20899, bflo_17244
OG0000045	DANRE00498, DANRE00497, DANRE34860, DANRE34861	bflo_03910
OG0000045	DANRE28069, DANRE28068	bflo_00606
OG0000046	DANRE15742	bflo_09128, bflo_05621
OG0000046	DANRE20292, DANRE09276, DANRE42278, DANRE42280, DANRE42172, DANRE42168, DANRE42170, DANRE42174, DANRE42171, DANRE42169, DANRE42167, DANRE42279, DANRE42166, DANRE42173, DANRE42277, DANRE09606, DANRE09605	bflo_12973, bflo_25564, bflo_11116, bflo_21984
OG0000048	DANRE16164, DANRE16166, DANRE16167, DANRE16163	bflo_15152
OG0000048	DANRE19398	bflo_07462
OG0000048	DANRE08311	bflo_27224
OG0000048	DANRE14945, DANRE10170, DANRE10169	bflo_13732, bflo_11483, bflo_11417, bflo_05102, bflo_05104, bflo_17693, bflo_18962, bflo_22214, bflo_23171, bflo_19625, bflo_19404, bflo_20902
OG0000048	DANRE17556, DANRE05472	bflo_20353
OG0000048	DANRE26183	bflo_12849
OG0000049	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854	bflo_17665
OG0000049	DANRE36715, DANRE36714, DANRE02678, DANRE12445	bflo_12099
OG0000049	DANRE22104, DANRE39773, DANRE39775, DANRE39774, DANRE02437, DANRE02436, DANRE36818, DANRE36819, DANRE30745, DANRE25833	bflo_12470, bflo_11081
OG0000049	DANRE30744	bflo_17096, bflo_11847
OG0000050	DANRE33098, DANRE32869, DANRE33097, DANRE32870	bflo_13685
OG0000051	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457	bflo_18195, bflo_17371
OG0000053	DANRE17521	bflo_21932, bflo_21926, bflo_18879, bflo_19026
OG0000054	DANRE06791, DANRE15743	bflo_04388
OG0000054	DANRE09041, DANRE09042	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284
OG0000055	DANRE24633	bflo_23317
OG0000055	DANRE00963	bflo_23399
OG0000056	DANRE40469	bflo_12398
