Orthogroup	DANRE	APOSJ_ok
OG0000041	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441	APOSJ_07883
OG0000041	DANRE36805, DANRE27215, DANRE24076, DANRE27216, DANRE05493, DANRE05492, DANRE18224, DANRE05473, DANRE36043, DANRE17635	APOSJ_00247
OG0000044	DANRE20253, DANRE20252, DANRE04869, DANRE04868, DANRE04870, DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199, DANRE05871, DANRE05873, DANRE05872, DANRE05874, DANRE05876, DANRE05875	APOSJ_20279, APOSJ_20278
OG0000044	DANRE24280	APOSJ_57354, APOSJ_57355
OG0000045	DANRE38824	APOSJ_29368, APOSJ_29369
OG0000045	DANRE05823	APOSJ_44902, APOSJ_44899, APOSJ_44901, APOSJ_54328, APOSJ_02525, APOSJ_27472
OG0000046	DANRE15742	APOSJ_42127, APOSJ_64323, APOSJ_42125
OG0000048	DANRE33718	APOSJ_59658
OG0000048	DANRE08311	APOSJ_10763, APOSJ_10766
OG0000048	DANRE17556, DANRE05472	APOSJ_60260, APOSJ_60261, APOSJ_61046, APOSJ_60262, APOSJ_34779
OG0000048	DANRE26183	APOSJ_12442
OG0000049	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854	APOSJ_51843
OG0000049	DANRE36715, DANRE36714, DANRE02678, DANRE12445	APOSJ_36502
OG0000049	DANRE30744	APOSJ_36462
OG0000050	DANRE32914	APOSJ_31086, APOSJ_01230, APOSJ_46777, APOSJ_57319
OG0000050	DANRE05388, DANRE16154, DANRE21370, DANRE14263, DANRE25768, DANRE00430, DANRE32860, DANRE42655, DANRE31654, DANRE32311, DANRE20964	APOSJ_15169, APOSJ_15170, APOSJ_29827, APOSJ_10797
OG0000051	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457	APOSJ_30249, APOSJ_30251, APOSJ_01654, APOSJ_47098
OG0000054	DANRE06791, DANRE15743	APOSJ_18612, APOSJ_52518, APOSJ_18611, APOSJ_31400, APOSJ_07291, APOSJ_45891, APOSJ_07290, APOSJ_24181, APOSJ_58354, APOSJ_58353, APOSJ_58350, APOSJ_58351, APOSJ_58352
OG0000056	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910	APOSJ_39271, APOSJ_39270, APOSJ_48773, APOSJ_45665
OG0000057	DANRE02560, DANRE02558, DANRE02559	APOSJ_24024, APOSJ_17502, APOSJ_17503, APOSJ_17501, APOSJ_17500, APOSJ_17499
OG0000058	DANRE01466, DANRE01467	APOSJ_27364, APOSJ_40682, APOSJ_27363
OG0000058	DANRE15450	APOSJ_14084, APOSJ_62161
