Orthogroup	APOSJ_ok	ASTMX
OG0000050	APOSJ_57493, APOSJ_36060, APOSJ_36061, APOSJ_36063, APOSJ_36065, APOSJ_36066, APOSJ_04035, APOSJ_00653, APOSJ_36062, APOSJ_25539, APOSJ_36064, APOSJ_00654, APOSJ_08665, APOSJ_29147, APOSJ_51862, APOSJ_51863, APOSJ_20325, APOSJ_20324, APOSJ_58281, APOSJ_34871, APOSJ_13856, APOSJ_13854, APOSJ_45580, APOSJ_13852, APOSJ_13850, APOSJ_13851, APOSJ_13855, APOSJ_13853, APOSJ_12186, APOSJ_40638, APOSJ_42771, APOSJ_13876, APOSJ_42263, APOSJ_42264, APOSJ_54268, APOSJ_54266, APOSJ_02357, APOSJ_54267, APOSJ_54270, APOSJ_54269, APOSJ_28465, APOSJ_31086, APOSJ_01230, APOSJ_46777, APOSJ_57319, APOSJ_15169, APOSJ_15170, APOSJ_29827, APOSJ_10797, APOSJ_15112, APOSJ_62920, APOSJ_15109, APOSJ_15111, APOSJ_15108	ASTMX16561
OG0000051	APOSJ_30249, APOSJ_30251, APOSJ_01654, APOSJ_47098	ASTMX02511
OG0000054	APOSJ_18612, APOSJ_52518, APOSJ_18611, APOSJ_31400, APOSJ_07291, APOSJ_45891, APOSJ_07290, APOSJ_24181, APOSJ_58354, APOSJ_58353, APOSJ_58350, APOSJ_58351, APOSJ_58352	ASTMX04679
OG0000056	APOSJ_39271, APOSJ_39270, APOSJ_48773, APOSJ_45665	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363
OG0000057	APOSJ_24024, APOSJ_17502, APOSJ_17503, APOSJ_17501, APOSJ_17500, APOSJ_17499	ASTMX18685, ASTMX11838
OG0000058	APOSJ_27364, APOSJ_40682, APOSJ_27363	ASTMX10002
OG0000058	APOSJ_01990, APOSJ_45171, APOSJ_56047, APOSJ_62157, APOSJ_01986, APOSJ_12231, APOSJ_01994, APOSJ_62154, APOSJ_01988, APOSJ_62155	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080
OG0000059	APOSJ_34977, APOSJ_41112, APOSJ_15943, APOSJ_15944	ASTMX20918
OG0000059	APOSJ_00361, APOSJ_32459	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960
OG0000060	APOSJ_62502, APOSJ_14511, APOSJ_62507, APOSJ_14509, APOSJ_53301, APOSJ_53299, APOSJ_62506, APOSJ_08035, APOSJ_62505	ASTMX04292, ASTMX07603
OG0000060	APOSJ_24727, APOSJ_46788	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264
OG0000061	APOSJ_58339, APOSJ_18222, APOSJ_18226, APOSJ_18220, APOSJ_58336, APOSJ_24082, APOSJ_18227, APOSJ_18225, APOSJ_18223, APOSJ_24083, APOSJ_24098, APOSJ_58337, APOSJ_58338, APOSJ_18224	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657
OG0000061	APOSJ_04549, APOSJ_04550	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746, ASTMX21095, ASTMX14165, ASTMX02316, ASTMX11665, ASTMX13598, ASTMX06207, ASTMX18339, ASTMX05474, ASTMX04490, ASTMX01934, ASTMX05473, ASTMX16790, ASTMX15449
OG0000061	APOSJ_15713, APOSJ_15716, APOSJ_15714, APOSJ_33562, APOSJ_15715, APOSJ_53824, APOSJ_08464, APOSJ_14395	ASTMX18729, ASTMX15987
