Orthogroup	APOSJ_ok	OWEFU
OG0000021	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1
OG0000021	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1
OG0000023	APOSJ_12541	OFUSG06069.1.p1
OG0000023	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1
OG0000023	APOSJ_01093, APOSJ_01092, APOSJ_01091, APOSJ_42179, APOSJ_00272	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1
OG0000026	APOSJ_59563	OFUSG06751.1.p1
OG0000026	APOSJ_14352, APOSJ_14353	OFUSG26427.1.p1
OG0000026	APOSJ_58273, APOSJ_64303	OFUSG00817.1.p1
OG0000026	APOSJ_19082, APOSJ_19084, APOSJ_19083, APOSJ_14166, APOSJ_53551, APOSJ_63979, APOSJ_46283, APOSJ_28315, APOSJ_01642, APOSJ_47589, APOSJ_31703, APOSJ_43474	OFUSG25446.1.p1
OG0000026	APOSJ_00259, APOSJ_43475	OFUSG24229.1.p1
OG0000028	APOSJ_39269	OFUSG08406.1.p1, OFUSG07639.1.p1
OG0000028	APOSJ_19821, APOSJ_19822, APOSJ_19823, APOSJ_19820	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1
OG0000028	APOSJ_13359, APOSJ_13358	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1
OG0000028	APOSJ_31043, APOSJ_25716, APOSJ_25715, APOSJ_57817	OFUSG16442.1.p1, OFUSG16442.2.p1
OG0000029	APOSJ_32485	OFUSG01397.1.p1, OFUSG01400.1.p1, OFUSG01402.1.p1, OFUSG03457.2.p1, OFUSG03457.1.p1, OFUSG05746.3.p1, OFUSG05746.2.p1, OFUSG05746.1.p1, OFUSG18779.1.p1, OFUSG08105.1.p1, OFUSG09439.1.p1, OFUSG26816.1.p1, OFUSG22757.1.p1, OFUSG11381.1.p1, OFUSG11380.1.p1, OFUSG07090.1.p1, OFUSG07089.1.p1, OFUSG06802.1.p1
OG0000029	APOSJ_26876, APOSJ_26877, APOSJ_64430	OFUSG26611.2.p1, OFUSG26611.1.p1
OG0000029	APOSJ_13377	OFUSG21155.1.p1
OG0000030	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348	OFUSG04213.1.p1
OG0000030	APOSJ_46611, APOSJ_46610	OFUSG21119.1.p1
OG0000030	APOSJ_42302, APOSJ_42296, APOSJ_42301, APOSJ_42295, APOSJ_02556, APOSJ_42297, APOSJ_42298	OFUSG17928.1.p1
OG0000030	APOSJ_24666, APOSJ_08058	OFUSG17612.1.p1, OFUSG12869.1.p1
OG0000030	APOSJ_45466	OFUSG14128.1.p1, OFUSG14128.2.p1
OG0000031	APOSJ_02555, APOSJ_52808, APOSJ_02551, APOSJ_02552, APOSJ_02553, APOSJ_02550, APOSJ_02554, APOSJ_02549	OFUSG02441.1.p1
OG0000031	APOSJ_52458, APOSJ_52455, APOSJ_37355	OFUSG03747.1.p1, OFUSG01964.1.p1
OG0000031	APOSJ_56428	OFUSG03902.1.p1, OFUSG03902.2.p1
OG0000031	APOSJ_58452	OFUSG16479.2.p1, OFUSG16479.1.p1
OG0000031	APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293	OFUSG09754.1.p1
OG0000031	APOSJ_07842, APOSJ_07841	OFUSG12627.1.p1
OG0000031	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162	OFUSG02210.1.p1
OG0000031	APOSJ_01762	OFUSG17671.1.p1
OG0000031	APOSJ_03114, APOSJ_03115	OFUSG16797.1.p1
OG0000032	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1
