Orthogroup	APOSJ_ok	XENTR
OG0000061	APOSJ_04549, APOSJ_04550	XENTR09403, XENTR06949, XENTR06950, XENTR12872, XENTR09801, XENTR02075, XENTR01801, XENTR17074, XENTR09112, XENTR16336, XENTR06851, XENTR10614, XENTR06288
OG0000061	APOSJ_15713, APOSJ_15716, APOSJ_15714, APOSJ_33562, APOSJ_15715, APOSJ_53824, APOSJ_08464, APOSJ_14395	XENTR10609, XENTR10747
OG0000062	APOSJ_36645, APOSJ_36644, APOSJ_36646, APOSJ_36641, APOSJ_36638, APOSJ_36643, APOSJ_36647, APOSJ_36642, APOSJ_61539, APOSJ_03520, APOSJ_50534, APOSJ_50538, APOSJ_50533, APOSJ_50536, APOSJ_39442	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496
OG0000062	APOSJ_42177, APOSJ_42181, APOSJ_42180, APOSJ_42182	XENTR09512
OG0000063	APOSJ_62799, APOSJ_60703	XENTR10234, XENTR04709, XENTR00319
OG0000063	APOSJ_45342, APOSJ_45340, APOSJ_35186, APOSJ_45343, APOSJ_45341, APOSJ_16611	XENTR11311
OG0000063	APOSJ_17401, APOSJ_34559, APOSJ_34558, APOSJ_34560, APOSJ_41274, APOSJ_48780	XENTR04708
OG0000063	APOSJ_58298, APOSJ_58293, APOSJ_19476	XENTR08048, XENTR02007, XENTR01303
OG0000065	APOSJ_35430, APOSJ_06253	XENTR16407, XENTR13484, XENTR05900, XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634
OG0000066	APOSJ_56697, APOSJ_30328	XENTR18882
OG0000067	APOSJ_18931, APOSJ_56850, APOSJ_56847, APOSJ_06153, APOSJ_13448, APOSJ_19493, APOSJ_58325, APOSJ_58331, APOSJ_58341, APOSJ_48159, APOSJ_48158, APOSJ_48156, APOSJ_19490, APOSJ_19487, APOSJ_13449, APOSJ_13447, APOSJ_13446, APOSJ_13442, APOSJ_13444, APOSJ_13443, APOSJ_13445, APOSJ_07651, APOSJ_07650, APOSJ_07653, APOSJ_07654, APOSJ_13441, APOSJ_11553, APOSJ_07655, APOSJ_07652, APOSJ_12441, APOSJ_12440, APOSJ_22342, APOSJ_56300, APOSJ_56301, APOSJ_56298, APOSJ_56299	XENTR13783, XENTR04874
OG0000069	APOSJ_40539, APOSJ_40541, APOSJ_40540	XENTR15529
OG0000070	APOSJ_54993	XENTR15503, XENTR11143, XENTR02048
OG0000070	APOSJ_32199, APOSJ_32200, APOSJ_19014, APOSJ_41483, APOSJ_41485, APOSJ_41484, APOSJ_45156, APOSJ_39050, APOSJ_15810, APOSJ_02571, APOSJ_07700, APOSJ_07702, APOSJ_07701	XENTR00314, XENTR18775, XENTR18776, XENTR05723, XENTR09834
OG0000072	APOSJ_38815, APOSJ_48482	XENTR03548, XENTR18546
OG0000072	APOSJ_48834, APOSJ_48835, APOSJ_48833	XENTR01057
OG0000074	APOSJ_13143	XENTR10798, XENTR10797, XENTR11114
OG0000074	APOSJ_54927, APOSJ_51986, APOSJ_40639, APOSJ_38988, APOSJ_51984, APOSJ_54925	XENTR14396
OG0000074	APOSJ_06601, APOSJ_29080, APOSJ_29087, APOSJ_64653, APOSJ_20688, APOSJ_48776, APOSJ_18171, APOSJ_07443, APOSJ_11506	XENTR07269, XENTR06689
OG0000075	APOSJ_20337, APOSJ_34520, APOSJ_34522, APOSJ_34524, APOSJ_34523, APOSJ_34521, APOSJ_34519, APOSJ_20338, APOSJ_34518, APOSJ_17256	XENTR02757, XENTR11353, XENTR12610
OG0000075	APOSJ_54695, APOSJ_54693	XENTR06215
OG0000075	APOSJ_58877, APOSJ_16929, APOSJ_58880	XENTR09250
OG0000075	APOSJ_41648	XENTR04179, XENTR06216
OG0000075	APOSJ_33309, APOSJ_33308	XENTR01223, XENTR05975
OG0000075	APOSJ_16193, APOSJ_16195	XENTR10723
OG0000075	APOSJ_55514, APOSJ_55515	XENTR06816, XENTR17547, XENTR16124
OG0000075	APOSJ_22770	XENTR05986, XENTR05987
OG0000078	APOSJ_09078, APOSJ_48664, APOSJ_48665, APOSJ_28712, APOSJ_28714, APOSJ_20960, APOSJ_02350, APOSJ_61846	XENTR05046, XENTR08333, XENTR08953, XENTR08952
OG0000078	APOSJ_16505, APOSJ_56844, APOSJ_34859, APOSJ_46612, APOSJ_25459, APOSJ_02595, APOSJ_15951, APOSJ_30925, APOSJ_30924, APOSJ_15259, APOSJ_15263, APOSJ_36218, APOSJ_36220, APOSJ_36217, APOSJ_15264, APOSJ_52603, APOSJ_11972, APOSJ_11971, APOSJ_56698, APOSJ_30936, APOSJ_04960, APOSJ_42241, APOSJ_64902, APOSJ_42242, APOSJ_53664, APOSJ_64757	XENTR19100
OG0000079	APOSJ_50875, APOSJ_50877, APOSJ_64501, APOSJ_18723, APOSJ_32515, APOSJ_37152	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648
OG0000079	APOSJ_18254	XENTR08294, XENTR08293, XENTR03649
OG0000079	APOSJ_28991, APOSJ_28990	XENTR01194
OG0000079	APOSJ_06559, APOSJ_06558	XENTR15371
OG0000080	APOSJ_51754, APOSJ_53757, APOSJ_01450	XENTR15502, XENTR19201, XENTR02957, XENTR17777, XENTR19137, XENTR07861, XENTR08066
OG0000081	APOSJ_65213, APOSJ_65212, APOSJ_52934, APOSJ_61033	XENTR18129, XENTR18128, XENTR18130, XENTR17315, XENTR17314, XENTR18127, XENTR17316, XENTR16305, XENTR17318, XENTR17317
OG0000082	APOSJ_25535	XENTR16096
OG0000082	APOSJ_31175, APOSJ_61283, APOSJ_41067, APOSJ_61284, APOSJ_61286, APOSJ_61287	XENTR01624, XENTR01625
OG0000083	APOSJ_11498, APOSJ_11497	XENTR04370, XENTR12084, XENTR05647
OG0000084	APOSJ_15697	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724
OG0000084	APOSJ_24644, APOSJ_24645	XENTR08804, XENTR16312, XENTR13487
OG0000085	APOSJ_64863	XENTR01729, XENTR03138
OG0000085	APOSJ_41027, APOSJ_41023, APOSJ_41020, APOSJ_41026, APOSJ_41024, APOSJ_41021, APOSJ_41025, APOSJ_41022	XENTR04052, XENTR12507
OG0000085	APOSJ_25761	XENTR15005
OG0000085	APOSJ_04663, APOSJ_04662	XENTR00809
OG0000087	APOSJ_41352, APOSJ_61505, APOSJ_44974	XENTR17246
OG0000087	APOSJ_17272	XENTR13447, XENTR13446
OG0000087	APOSJ_35197, APOSJ_35195	XENTR06736
OG0000087	APOSJ_02933	XENTR07023
OG0000087	APOSJ_19002, APOSJ_64596, APOSJ_35346	XENTR10385
OG0000087	APOSJ_59532	XENTR06016
OG0000087	APOSJ_03507, APOSJ_10114	XENTR00988
OG0000087	APOSJ_05717, APOSJ_05719, APOSJ_05715, APOSJ_05716, APOSJ_05720, APOSJ_05718	XENTR18799
OG0000087	APOSJ_58727	XENTR00376
OG0000088	APOSJ_63869, APOSJ_63868, APOSJ_31116, APOSJ_63535, APOSJ_35086, APOSJ_63797, APOSJ_63809, APOSJ_42039, APOSJ_42040, APOSJ_36688, APOSJ_22725, APOSJ_36687, APOSJ_22750, APOSJ_39202, APOSJ_45270	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110
OG0000089	APOSJ_32496, APOSJ_32445, APOSJ_52135, APOSJ_15609	XENTR04109
OG0000090	APOSJ_38878, APOSJ_38877, APOSJ_38876	XENTR11768
OG0000090	APOSJ_22326	XENTR06545
OG0000094	APOSJ_44228, APOSJ_55244, APOSJ_44217, APOSJ_44221	XENTR10717, XENTR18065, XENTR15146
