Orthogroup	APOSJ_ok	SCHMD
OG0000099	APOSJ_11356	SCHMD05542
OG0000101	APOSJ_42943	SCHMD06502, SCHMD06505, SCHMD06506
OG0000102	APOSJ_40088	SCHMD01941, SCHMD14185, SCHMD04701, SCHMD06158
OG0000103	APOSJ_43912	SCHMD29081, SCHMD19673
OG0000103	APOSJ_39175, APOSJ_52145, APOSJ_20990, APOSJ_39172, APOSJ_52143, APOSJ_52149, APOSJ_54042, APOSJ_56932, APOSJ_20989, APOSJ_20986, APOSJ_55632, APOSJ_39176, APOSJ_20985, APOSJ_39174, APOSJ_39173, APOSJ_20988, APOSJ_54037, APOSJ_54009, APOSJ_52142, APOSJ_55627, APOSJ_20987, APOSJ_52148	SCHMD08147
OG0000106	APOSJ_28496, APOSJ_28495, APOSJ_28494, APOSJ_37502, APOSJ_63823, APOSJ_32714, APOSJ_07800, APOSJ_32795, APOSJ_57641, APOSJ_20665, APOSJ_20666, APOSJ_00824, APOSJ_36967	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000110	APOSJ_05587, APOSJ_27170, APOSJ_05585, APOSJ_25338, APOSJ_55799, APOSJ_62572, APOSJ_62556	SCHMD11887
OG0000113	APOSJ_45448, APOSJ_45447, APOSJ_45451, APOSJ_45449, APOSJ_45446, APOSJ_45450, APOSJ_09650, APOSJ_09651	SCHMD06629, SCHMD02664
OG0000114	APOSJ_14477	SCHMD19276
OG0000114	APOSJ_53151, APOSJ_05706, APOSJ_21558, APOSJ_21559, APOSJ_26937, APOSJ_15991, APOSJ_15324, APOSJ_15329, APOSJ_15326, APOSJ_18172, APOSJ_15328, APOSJ_15331, APOSJ_15330, APOSJ_15327, APOSJ_15323, APOSJ_15325, APOSJ_01155, APOSJ_31591	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000115	APOSJ_56338, APOSJ_56339, APOSJ_56340, APOSJ_13839	SCHMD28271, SCHMD15320
OG0000116	APOSJ_36614	SCHMD19106
OG0000117	APOSJ_25875	SCHMD07660, SCHMD02896, SCHMD11493
OG0000119	APOSJ_63143, APOSJ_31038, APOSJ_31040, APOSJ_31039, APOSJ_61657, APOSJ_37229, APOSJ_32882, APOSJ_37224, APOSJ_00637, APOSJ_00639, APOSJ_00638, APOSJ_00642, APOSJ_20604, APOSJ_20605, APOSJ_20606, APOSJ_31497, APOSJ_32889, APOSJ_37225, APOSJ_37226, APOSJ_37227, APOSJ_37228, APOSJ_49615, APOSJ_64187, APOSJ_64212, APOSJ_08202, APOSJ_08203, APOSJ_18195, APOSJ_18197, APOSJ_32503, APOSJ_32504, APOSJ_32505, APOSJ_06328, APOSJ_32502, APOSJ_08540, APOSJ_16256, APOSJ_54335, APOSJ_54337, APOSJ_54333, APOSJ_25080, APOSJ_58939, APOSJ_58936, APOSJ_59438, APOSJ_58938, APOSJ_58940, APOSJ_27524	SCHMD02911
OG0000120	APOSJ_16705	SCHMD23689, SCHMD27697, SCHMD28733, SCHMD27017, SCHMD27126, SCHMD26530, SCHMD23012
OG0000120	APOSJ_17423	SCHMD26849
OG0000124	APOSJ_39871, APOSJ_49014, APOSJ_23030, APOSJ_23033, APOSJ_14455, APOSJ_23031, APOSJ_23028, APOSJ_49016, APOSJ_49026, APOSJ_49027, APOSJ_46416, APOSJ_23035, APOSJ_39873, APOSJ_23032, APOSJ_49018, APOSJ_23034, APOSJ_23029, APOSJ_49028, APOSJ_61620, APOSJ_31270, APOSJ_15398	SCHMD10270, SCHMD10271
OG0000124	APOSJ_59420, APOSJ_59425, APOSJ_59424	SCHMD11964, SCHMD20871, SCHMD16822
OG0000124	APOSJ_08149	SCHMD08774
OG0000126	APOSJ_48954	SCHMD24144
OG0000126	APOSJ_23811, APOSJ_23810, APOSJ_23809, APOSJ_23812, APOSJ_23813, APOSJ_47026	SCHMD01813, SCHMD04253
OG0000127	APOSJ_36881, APOSJ_36882	SCHMD03781
OG0000128	APOSJ_39440, APOSJ_39441, APOSJ_32509, APOSJ_54023, APOSJ_42437, APOSJ_15682, APOSJ_15679, APOSJ_15681, APOSJ_15680, APOSJ_15678, APOSJ_13342, APOSJ_13343, APOSJ_36577, APOSJ_36578, APOSJ_40114, APOSJ_11627, APOSJ_23210, APOSJ_14842, APOSJ_14840, APOSJ_27939, APOSJ_14839, APOSJ_14845, APOSJ_14843, APOSJ_14844, APOSJ_14841, APOSJ_18549, APOSJ_64947, APOSJ_10048	SCHMD25789, SCHMD19594
OG0000129	APOSJ_57859	SCHMD20816
OG0000129	APOSJ_13376	SCHMD05405
OG0000129	APOSJ_14670	SCHMD03224
OG0000130	APOSJ_64511	SCHMD02824, SCHMD13205
OG0000130	APOSJ_01367	SCHMD17609
OG0000132	APOSJ_29417, APOSJ_00018, APOSJ_58729, APOSJ_55099, APOSJ_44642, APOSJ_44626, APOSJ_24048, APOSJ_24047	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000135	APOSJ_34294	SCHMD24143, SCHMD24147
