Orthogroup	APOSJ_ok	AENJA_ok
OG0000025	APOSJ_37445, APOSJ_37447, APOSJ_37448, APOSJ_50888, APOSJ_50889, APOSJ_22933, APOSJ_37444, APOSJ_56575, APOSJ_07839, APOSJ_37446	AENJA_11195
OG0000025	APOSJ_36900, APOSJ_46981, APOSJ_46982	AENJA_21079
OG0000025	APOSJ_29806, APOSJ_06201, APOSJ_57840, APOSJ_45165, APOSJ_40043, APOSJ_52771, APOSJ_31676, APOSJ_57603, APOSJ_57606, APOSJ_64591, APOSJ_01272, APOSJ_34348	AENJA_09551
OG0000026	APOSJ_39679, APOSJ_39682	AENJA_07099, AENJA_18950
OG0000026	APOSJ_61877, APOSJ_61922, APOSJ_14352, APOSJ_14353	AENJA_21657
OG0000026	APOSJ_58273, APOSJ_64303	AENJA_12006, AENJA_16045, AENJA_18652, AENJA_16032, AENJA_17356, AENJA_20833, AENJA_17360, AENJA_18651
OG0000026	APOSJ_00259, APOSJ_43475	AENJA_10129
OG0000027	APOSJ_23299, APOSJ_23300	AENJA_24558, AENJA_14831, AENJA_19912
OG0000027	APOSJ_61281, APOSJ_17811, APOSJ_17810, APOSJ_62251, APOSJ_62252, APOSJ_62253, APOSJ_62250, APOSJ_61176, APOSJ_57015, APOSJ_57014	AENJA_05706, AENJA_05707
OG0000028	APOSJ_39269	AENJA_03335, AENJA_05182, AENJA_05184, AENJA_05181
OG0000028	APOSJ_44005	AENJA_25112
OG0000028	APOSJ_19821, APOSJ_19822, APOSJ_19823, APOSJ_19820	AENJA_02274
OG0000028	APOSJ_13110	AENJA_15999
OG0000028	APOSJ_00353	AENJA_25121
OG0000028	APOSJ_31043, APOSJ_25716, APOSJ_25715, APOSJ_57817	AENJA_19954
OG0000029	APOSJ_13377	AENJA_26395
OG0000029	APOSJ_45558	AENJA_05610
OG0000030	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348	AENJA_17283
OG0000030	APOSJ_26580	AENJA_07079
OG0000030	APOSJ_46611, APOSJ_46610	AENJA_12274
OG0000030	APOSJ_42302, APOSJ_42296, APOSJ_42301, APOSJ_42295, APOSJ_02556, APOSJ_42297, APOSJ_42298	AENJA_21030
OG0000030	APOSJ_30575	AENJA_05226
OG0000031	APOSJ_56428	AENJA_09856
OG0000031	APOSJ_58452	AENJA_09858
OG0000031	APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293	AENJA_08759
OG0000031	APOSJ_07842, APOSJ_07841	AENJA_10722
OG0000031	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162	AENJA_05740
OG0000031	APOSJ_01762	AENJA_14258, AENJA_15917, AENJA_14260
OG0000031	APOSJ_03114, APOSJ_03115	AENJA_15028
OG0000032	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979	AENJA_15445, AENJA_10949
OG0000032	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491	AENJA_12718
OG0000032	APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569	AENJA_12280, AENJA_12491
OG0000032	APOSJ_64832, APOSJ_02133, APOSJ_54563, APOSJ_04185, APOSJ_04186, APOSJ_04184	AENJA_06513
OG0000034	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193, APOSJ_42839, APOSJ_42842, APOSJ_42843	AENJA_21749
OG0000034	APOSJ_17818, APOSJ_17819	AENJA_26717
OG0000034	APOSJ_09404, APOSJ_13545, APOSJ_44168	AENJA_02791
OG0000034	APOSJ_60565, APOSJ_21305	AENJA_23686
OG0000034	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928	AENJA_13785
OG0000034	APOSJ_63084, APOSJ_59127	AENJA_15701
OG0000034	APOSJ_09729	AENJA_24919
OG0000034	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607	AENJA_16616
OG0000035	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929	AENJA_01174
OG0000035	APOSJ_64100, APOSJ_64034, APOSJ_48933, APOSJ_44915, APOSJ_44916, APOSJ_44917, APOSJ_45491	AENJA_26793
OG0000035	APOSJ_13857	AENJA_22033
OG0000035	APOSJ_11969, APOSJ_09937	AENJA_08825
OG0000035	APOSJ_53790	AENJA_12364
OG0000035	APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311	AENJA_26037
OG0000035	APOSJ_12145, APOSJ_12146	AENJA_21682
OG0000035	APOSJ_14503	AENJA_21683
OG0000036	APOSJ_00559, APOSJ_00560	AENJA_22120
OG0000036	APOSJ_09590, APOSJ_59128, APOSJ_28626	AENJA_22191
OG0000036	APOSJ_40313, APOSJ_57892, APOSJ_57894	AENJA_16633
OG0000036	APOSJ_44483, APOSJ_44484	AENJA_06167, AENJA_03477, AENJA_19964, AENJA_15639, AENJA_09986
OG0000036	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668	AENJA_15638, AENJA_15641, AENJA_15644
OG0000036	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780	AENJA_21299, AENJA_21302
OG0000036	APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054	AENJA_21301
OG0000037	APOSJ_15752	AENJA_21842, AENJA_00885
OG0000037	APOSJ_50446	AENJA_06908, AENJA_02989
OG0000037	APOSJ_19669, APOSJ_19640	AENJA_17768, AENJA_10696
OG0000037	APOSJ_63529, APOSJ_64474, APOSJ_63530	AENJA_20944
OG0000037	APOSJ_40888, APOSJ_40889	AENJA_05483, AENJA_06274
OG0000037	APOSJ_41930, APOSJ_41929	AENJA_13632
OG0000037	APOSJ_19984, APOSJ_19985, APOSJ_59245	AENJA_22610
OG0000038	APOSJ_44498, APOSJ_44500	AENJA_05691
OG0000038	APOSJ_26230, APOSJ_08121, APOSJ_08120, APOSJ_07933, APOSJ_58733	AENJA_26313
OG0000038	APOSJ_44502	AENJA_09724
OG0000038	APOSJ_26569, APOSJ_44501, APOSJ_44499, APOSJ_44497	AENJA_16130
OG0000039	APOSJ_23948	AENJA_10484, AENJA_20870, AENJA_17497
OG0000039	APOSJ_63713	AENJA_26803, AENJA_05351
OG0000039	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535	AENJA_07277
OG0000040	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679	AENJA_11361
OG0000041	APOSJ_07883	AENJA_24560
