Orthogroup	YEAST	AENJA_ok
OG0000955	YEAST00837	AENJA_09334, AENJA_19306
OG0000955	YEAST04295	AENJA_26657
OG0000963	YEAST03685, YEAST00482, YEAST01749	AENJA_01165, AENJA_06323
OG0000964	YEAST04606	AENJA_06851, AENJA_04088, AENJA_01513, AENJA_06848
OG0000965	YEAST02552	AENJA_05586, AENJA_05584
OG0000965	YEAST02050	AENJA_02282
OG0000967	YEAST05075	AENJA_02972, AENJA_22529
OG0000970	YEAST04028	AENJA_09659, AENJA_03395
OG0000982	YEAST01182	AENJA_09037
OG0000984	YEAST01493, YEAST00575	AENJA_13820
OG0000986	YEAST01481, YEAST04073	AENJA_19042, AENJA_19041
OG0000987	YEAST04734, YEAST02734	AENJA_23574
OG0000994	YEAST02360	AENJA_20560, AENJA_02296
OG0000996	YEAST00033	AENJA_04444, AENJA_26096
OG0001001	YEAST00341	AENJA_07866
OG0001003	YEAST00644	AENJA_13424
OG0001006	YEAST04513	AENJA_21663, AENJA_25248
OG0001016	YEAST00830	AENJA_26608, AENJA_01521, AENJA_14403, AENJA_15956
OG0001018	YEAST01172	AENJA_02393, AENJA_12182
OG0001024	YEAST01024, YEAST00308	AENJA_11445, AENJA_03556
OG0001064	YEAST00458	AENJA_16034
OG0001066	YEAST06311	AENJA_19790
OG0001075	YEAST05636	AENJA_00807
OG0001076	YEAST01570	AENJA_01569
OG0001081	YEAST04460	AENJA_21808, AENJA_16503, AENJA_04238
OG0001082	YEAST03919, YEAST02905, YEAST05331	AENJA_06872, AENJA_21482, AENJA_09332
OG0001094	YEAST03837	AENJA_23025
OG0001095	YEAST00773	AENJA_25247
OG0001101	YEAST03434	AENJA_00373
OG0001108	YEAST06309	AENJA_12290, AENJA_04372, AENJA_04373, AENJA_09666
OG0001111	YEAST06003	AENJA_26838, AENJA_22327, AENJA_22201, AENJA_06275, AENJA_18410, AENJA_21728
OG0001113	YEAST05320	AENJA_06313
OG0001113	YEAST00954	AENJA_23050
OG0001114	YEAST00036, YEAST05811	AENJA_07133, AENJA_13675
OG0001124	YEAST02719	AENJA_16308
OG0001132	YEAST05421	AENJA_02927
OG0001133	YEAST04296	AENJA_14482, AENJA_13174, AENJA_03943, AENJA_09413, AENJA_03942
OG0001133	YEAST03271	AENJA_07797
OG0001134	YEAST05015	AENJA_06301
OG0001135	YEAST03641	AENJA_06307
OG0001136	YEAST05047, YEAST02997	AENJA_06348
OG0001140	YEAST03519	AENJA_10711
OG0001142	YEAST04001	AENJA_13577
OG0001163	YEAST02433	AENJA_23044, AENJA_20499, AENJA_04071, AENJA_23045
OG0001164	YEAST03454	AENJA_04659, AENJA_14441, AENJA_04658, AENJA_11399
OG0001171	YEAST04620, YEAST03578	AENJA_07498
OG0001175	YEAST00534	AENJA_19603, AENJA_10616
OG0001177	YEAST06137	AENJA_12717, AENJA_23960, AENJA_22118
OG0001179	YEAST00368, YEAST04831, YEAST02287	AENJA_13625, AENJA_13628, AENJA_26058
OG0001181	YEAST02051	AENJA_14047
OG0001184	YEAST01681	AENJA_17799, AENJA_15086
OG0001185	YEAST04969	AENJA_17542
OG0001186	YEAST04605, YEAST01886	AENJA_21307, AENJA_18825
OG0001197	YEAST01499	AENJA_00493
OG0001201	YEAST05452	AENJA_02210
OG0001204	YEAST05200	AENJA_04033, AENJA_20148
OG0001207	YEAST03225, YEAST00090	AENJA_15259
OG0001207	YEAST04258	AENJA_18056, AENJA_07276
OG0001210	YEAST05511	AENJA_18956
OG0001210	YEAST02318	AENJA_09592, AENJA_09591
OG0001212	YEAST03971	AENJA_09959, AENJA_14546, AENJA_09958, AENJA_09956
OG0001214	YEAST00577	AENJA_24301, AENJA_11388
OG0001216	YEAST00145	AENJA_16979
OG0001219	YEAST03867	AENJA_18562
