Orthogroup	YEAST	MOUSE
OG0000142	YEAST02122	MOUSE49876, MOUSE19688, MOUSE17834, MOUSE25278, MOUSE18488, MOUSE17833, MOUSE09112, MOUSE09113, MOUSE28967
OG0000158	YEAST05568	MOUSE24209, MOUSE24207, MOUSE21505, MOUSE29248, MOUSE23738, MOUSE23741, MOUSE23747, MOUSE23838, MOUSE23840, MOUSE23844, MOUSE24208, MOUSE24206, MOUSE32827, MOUSE32828, MOUSE23739, MOUSE23737, MOUSE23748, MOUSE23740, MOUSE29251, MOUSE29249, MOUSE29250, MOUSE29247, MOUSE00038, MOUSE00039, MOUSE00040, MOUSE21506, MOUSE21503, MOUSE21502, MOUSE21504, MOUSE46608, MOUSE46610, MOUSE46609
OG0000160	YEAST04194	MOUSE28371, MOUSE28372, MOUSE28373, MOUSE01089, MOUSE01088, MOUSE01087, MOUSE01081
OG0000175	YEAST00850, YEAST04327	MOUSE37007, MOUSE37008, MOUSE37004, MOUSE37005, MOUSE37006, MOUSE21629, MOUSE32004, MOUSE32003, MOUSE34702, MOUSE34703, MOUSE34704, MOUSE34706, MOUSE34705
OG0000179	YEAST01123, YEAST04430	MOUSE02858, MOUSE18997, MOUSE02856, MOUSE11162
OG0000179	YEAST02911, YEAST01281	MOUSE19509, MOUSE51773
OG0000179	YEAST04108, YEAST03346	MOUSE30037
OG0000181	YEAST00824, YEAST00771	MOUSE14627, MOUSE03706, MOUSE05783, MOUSE39163, MOUSE11210, MOUSE11208, MOUSE12600, MOUSE29996, MOUSE07217
OG0000186	YEAST00336	MOUSE42683, MOUSE08549, MOUSE07875, MOUSE07874, MOUSE18796, MOUSE42682, MOUSE08548
OG0000194	YEAST01410	MOUSE29883, MOUSE29879, MOUSE29880, MOUSE29881, MOUSE29882, MOUSE29432, MOUSE29433, MOUSE29431, MOUSE34698, MOUSE34700, MOUSE34701, MOUSE34699, MOUSE34696, MOUSE34697, MOUSE34695
OG0000195	YEAST03414	MOUSE52235, MOUSE52236, MOUSE52239, MOUSE52237, MOUSE52242, MOUSE52243, MOUSE52241, MOUSE04098, MOUSE04099, MOUSE52244, MOUSE52238, MOUSE52240
OG0000211	YEAST04964	MOUSE51114, MOUSE51115, MOUSE28046, MOUSE10073, MOUSE10072, MOUSE44580, MOUSE44581, MOUSE44579, MOUSE20694, MOUSE20693, MOUSE01466, MOUSE44832, MOUSE44578
OG0000221	YEAST05872	MOUSE22515, MOUSE22518, MOUSE22513, MOUSE22517, MOUSE22516, MOUSE22514, MOUSE53204, MOUSE53205, MOUSE53203, MOUSE05742, MOUSE05741, MOUSE29915, MOUSE29913, MOUSE29916, MOUSE29920, MOUSE29914, MOUSE29919, MOUSE29918, MOUSE29912, MOUSE29917, MOUSE35058, MOUSE35056, MOUSE35053, MOUSE35051, MOUSE35055, MOUSE35054, MOUSE22156, MOUSE18361, MOUSE41877
OG0000222	YEAST01460	MOUSE34451, MOUSE34452, MOUSE34453, MOUSE34454, MOUSE22872, MOUSE22873, MOUSE22874
OG0000225	YEAST06146	MOUSE06880, MOUSE06881, MOUSE06882, MOUSE06888, MOUSE23452, MOUSE23453, MOUSE23451, MOUSE52882, MOUSE52881, MOUSE52880, MOUSE35428, MOUSE35429, MOUSE35426, MOUSE35427, MOUSE02372, MOUSE02371, MOUSE32095, MOUSE37168, MOUSE37169, MOUSE37170, MOUSE19594, MOUSE19593, MOUSE19595, MOUSE52883
OG0000227	YEAST05815	MOUSE48942, MOUSE01608, MOUSE22121, MOUSE22120, MOUSE01605, MOUSE01607, MOUSE01606, MOUSE51778, MOUSE15731, MOUSE48941, MOUSE48940, MOUSE48939, MOUSE09066, MOUSE28250
OG0000228	YEAST04750	MOUSE04514, MOUSE26663, MOUSE04513, MOUSE04516, MOUSE04515, MOUSE26665, MOUSE26664, MOUSE26662, MOUSE26668, MOUSE26670, MOUSE26669, MOUSE26671
OG0000233	YEAST03726, YEAST03241, YEAST03242	MOUSE32454, MOUSE32453
OG0000238	YEAST06340, YEAST03834	MOUSE46195, MOUSE46196, MOUSE39882, MOUSE14681, MOUSE14680, MOUSE14679, MOUSE02481, MOUSE19005
OG0000240	YEAST03827	MOUSE01107, MOUSE01112, MOUSE01108, MOUSE01109, MOUSE01110, MOUSE01106, MOUSE01103, MOUSE01105, MOUSE01104, MOUSE01111, MOUSE01114, MOUSE01115, MOUSE01113
OG0000242	YEAST00734	MOUSE21781, MOUSE41838, MOUSE41839, MOUSE02203, MOUSE02202, MOUSE26960, MOUSE26962, MOUSE26961, MOUSE42234, MOUSE21780, MOUSE21779, MOUSE35398
OG0000246	YEAST01746, YEAST01747	MOUSE44244, MOUSE44246, MOUSE44245
OG0000250	YEAST04716	MOUSE41924, MOUSE44836, MOUSE44838, MOUSE44837, MOUSE06159, MOUSE06158, MOUSE06161, MOUSE06160, MOUSE47989, MOUSE47988, MOUSE41925, MOUSE41926, MOUSE41921, MOUSE41920, MOUSE41923, MOUSE41922
OG0000255	YEAST02822	MOUSE55667, MOUSE27280, MOUSE27279
