Orthogroup	YEAST	APOSC_ok
OG0000662	YEAST05937	APOSC_10023, APOSC_20576, APOSC_08470, APOSC_08472
OG0000663	YEAST02675, YEAST03294	APOSC_03380, APOSC_10431
OG0000665	YEAST03843	APOSC_24789
OG0000672	YEAST03771	APOSC_13094, APOSC_20369, APOSC_17793, APOSC_27234, APOSC_11490
OG0000672	YEAST00984	APOSC_05056
OG0000676	YEAST01503	APOSC_12565
OG0000676	YEAST02962	APOSC_24592
OG0000683	YEAST03152, YEAST03537, YEAST05938	APOSC_06085, APOSC_22743
OG0000690	YEAST04874	APOSC_12924
OG0000690	YEAST02296	APOSC_06851
OG0000692	YEAST01969	APOSC_26279
OG0000692	YEAST03487	APOSC_09929
OG0000694	YEAST05978	APOSC_21845
OG0000699	YEAST05706	APOSC_23924, APOSC_18614, APOSC_12142
OG0000701	YEAST02239, YEAST02223	APOSC_29144, APOSC_29143
OG0000703	YEAST05314	APOSC_08255, APOSC_12548
OG0000708	YEAST05997	APOSC_22565, APOSC_22564, APOSC_04164
OG0000709	YEAST00057	APOSC_21004, APOSC_01261
OG0000724	YEAST02013	APOSC_04422, APOSC_04423
OG0000732	YEAST04978	APOSC_01005, APOSC_22697, APOSC_22696
OG0000733	YEAST05474	APOSC_15598, APOSC_14468
OG0000735	YEAST05945	APOSC_08541, APOSC_08542
OG0000737	YEAST05188	APOSC_18824, APOSC_08933, APOSC_08934, APOSC_08935
OG0000744	YEAST05951	APOSC_21453, APOSC_21454, APOSC_22851
OG0000745	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102	APOSC_07957, APOSC_07956, APOSC_27337, APOSC_27338, APOSC_10295, APOSC_02392
OG0000752	YEAST01432, YEAST04483	APOSC_04900, APOSC_11897, APOSC_20705
OG0000753	YEAST01034, YEAST02037	APOSC_17933, APOSC_23432
OG0000757	YEAST01489	APOSC_21066, APOSC_13824
OG0000758	YEAST01504	APOSC_04627, APOSC_04628, APOSC_04626
OG0000759	YEAST02878, YEAST05681	APOSC_10203
OG0000765	YEAST05027, YEAST03009, YEAST01404	APOSC_04654
OG0000768	YEAST02560, YEAST04269	APOSC_11098, APOSC_11096, APOSC_11097
OG0000772	YEAST04929	APOSC_24323, APOSC_04766, APOSC_17782
OG0000776	YEAST04571, YEAST00195, YEAST00312	APOSC_14658, APOSC_04219, APOSC_04218, APOSC_26884, APOSC_23547, APOSC_14259, APOSC_20069, APOSC_25314, APOSC_15172, APOSC_01907
OG0000777	YEAST06297, YEAST02627	APOSC_00730, APOSC_16029, APOSC_06075
OG0000779	YEAST03812	APOSC_20892, APOSC_15142
OG0000782	YEAST01393, YEAST05616	APOSC_02046, APOSC_02045
OG0000791	YEAST02375	APOSC_26179, APOSC_26180
OG0000794	YEAST04627	APOSC_25175, APOSC_12304, APOSC_28540, APOSC_17611, APOSC_08351, APOSC_01861, APOSC_03932
OG0000800	YEAST03636	APOSC_27669
OG0000809	YEAST01998	APOSC_01373, APOSC_01372
OG0000817	YEAST00389	APOSC_13738, APOSC_22901
OG0000817	YEAST06112	APOSC_07767
OG0000824	YEAST01319, YEAST02883	APOSC_26516
OG0000828	YEAST00945, YEAST05476, YEAST00075	APOSC_05791
OG0000828	YEAST02290	APOSC_22977, APOSC_11571
OG0000837	YEAST06222	APOSC_28068, APOSC_14436, APOSC_00892, APOSC_07079, APOSC_28069, APOSC_28067, APOSC_06905, APOSC_04004, APOSC_12041, APOSC_06484, APOSC_27044, APOSC_21308
OG0000841	YEAST02416	APOSC_26322, APOSC_23985, APOSC_23987, APOSC_23986
OG0000847	YEAST02881, YEAST03544, YEAST06198	APOSC_10143
OG0000847	YEAST02530, YEAST00209	APOSC_11562
OG0000849	YEAST04475	APOSC_27634, APOSC_09266, APOSC_03689
OG0000850	YEAST04287	APOSC_08264, APOSC_00774, APOSC_23927
OG0000852	YEAST01266	APOSC_20285, APOSC_20286, APOSC_02824
OG0000855	YEAST04755	APOSC_08922, APOSC_08923, APOSC_26256
OG0000857	YEAST00309	APOSC_24744
OG0000868	YEAST06157	APOSC_23188, APOSC_17550, APOSC_06087, APOSC_13101, APOSC_22114
OG0000871	YEAST03857	APOSC_16796, APOSC_20272, APOSC_28302, APOSC_27777, APOSC_03183, APOSC_14488
OG0000872	YEAST03222, YEAST03741	APOSC_01621, APOSC_01620
OG0000875	YEAST00077	APOSC_06925, APOSC_26698, APOSC_26697, APOSC_10108, APOSC_10816, APOSC_05938
OG0000876	YEAST05556	APOSC_13414
OG0000879	YEAST06123	APOSC_13173, APOSC_26037, APOSC_25589, APOSC_19618
OG0000888	YEAST00288	APOSC_22842, APOSC_02163
OG0000889	YEAST00175	APOSC_15049, APOSC_07753, APOSC_09768, APOSC_28468
OG0000894	YEAST03763	APOSC_05906, APOSC_06317, APOSC_02796, APOSC_02797
OG0000896	YEAST04923	APOSC_16669
OG0000898	YEAST06255, YEAST03431	APOSC_16195
OG0000905	YEAST00599	APOSC_09225, APOSC_09226
OG0000907	YEAST02193	APOSC_00840
OG0000913	YEAST03557, YEAST05101	APOSC_04388
OG0000914	YEAST04745	APOSC_12098
OG0000921	YEAST02526	APOSC_26555, APOSC_24063
OG0000925	YEAST05667, YEAST06025	APOSC_04534, APOSC_05628
OG0000932	YEAST03525	APOSC_20073, APOSC_27821, APOSC_27820
OG0000933	YEAST06306	APOSC_28945
OG0000934	YEAST02582, YEAST06252	APOSC_15771
OG0000934	YEAST05040	APOSC_01130
OG0000935	YEAST02843	APOSC_07475
OG0000943	YEAST03805	APOSC_21318, APOSC_16658
OG0000944	YEAST04878	APOSC_18987
OG0000954	YEAST05503, YEAST01249	APOSC_16116, APOSC_16117, APOSC_17406, APOSC_17405
OG0000955	YEAST00837	APOSC_05735
