Orthogroup	PFLAV	BRAFL
OG0000016	TCONS_00020809.p1	bflo_02107, bflo_22757, bflo_23260, bflo_02738, bflo_02096, bflo_02737, bflo_02551, bflo_26656
OG0000016	TCONS_00049735.p1	bflo_01790
OG0000016	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1	bflo_20387
OG0000019	TCONS_00042378.p1	bflo_04872, bflo_04871, bflo_24292
OG0000019	TCONS_00028459.p1, TCONS_00028453.p1, TCONS_00028457.p1, TCONS_00028458.p1, TCONS_00028452.p1, TCONS_00028462.p1, TCONS_00028460.p1, TCONS_00028461.p1, TCONS_00029609.p1	bflo_22767, bflo_06001, bflo_05746, bflo_23533
OG0000019	TCONS_00007298.p1, TCONS_00007301.p1, TCONS_00016343.p1, TCONS_00053172.p1, TCONS_00050837.p1, TCONS_00056903.p1, TCONS_00053134.p1, TCONS_00017582.p1, TCONS_00048059.p1	bflo_10160, bflo_26497, bflo_00628
OG0000019	TCONS_00007305.p1, TCONS_00009265.p1, TCONS_00009269.p1, TCONS_00009271.p1, TCONS_00008241.p1	bflo_06284
OG0000019	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1	bflo_26518, bflo_26519, bflo_04870
OG0000019	TCONS_00042480.p1	bflo_15319, bflo_14638, bflo_14407, bflo_14408, bflo_21582, bflo_05781, bflo_06551, bflo_06786, bflo_05478, bflo_06552, bflo_02039, bflo_04152, bflo_18281, bflo_02884, bflo_17342, bflo_17343, bflo_02918, bflo_02876, bflo_25580, bflo_02890, bflo_06715, bflo_06719, bflo_02868, bflo_04218, bflo_15434, bflo_14556
OG0000020	TCONS_00055662.p1	bflo_19465
OG0000020	TCONS_00041842.p1	bflo_19726
OG0000020	TCONS_00007359.p1	bflo_13852
OG0000020	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1	bflo_17473, bflo_27211
OG0000020	TCONS_00054537.p1	bflo_24908
OG0000020	TCONS_00047850.p1	bflo_12267
OG0000020	TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1	bflo_24384, bflo_16833, bflo_26236, bflo_20748, bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513
OG0000020	TCONS_00013032.p1	bflo_23109
OG0000020	TCONS_00019497.p1	bflo_01292
OG0000020	TCONS_00016378.p1	bflo_16368
OG0000020	TCONS_00031077.p1	bflo_07448
OG0000020	TCONS_00056690.p1	bflo_18684
OG0000020	TCONS_00042754.p1	bflo_14450
OG0000020	TCONS_00019367.p1	bflo_00687
OG0000020	TCONS_00041844.p1	bflo_14415
OG0000021	TCONS_00025493.p1	bflo_07173
OG0000021	TCONS_00007765.p1	bflo_12821
OG0000021	TCONS_00006555.p1	bflo_20935
OG0000021	TCONS_00005068.p1, TCONS_00005066.p1	bflo_20505, bflo_09681
OG0000021	TCONS_00016243.p1	bflo_27402, bflo_22537, bflo_22539, bflo_22305
OG0000021	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1	bflo_14957, bflo_14617, bflo_14568
OG0000023	TCONS_00026137.p1	bflo_10816, bflo_10061
OG0000023	TCONS_00004930.p1	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512, bflo_20456
OG0000023	TCONS_00029827.p1	bflo_03971, bflo_03972, bflo_00874, bflo_06832, bflo_14042
OG0000026	TCONS_00003307.p1, TCONS_00043299.p1	bflo_21516, bflo_21519, bflo_21523
OG0000026	TCONS_00023710.p2, TCONS_00008676.p1, TCONS_00055402.p1, TCONS_00042664.p1, TCONS_00023054.p1, TCONS_00050387.p1	bflo_10397
OG0000026	TCONS_00017322.p1	bflo_26853, bflo_07376
OG0000026	TCONS_00046715.p1, TCONS_00035568.p1	bflo_11818
OG0000026	TCONS_00050896.p1, TCONS_00050897.p1, TCONS_00051268.p1, TCONS_00050105.p1	bflo_03704, bflo_21877, bflo_14509, bflo_02973, bflo_03705, bflo_02969, bflo_17121, bflo_03998, bflo_09675, bflo_07770, bflo_18066, bflo_05329, bflo_21515, bflo_21517, bflo_21247, bflo_21501, bflo_21518, bflo_01508, bflo_00408, bflo_21522, bflo_21831, bflo_17285, bflo_17283, bflo_17284, bflo_05278, bflo_09823
OG0000026	TCONS_00043670.p1	bflo_06473
OG0000026	TCONS_00038740.p1, TCONS_00052092.p1	bflo_11370
OG0000027	TCONS_00005542.p1, TCONS_00044321.p1, TCONS_00049112.p1, TCONS_00049113.p1, TCONS_00049119.p1, TCONS_00049120.p1, TCONS_00049114.p1, TCONS_00049115.p1, TCONS_00049116.p1, TCONS_00049117.p1, TCONS_00049118.p1	bflo_07313, bflo_06884, bflo_21207, bflo_21232, bflo_21997
OG0000027	TCONS_00046417.p1	bflo_16745, bflo_11436
OG0000027	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610
OG0000028	TCONS_00008790.p1	bflo_14636, bflo_15358
OG0000028	TCONS_00030328.p1, TCONS_00030338.p1, TCONS_00030608.p1, TCONS_00053821.p1, TCONS_00031464.p1, TCONS_00041062.p1	bflo_07777, bflo_07412, bflo_07411, bflo_18326, bflo_07776, bflo_08264
OG0000028	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959, bflo_06498, bflo_18107, bflo_25761, bflo_19766, bflo_19099
OG0000028	TCONS_00029777.p1, TCONS_00029776.p1	bflo_06341
OG0000028	TCONS_00002058.p1, TCONS_00002059.p1, TCONS_00042376.p1, TCONS_00051030.p1	bflo_01235, bflo_02042
OG0000028	TCONS_00029577.p1, TCONS_00029851.p1, TCONS_00028862.p1	bflo_24390, bflo_24387, bflo_05196
OG0000029	TCONS_00004006.p1	bflo_00003
OG0000029	TCONS_00053078.p1	bflo_25831
OG0000029	TCONS_00019159.p1	bflo_00316, bflo_26576
OG0000029	TCONS_00020525.p1	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407
OG0000030	TCONS_00022258.p1, TCONS_00022256.p1, TCONS_00021153.p1, TCONS_00022346.p1, TCONS_00021156.p1, TCONS_00021155.p1, TCONS_00022226.p1, TCONS_00019519.p1, TCONS_00020559.p1, TCONS_00019429.p1, TCONS_00019523.p1, TCONS_00020417.p1, TCONS_00020557.p1	bflo_21886
OG0000030	TCONS_00054176.p1, TCONS_00054136.p1	bflo_25955
OG0000030	TCONS_00014295.p1, TCONS_00013116.p1	bflo_23616
OG0000030	TCONS_00000713.p1, TCONS_00019506.p1, TCONS_00052333.p1, TCONS_00019514.p1	bflo_21367
OG0000030	TCONS_00006375.p1, TCONS_00014700.p1, TCONS_00005306.p1, TCONS_00006227.p1, TCONS_00006230.p1, TCONS_00006229.p1	bflo_09678, bflo_10382
OG0000030	TCONS_00027726.p1	bflo_09719
OG0000030	TCONS_00021382.p1	bflo_22462
OG0000031	TCONS_00047108.p1	bflo_04592, bflo_05889, bflo_05515, bflo_02310
OG0000031	TCONS_00003900.p1	bflo_02501
OG0000031	TCONS_00002937.p1	bflo_02849
OG0000031	TCONS_00028162.p1	bflo_06021
OG0000031	TCONS_00046710.p1, TCONS_00045709.p1	bflo_06369
OG0000031	TCONS_00041599.p1	bflo_15458
OG0000031	TCONS_00042947.p1	bflo_15459
OG0000031	TCONS_00003964.p1	bflo_02405
OG0000032	TCONS_00018159.p1	bflo_12824, bflo_01429
OG0000032	TCONS_00035360.p1	bflo_08327, bflo_09713, bflo_08329, bflo_08426, bflo_01810, bflo_01811, bflo_01636
OG0000032	TCONS_00045890.p1, TCONS_00018770.p1	bflo_23561, bflo_23038, bflo_01635
OG0000032	TCONS_00017083.p1, TCONS_00017084.p1, TCONS_00017087.p1, TCONS_00002066.p1, TCONS_00002068.p1, TCONS_00017086.p1, TCONS_00017090.p1, TCONS_00017091.p1, TCONS_00017082.p1	bflo_08328, bflo_07783, bflo_19844, bflo_19585, bflo_19127, bflo_19062, bflo_19061, bflo_19371, bflo_18653, bflo_19388
OG0000033	TCONS_00016754.p1, TCONS_00009270.p1, TCONS_00042948.p1	bflo_15322
OG0000033	TCONS_00036759.p1, TCONS_00047220.p1, TCONS_00023095.p1, TCONS_00038290.p1, TCONS_00009749.p1, TCONS_00036215.p1, TCONS_00015661.p1, TCONS_00045647.p1	bflo_26002, bflo_04544, bflo_00163, bflo_06741, bflo_17809, bflo_03709, bflo_11321, bflo_11329, bflo_03793, bflo_19957, bflo_22799, bflo_18950, bflo_24853, bflo_19052, bflo_18243, bflo_00552, bflo_07886, bflo_24852, bflo_17791
OG0000034	TCONS_00005924.p1	bflo_20326
OG0000034	TCONS_00049881.p1, TCONS_00037015.p1	bflo_03308, bflo_13145
OG0000034	TCONS_00029638.p1	bflo_05871
OG0000034	TCONS_00037982.p1	bflo_03310
OG0000034	TCONS_00030311.p1	bflo_07712
OG0000034	TCONS_00029930.p1	bflo_08443
OG0000034	TCONS_00015036.p1	bflo_15884
OG0000034	TCONS_00037412.p1	bflo_03379
OG0000035	TCONS_00003567.p1	bflo_02157
OG0000035	TCONS_00025160.p1	bflo_10387, bflo_26954
OG0000035	TCONS_00023673.p1	bflo_10385
OG0000035	TCONS_00024074.p1	bflo_09462
OG0000035	TCONS_00023006.p1, TCONS_00025465.p1	bflo_09767, bflo_09277
OG0000035	TCONS_00025514.p1	bflo_10386
