Orthogroup	Duplications (all)	Duplications (50% support)
OG0001186	19	19
OG0001187	47	44
OG0001188	30	24
OG0001189	33	27
OG0001190	40	39
OG0001191	25	19
OG0001192	48	43
OG0001193	64	64
OG0001194	67	67
OG0001195	67	67
OG0001196	34	32
OG0001197	16	14
OG0001198	21	18
OG0001199	24	20
OG0001200	41	38
OG0001201	29	19
OG0001202	33	30
OG0001203	29	20
OG0001204	33	25
OG0001205	24	19
OG0001206	43	27
OG0001207	14	11
OG0001208	37	36
OG0001209	47	46
OG0001210	16	11
OG0001211	35	33
OG0001212	29	19
OG0001213	20	18
OG0001214	34	31
OG0001215	31	30
OG0001216	17	13
OG0001217	24	19
OG0001218	27	23
OG0001219	30	28
OG0001220	23	16
OG0001221	37	33
OG0001222	37	33
OG0001223	31	30
OG0001224	41	35
OG0001225	31	28
OG0001226	31	28
OG0001227	31	24
OG0001228	48	42
OG0001229	38	24
OG0001230	19	12
OG0001231	34	32
OG0001232	36	33
OG0001233	34	29
OG0001234	31	25
OG0001235	40	25
OG0001236	30	24
OG0001237	24	22
OG0001238	23	22
OG0001239	35	30
OG0001240	30	28
OG0001241	16	15
OG0001242	44	43
OG0001243	37	34
OG0001244	51	48
OG0001245	29	25
OG0001246	42	40
OG0001247	26	22
OG0001248	27	24
OG0001249	26	21
OG0001250	30	27
OG0001251	27	24
OG0001252	34	31
OG0001253	21	17
OG0001254	34	30
OG0001255	23	21
OG0001256	41	36
OG0001257	49	48
OG0001258	64	64
OG0001259	63	63
OG0001260	64	64
OG0001261	32	29
OG0001262	26	20
OG0001263	22	18
OG0001264	31	25
OG0001265	42	31
OG0001266	17	16
OG0001267	16	13
OG0001268	22	18
OG0001269	60	60
OG0001270	15	13
OG0001271	27	23
OG0001272	27	25
OG0001273	31	28
OG0001274	30	29
OG0001275	29	26
OG0001276	40	38
OG0001277	33	24
OG0001278	22	16
OG0001279	27	24
OG0001280	28	23
OG0001281	27	20
OG0001282	29	25
OG0001283	38	31
OG0001284	16	13
OG0001285	30	24
OG0001286	32	22
OG0001287	27	25
OG0001288	28	21
OG0001289	31	28
OG0001290	26	23
OG0001291	29	28
OG0001292	34	32
OG0001293	23	20
OG0001294	37	34
OG0001295	26	22
OG0001296	28	21
OG0001297	27	21
OG0001298	63	63
OG0001299	63	63
OG0001300	25	19
OG0001301	30	17
OG0001302	16	15
OG0001303	41	34
OG0001304	24	20
OG0001305	29	26
OG0001306	17	13
OG0001307	42	33
OG0001308	25	16
OG0001309	34	29
OG0001310	18	11
OG0001311	20	19
OG0001312	38	35
OG0001313	29	25
OG0001314	35	31
OG0001315	21	18
OG0001316	33	28
OG0001317	28	25
OG0001318	16	15
OG0001319	19	15
OG0001320	19	18
OG0001321	23	14
OG0001322	20	19
OG0001323	19	18
OG0001324	35	26
OG0001325	27	25
OG0001326	21	20
OG0001327	16	13
OG0001328	43	33
OG0001329	22	17
OG0001330	24	24
OG0001331	36	32
OG0001332	32	22
OG0001333	33	30
OG0001334	35	27
OG0001335	27	20
OG0001336	56	54
OG0001337	24	22
OG0001338	20	16
OG0001339	22	14
OG0001340	62	62
OG0001341	33	26
OG0001342	62	62
OG0001343	43	35
OG0001344	38	36
OG0001345	32	29
OG0001346	62	62
OG0001347	60	60
OG0001348	28	26
OG0001349	37	29
OG0001350	23	18
OG0001351	30	25
OG0001352	29	20
OG0001353	16	13
OG0001354	15	12
OG0001355	18	16
OG0001356	26	23
OG0001357	27	25
OG0001358	22	18
OG0001359	26	24
OG0001360	33	30
OG0001361	29	23
OG0001362	21	14
OG0001363	33	25
OG0001364	26	22
OG0001365	29	25
OG0001366	23	13
OG0001367	28	25
OG0001368	28	26
OG0001369	29	28
OG0001370	17	13
OG0001371	29	27
OG0001372	20	16
OG0001373	28	26
OG0001374	34	30
OG0001375	16	15
OG0001376	29	26
OG0001377	31	28
OG0001378	18	10
OG0001379	26	19
OG0001380	33	32
OG0001381	25	21
OG0001382	34	30
OG0001383	33	29
OG0001384	31	26
OG0001385	56	56
OG0001386	27	21
