Orthogroup	BRAFL	PFLAV
OG0000028	bflo_24390, bflo_24387, bflo_05196	TCONS_00029577.p1, TCONS_00029851.p1, TCONS_00028862.p1
OG0000029	bflo_00003	TCONS_00004006.p1
OG0000029	bflo_25831	TCONS_00053078.p1
OG0000029	bflo_00316, bflo_26576	TCONS_00019159.p1
OG0000029	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407	TCONS_00020525.p1
OG0000030	bflo_21886	TCONS_00022258.p1, TCONS_00022256.p1, TCONS_00021153.p1, TCONS_00022346.p1, TCONS_00021156.p1, TCONS_00021155.p1, TCONS_00022226.p1, TCONS_00019519.p1, TCONS_00020559.p1, TCONS_00019429.p1, TCONS_00019523.p1, TCONS_00020417.p1, TCONS_00020557.p1
OG0000030	bflo_25955	TCONS_00054176.p1, TCONS_00054136.p1
OG0000030	bflo_23616	TCONS_00014295.p1, TCONS_00013116.p1
OG0000030	bflo_21367	TCONS_00000713.p1, TCONS_00019506.p1, TCONS_00052333.p1, TCONS_00019514.p1
OG0000030	bflo_09678, bflo_10382	TCONS_00006375.p1, TCONS_00014700.p1, TCONS_00005306.p1, TCONS_00006227.p1, TCONS_00006230.p1, TCONS_00006229.p1
OG0000030	bflo_09719	TCONS_00027726.p1
OG0000030	bflo_22462	TCONS_00021382.p1
OG0000031	bflo_04592, bflo_05889, bflo_05515, bflo_02310	TCONS_00047108.p1
OG0000031	bflo_02501	TCONS_00003900.p1
OG0000031	bflo_02849	TCONS_00002937.p1
OG0000031	bflo_06021	TCONS_00028162.p1
OG0000031	bflo_06369	TCONS_00046710.p1, TCONS_00045709.p1
OG0000031	bflo_15458	TCONS_00041599.p1
OG0000031	bflo_15459	TCONS_00042947.p1
OG0000031	bflo_02405	TCONS_00003964.p1
OG0000032	bflo_12824, bflo_01429	TCONS_00018159.p1
OG0000032	bflo_08327, bflo_09713, bflo_08329, bflo_08426, bflo_01810, bflo_01811, bflo_01636	TCONS_00035360.p1
OG0000032	bflo_23561, bflo_23038, bflo_01635	TCONS_00045890.p1, TCONS_00018770.p1
OG0000032	bflo_08328, bflo_07783, bflo_19844, bflo_19585, bflo_19127, bflo_19062, bflo_19061, bflo_19371, bflo_18653, bflo_19388	TCONS_00017083.p1, TCONS_00017084.p1, TCONS_00017087.p1, TCONS_00002066.p1, TCONS_00002068.p1, TCONS_00017086.p1, TCONS_00017090.p1, TCONS_00017091.p1, TCONS_00017082.p1
OG0000033	bflo_15322	TCONS_00016754.p1, TCONS_00009270.p1, TCONS_00042948.p1
OG0000033	bflo_26002, bflo_04544, bflo_00163, bflo_06741, bflo_17809, bflo_03709, bflo_11321, bflo_11329, bflo_03793, bflo_19957, bflo_22799, bflo_18950, bflo_24853, bflo_19052, bflo_18243, bflo_00552, bflo_07886, bflo_24852, bflo_17791	TCONS_00036759.p1, TCONS_00047220.p1, TCONS_00023095.p1, TCONS_00038290.p1, TCONS_00009749.p1, TCONS_00036215.p1, TCONS_00015661.p1, TCONS_00045647.p1
OG0000034	bflo_20326	TCONS_00005924.p1
OG0000034	bflo_03308, bflo_13145	TCONS_00049881.p1, TCONS_00037015.p1
OG0000034	bflo_05871	TCONS_00029638.p1
OG0000034	bflo_03310	TCONS_00037982.p1
OG0000034	bflo_07712	TCONS_00030311.p1
OG0000034	bflo_08443	TCONS_00029930.p1
OG0000034	bflo_15884	TCONS_00015036.p1
OG0000034	bflo_03379	TCONS_00037412.p1
OG0000035	bflo_02157	TCONS_00003567.p1
OG0000035	bflo_10387, bflo_26954	TCONS_00025160.p1
OG0000035	bflo_10385	TCONS_00023673.p1
OG0000035	bflo_09462	TCONS_00024074.p1
OG0000035	bflo_09767, bflo_09277	TCONS_00023006.p1, TCONS_00025465.p1
OG0000035	bflo_10386	TCONS_00025514.p1
OG0000036	bflo_13764, bflo_12886, bflo_13765, bflo_13767, bflo_03188	TCONS_00008906.p1
OG0000036	bflo_08259, bflo_08260, bflo_16423, bflo_16325	TCONS_00004743.p1, TCONS_00047870.p1, TCONS_00047869.p1, TCONS_00052470.p1, TCONS_00042048.p1, TCONS_00042050.p1, TCONS_00042049.p1, TCONS_00043406.p1
OG0000036	bflo_12806, bflo_12805	TCONS_00007681.p1
OG0000037	bflo_18550, bflo_02879	TCONS_00011439.p1, TCONS_00011440.p1
OG0000037	bflo_10999	TCONS_00011219.p1, TCONS_00011218.p1
OG0000037	bflo_01342	TCONS_00017535.p1
OG0000037	bflo_10180	TCONS_00027658.p1, TCONS_00004627.p1, TCONS_00009673.p1
OG0000038	bflo_04809	TCONS_00000411.p1
OG0000038	bflo_16371	TCONS_00048433.p1
OG0000038	bflo_18868	TCONS_00019232.p2, TCONS_00028396.p1
OG0000038	bflo_18833	TCONS_00028399.p1, TCONS_00028398.p1
OG0000038	bflo_16788	TCONS_00001544.p1
OG0000039	bflo_25339	TCONS_00053909.p1
OG0000039	bflo_22047	TCONS_00044047.p1
OG0000039	bflo_13127, bflo_13500	TCONS_00008253.p1
OG0000039	bflo_25066, bflo_24169	TCONS_00044435.p1, TCONS_00042739.p1, TCONS_00042734.p1
OG0000039	bflo_26070	TCONS_00053908.p1
OG0000039	bflo_06186	TCONS_00011057.p1
OG0000039	bflo_13135, bflo_00692, bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412	TCONS_00003433.p1
OG0000039	bflo_15832	TCONS_00014910.p1
OG0000040	bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272	TCONS_00024097.p1, TCONS_00024098.p1, TCONS_00045509.p1, TCONS_00045506.p1, TCONS_00045516.p1, TCONS_00045517.p1, TCONS_00045514.p1, TCONS_00045510.p1, TCONS_00045512.p1, TCONS_00046641.p1, TCONS_00045518.p1, TCONS_00046639.p1, TCONS_00046638.p1, TCONS_00046635.p1, TCONS_00046634.p1, TCONS_00046632.p1, TCONS_00046631.p1, TCONS_00046636.p1, TCONS_00046637.p1, TCONS_00046648.p1, TCONS_00046649.p1, TCONS_00046633.p1, TCONS_00046630.p1, TCONS_00046629.p1
OG0000041	bflo_09009, bflo_26911, bflo_03344, bflo_12945	TCONS_00024462.p1
OG0000041	bflo_05956	TCONS_00046856.p1
