Orthogroup	BRAFL	HUMAN
OG0000040	bflo_18120, bflo_22334, bflo_22335, bflo_22336, bflo_18296, bflo_21600, bflo_21601, bflo_19151, bflo_22337, bflo_22516, bflo_10596, bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000041	bflo_05956	HUMAN19139, HUMAN27913, HUMAN16617, HUMAN16643, HUMAN28077, HUMAN19052
OG0000042	bflo_10929, bflo_25898, bflo_02971, bflo_02974, bflo_03714, bflo_26102, bflo_03006, bflo_22040, bflo_03610, bflo_26101, bflo_02981, bflo_11796, bflo_02991, bflo_03706, bflo_26342, bflo_25465, bflo_00903	HUMAN21251, HUMAN05520, HUMAN05519, HUMAN05521
OG0000044	bflo_09762	HUMAN22107, HUMAN27712
OG0000044	bflo_07748	HUMAN03043
OG0000045	bflo_20899, bflo_17244	HUMAN02932
OG0000045	bflo_03910	HUMAN28768
OG0000046	bflo_09128, bflo_05621	HUMAN23116
OG0000046	bflo_17346, bflo_17140, bflo_17411, bflo_17138, bflo_15946, bflo_19960, bflo_03865, bflo_11219, bflo_01794, bflo_19942, bflo_19982, bflo_19954, bflo_19961, bflo_19955, bflo_19958, bflo_19956, bflo_19962, bflo_11929, bflo_19932, bflo_10620, bflo_14470, bflo_15030	HUMAN29094
OG0000048	bflo_15152	HUMAN29550
OG0000048	bflo_17669	HUMAN16328
OG0000048	bflo_20353	HUMAN16644
OG0000048	bflo_12849	HUMAN11449
OG0000049	bflo_17665	HUMAN25699, HUMAN05316
OG0000049	bflo_12099	HUMAN20965, HUMAN26499
OG0000049	bflo_12470, bflo_11081	HUMAN24353, HUMAN24922, HUMAN24921, HUMAN26912, HUMAN20433
OG0000049	bflo_17096, bflo_11847	HUMAN26500
OG0000051	bflo_08711	HUMAN22678
OG0000051	bflo_18195, bflo_17371	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000053	bflo_21932, bflo_21926, bflo_18879, bflo_19026	HUMAN01064
OG0000054	bflo_04388	HUMAN23119
OG0000054	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964
OG0000055	bflo_23399	HUMAN02616
OG0000056	bflo_25516	HUMAN22445
OG0000056	bflo_15952	HUMAN07396, HUMAN07395
OG0000056	bflo_22428	HUMAN14865
OG0000057	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221	HUMAN23569, HUMAN10014
OG0000058	bflo_24517	HUMAN14551
OG0000058	bflo_09194	HUMAN17378, HUMAN03592
OG0000058	bflo_23140	HUMAN23378
OG0000058	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406
OG0000058	bflo_23048, bflo_23141	HUMAN13532, HUMAN25949
OG0000059	bflo_15172	HUMAN30238, HUMAN07577
OG0000059	bflo_21855	HUMAN21611
OG0000059	bflo_13996, bflo_14747	HUMAN05382, HUMAN22839, HUMAN23845
OG0000060	bflo_01659, bflo_06661	HUMAN25284
OG0000060	bflo_01384	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988
OG0000061	bflo_18545	HUMAN17964, HUMAN26554
OG0000061	bflo_19266, bflo_18688, bflo_18686, bflo_18896	HUMAN18142, HUMAN20809
OG0000061	bflo_18999, bflo_19344	HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337
OG0000061	bflo_19609, bflo_18544, bflo_19608, bflo_19290	HUMAN26138, HUMAN26137, HUMAN12821
OG0000062	bflo_17250, bflo_01624	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195
OG0000062	bflo_13529	HUMAN25285
OG0000063	bflo_25923	HUMAN00859, HUMAN28501
OG0000063	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753	HUMAN18628, HUMAN03783, HUMAN03782
OG0000066	bflo_04761, bflo_11842	HUMAN29798
OG0000067	bflo_06923, bflo_06916, bflo_24559, bflo_02686, bflo_17376, bflo_24606, bflo_18581, bflo_07727, bflo_04022, bflo_03936	HUMAN23532
OG0000068	bflo_12119	HUMAN26983
OG0000069	bflo_26384	HUMAN01574
OG0000069	bflo_05168	HUMAN13360
OG0000069	bflo_07771	HUMAN13361, HUMAN02574
OG0000069	bflo_24611	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658
OG0000069	bflo_25591	HUMAN01571
OG0000069	bflo_26381	HUMAN01569
OG0000070	bflo_17097, bflo_18391, bflo_18274	HUMAN25671, HUMAN29634, HUMAN30393
OG0000070	bflo_19712, bflo_19610, bflo_18938, bflo_18939, bflo_18680, bflo_18677, bflo_08024, bflo_18676, bflo_06405, bflo_17765, bflo_24928, bflo_03653, bflo_13031, bflo_19530, bflo_18681, bflo_18560, bflo_19218, bflo_19322, bflo_19716, bflo_18678, bflo_18529, bflo_05505, bflo_19611, bflo_01821, bflo_08623, bflo_19607, bflo_03948, bflo_15003, bflo_25235	HUMAN14161
OG0000071	bflo_24861	HUMAN17352
OG0000072	bflo_14354	HUMAN24108, HUMAN23125, HUMAN05334
OG0000072	bflo_14484, bflo_04637	HUMAN22965, HUMAN22964, HUMAN04101
OG0000072	bflo_14474	HUMAN22852
OG0000073	bflo_23562	HUMAN25174, HUMAN25175
OG0000073	bflo_15886	HUMAN19028, HUMAN27930, HUMAN11516, HUMAN27929
OG0000073	bflo_10835	HUMAN06831, HUMAN06836
OG0000074	bflo_10921	HUMAN07045, HUMAN07044, HUMAN21437
OG0000074	bflo_14737	HUMAN09283
OG0000075	bflo_02192	HUMAN12839, HUMAN02593
OG0000075	bflo_02500	HUMAN18233
OG0000075	bflo_02607	HUMAN06329
OG0000075	bflo_24625	HUMAN00444
OG0000075	bflo_21844	HUMAN05218
OG0000075	bflo_02487	HUMAN18234, HUMAN06328
OG0000075	bflo_12189	HUMAN01424, HUMAN01425, HUMAN26867
OG0000075	bflo_11040	HUMAN05783, HUMAN21047
OG0000075	bflo_12166	HUMAN20335, HUMAN20336, HUMAN20532
OG0000075	bflo_11652	HUMAN26884
OG0000077	bflo_09725	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606
OG0000077	bflo_20919, bflo_20836, bflo_03467, bflo_21221, bflo_01044, bflo_00674, bflo_00541, bflo_14967, bflo_10820, bflo_23366	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146
OG0000077	bflo_18777, bflo_23174	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402
OG0000078	bflo_05955	HUMAN16744
OG0000078	bflo_03225, bflo_03224, bflo_03600, bflo_00994, bflo_16269, bflo_01905, bflo_16844, bflo_16039, bflo_09080, bflo_03425, bflo_02138	HUMAN15000, HUMAN04284, HUMAN06996
OG0000079	bflo_00523	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848
OG0000079	bflo_07371	HUMAN22600, HUMAN22601, HUMAN24340
OG0000079	bflo_20026	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260
OG0000079	bflo_01658	HUMAN14208
OG0000079	bflo_15789, bflo_21965, bflo_10278, bflo_21970, bflo_21968	HUMAN14194, HUMAN14192
OG0000081	bflo_15913, bflo_15912, bflo_16774, bflo_16578, bflo_25892, bflo_26241	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678
OG0000081	bflo_25900, bflo_13564, bflo_13563	HUMAN13949, HUMAN13947, HUMAN13948, HUMAN27508, HUMAN09549, HUMAN21908, HUMAN19354, HUMAN21352
OG0000082	bflo_15900	HUMAN29167
OG0000082	bflo_04889	HUMAN23869
OG0000083	bflo_14979, bflo_14980, bflo_14849, bflo_14850, bflo_15203, bflo_08533	HUMAN07535, HUMAN22993
OG0000084	bflo_10754	HUMAN03696
OG0000084	bflo_08430	HUMAN22750, HUMAN17196, HUMAN03227
OG0000085	bflo_00992	HUMAN12866, HUMAN20608, HUMAN17788
OG0000085	bflo_12569	HUMAN26172
OG0000085	bflo_17482	HUMAN30084, HUMAN01484, HUMAN25335, HUMAN25334
OG0000085	bflo_20149	HUMAN07214, HUMAN13120
OG0000085	bflo_18272, bflo_18210	HUMAN25832
OG0000087	bflo_21260	HUMAN11956
OG0000087	bflo_15474, bflo_15461	HUMAN02557
OG0000087	bflo_08208	HUMAN17213
OG0000087	bflo_02993	HUMAN21001
OG0000087	bflo_02949, bflo_07784, bflo_11840	HUMAN18010
OG0000087	bflo_11911	HUMAN21063
OG0000087	bflo_22659	HUMAN10659
OG0000088	bflo_12484, bflo_25913, bflo_26055, bflo_02835, bflo_07337, bflo_02839, bflo_02837, bflo_19718, bflo_03903, bflo_20323, bflo_00738, bflo_20465	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367
OG0000089	bflo_02193, bflo_05485, bflo_04536, bflo_25331, bflo_08302, bflo_01704, bflo_02380, bflo_07198, bflo_24284, bflo_27461, bflo_24333, bflo_05569, bflo_17128, bflo_12545, bflo_05487	HUMAN21235
OG0000089	bflo_17962, bflo_17832, bflo_01283, bflo_21188	HUMAN29653, HUMAN25674
OG0000090	bflo_16621	HUMAN24709
OG0000090	bflo_02393	HUMAN28948
