Orthogroup	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
OG0050931	AENJA_05438																							
OG0050932	AENJA_05448																							
OG0050933	AENJA_05455																							
OG0050934	AENJA_05464																							
OG0050935	AENJA_05485																							
OG0050936	AENJA_05487																							
OG0050937	AENJA_05496																							
OG0050938	AENJA_05500																							
OG0050939	AENJA_05520																							
OG0050940	AENJA_05522																							
OG0050941	AENJA_05523																							
OG0050942	AENJA_05532																							
OG0050943	AENJA_05536																							
OG0050944	AENJA_05537																							
OG0050945	AENJA_05544																							
OG0050946	AENJA_05580																							
OG0050947	AENJA_05582																							
OG0050948	AENJA_05587																							
OG0050949	AENJA_05588																							
OG0050950	AENJA_05590																							
OG0050951	AENJA_05604																							
OG0050952	AENJA_05618																							
OG0050953	AENJA_05631																							
OG0050954	AENJA_05639																							
OG0050955	AENJA_05644																							
OG0050956	AENJA_05649																							
OG0050957	AENJA_05679																							
OG0050958	AENJA_05686																							
OG0050959	AENJA_05726																							
OG0050960	AENJA_05728																							
OG0050961	AENJA_05744																							
OG0050962	AENJA_05761																							
OG0050963	AENJA_05764																							
OG0050964	AENJA_05777																							
OG0050965	AENJA_05795																							
OG0050966	AENJA_05803																							
OG0050967	AENJA_05804																							
OG0050968	AENJA_05806																							
OG0050969	AENJA_05808																							
OG0050970	AENJA_05811																							
OG0050971	AENJA_05826																							
OG0050972	AENJA_05827																							
OG0050973	AENJA_05833																							
OG0050974	AENJA_05834																							
OG0050975	AENJA_05838																							
OG0050976	AENJA_05848																							
OG0050977	AENJA_05852																							
OG0050978	AENJA_05860																							
OG0050979	AENJA_05862																							
OG0050980	AENJA_05880																							
OG0050981	AENJA_05881																							
OG0050982	AENJA_05914																							
OG0050983	AENJA_05930																							
OG0050984	AENJA_05932																							
OG0050985	AENJA_05945																							
OG0050986	AENJA_05946																							
OG0050987	AENJA_05954																							
OG0050988	AENJA_05958																							
OG0050989	AENJA_05990																							
OG0050990	AENJA_06000																							
OG0050991	AENJA_06004																							
OG0050992	AENJA_06006																							
OG0050993	AENJA_06009																							
OG0050994	AENJA_06015																							
OG0050995	AENJA_06022																							
OG0050996	AENJA_06039																							
OG0050997	AENJA_06040																							
OG0050998	AENJA_06042																							
OG0050999	AENJA_06063																							
OG0051000	AENJA_06065																							
OG0051001	AENJA_06066																							
OG0051002	AENJA_06068																							
OG0051003	AENJA_06084																							
OG0051004	AENJA_06103																							
OG0051005	AENJA_06115																							
OG0051006	AENJA_06117																							
OG0051007	AENJA_06126																							
OG0051008	AENJA_06130																							
OG0051009	AENJA_06133																							
OG0051010	AENJA_06135																							
OG0051011	AENJA_06138																							
OG0051012	AENJA_06176																							
OG0051013	AENJA_06202																							
OG0051014	AENJA_06224																							
OG0051015	AENJA_06225																							
OG0051016	AENJA_06226																							
OG0051017	AENJA_06233																							
OG0051018	AENJA_06235																							
OG0051019	AENJA_06244																							
OG0051020	AENJA_06258																							
OG0051021	AENJA_06260																							
OG0051022	AENJA_06269																							
OG0051023	AENJA_06273																							
OG0051024	AENJA_06286																							
OG0051025	AENJA_06289																							
OG0051026	AENJA_06290																							
OG0051027	AENJA_06292																							
OG0051028	AENJA_06296																							
OG0051029	AENJA_06297																							
OG0051030	AENJA_06302																							
