Orthogroup	SACKO_ok	DANRE
OG0000075	SACKO_31868	DANRE41686, DANRE41687, DANRE35873, DANRE35872
OG0000075	SACKO_31864	DANRE23134, DANRE23133
OG0000075	SACKO_16948	DANRE09985, DANRE09984, DANRE09983, DANRE02787
OG0000075	SACKO_18318	DANRE01002, DANRE34361
OG0000075	SACKO_31867	DANRE41688, DANRE23132
OG0000075	SACKO_23452	DANRE36834, DANRE40515, DANRE12778
OG0000075	SACKO_23651	DANRE30937, DANRE41300
OG0000075	SACKO_09677	DANRE24998, DANRE31372, DANRE31373, DANRE22408, DANRE02483
OG0000075	SACKO_16926	DANRE31021, DANRE31022
OG0000077	SACKO_10609, SACKO_13734	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691
OG0000077	SACKO_03449	DANRE24245, DANRE24244, DANRE10615, DANRE10614, DANRE34995, DANRE08145
OG0000077	SACKO_24063	DANRE01477, DANRE40866, DANRE22036, DANRE06030, DANRE20156, DANRE16358
OG0000077	SACKO_16621, SACKO_13762	DANRE11696, DANRE11492, DANRE16170, DANRE41853, DANRE41854, DANRE17386
OG0000077	SACKO_02025	DANRE40644, DANRE19656, DANRE19657
OG0000078	SACKO_29101, SACKO_02475	DANRE39894, DANRE39895, DANRE39896, DANRE26111, DANRE26112, DANRE36848, DANRE30865, DANRE30864
