Orthogroup	CAEEL	PFLAV
OG0000114	CAEEL18136	TCONS_00052106.p1, TCONS_00052119.p1, TCONS_00052126.p1, TCONS_00052128.p1, TCONS_00052122.p1, TCONS_00052108.p1, TCONS_00052127.p1, TCONS_00052120.p1, TCONS_00052107.p1, TCONS_00052118.p1, TCONS_00052105.p1, TCONS_00051213.p1, TCONS_00051211.p1
OG0000117	CAEEL08400	TCONS_00053049.p1
OG0000117	CAEEL07433	TCONS_00000464.p1
OG0000119	CAEEL08480	TCONS_00056170.p1
OG0000119	CAEEL08396	TCONS_00056847.p1, TCONS_00056846.p1
OG0000120	CAEEL14397, CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053	TCONS_00056103.p1
OG0000124	CAEEL19897	TCONS_00021851.p1, TCONS_00022661.p1, TCONS_00021848.p1, TCONS_00022673.p1
OG0000124	CAEEL15384, CAEEL15382	TCONS_00010577.p1
OG0000125	CAEEL19671	TCONS_00024248.p1, TCONS_00006659.p1
OG0000126	CAEEL09101	TCONS_00044227.p1
OG0000126	CAEEL10194	TCONS_00027983.p1
OG0000127	CAEEL19207	TCONS_00021994.p1
OG0000127	CAEEL20452	TCONS_00021998.p1
OG0000127	CAEEL00838	TCONS_00045275.p1
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	TCONS_00050530.p1, TCONS_00051576.p1, TCONS_00055259.p1, TCONS_00056435.p1, TCONS_00056437.p1, TCONS_00056436.p1, TCONS_00056434.p1, TCONS_00018413.p1, TCONS_00018401.p1, TCONS_00021199.p1, TCONS_00021200.p1, TCONS_00011486.p1, TCONS_00011543.p1, TCONS_00011542.p1, TCONS_00010148.p1, TCONS_00010154.p1, TCONS_00010149.p1, TCONS_00010152.p1, TCONS_00010153.p1, TCONS_00010155.p1, TCONS_00011487.p1
OG0000129	CAEEL12325	TCONS_00021318.p1
OG0000131	CAEEL08663	TCONS_00017719.p1, TCONS_00017718.p1, TCONS_00018860.p1, TCONS_00000480.p1
OG0000132	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	TCONS_00012797.p1, TCONS_00012805.p1
OG0000137	CAEEL10559	TCONS_00000131.p1, TCONS_00023555.p1, TCONS_00023592.p1, TCONS_00023593.p1
OG0000137	CAEEL15802, CAEEL15801	TCONS_00046122.p1
OG0000147	CAEEL04811	TCONS_00050037.p1
OG0000147	CAEEL18488	TCONS_00016785.p1
OG0000148	CAEEL09804	TCONS_00049717.p1
OG0000149	CAEEL02847	TCONS_00032530.p1
OG0000154	CAEEL02932	TCONS_00001016.p1
OG0000155	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957	TCONS_00044986.p1
OG0000157	CAEEL00241	TCONS_00032491.p1
OG0000157	CAEEL14384, CAEEL15927, CAEEL15568, CAEEL01598, CAEEL16076, CAEEL14820, CAEEL15084, CAEEL11463	TCONS_00016380.p1
OG0000158	CAEEL20117, CAEEL08684	TCONS_00046407.p1
OG0000159	CAEEL19486	TCONS_00018160.p1, TCONS_00017948.p1
OG0000159	CAEEL02031	TCONS_00001141.p1
OG0000159	CAEEL05281	TCONS_00014999.p1, TCONS_00052198.p1
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	TCONS_00049502.p1, TCONS_00049500.p1, TCONS_00049499.p1, TCONS_00006746.p1, TCONS_00005557.p1, TCONS_00005567.p1, TCONS_00005556.p1, TCONS_00005566.p1, TCONS_00005570.p1, TCONS_00005558.p1, TCONS_00006218.p1, TCONS_00030030.p1, TCONS_00030031.p1, TCONS_00030037.p1, TCONS_00030036.p1, TCONS_00018408.p1, TCONS_00018422.p1, TCONS_00018553.p1, TCONS_00029348.p1, TCONS_00004928.p1
OG0000163	CAEEL08313	TCONS_00013883.p1, TCONS_00012644.p1, TCONS_00013888.p1, TCONS_00013889.p1
OG0000163	CAEEL20194, CAEEL08850	TCONS_00019995.p1, TCONS_00019992.p1
OG0000164	CAEEL09304	TCONS_00029061.p1, TCONS_00029304.p1, TCONS_00029305.p1, TCONS_00028530.p1, TCONS_00028531.p1, TCONS_00029699.p1, TCONS_00029060.p1
OG0000164	CAEEL05807	TCONS_00023443.p1, TCONS_00023476.p1
OG0000167	CAEEL02846	TCONS_00046658.p1
