Orthogroup	CAEEL	NEMVE
OG0000168	CAEEL10744, CAEEL09425, CAEEL11389, CAEEL18543, CAEEL05482	NEMVE10579
OG0000168	CAEEL19018	NEMVE11950, NEMVE10581, NEMVE12729, NEMVE21914, NEMVE11814, NEMVE12386, NEMVE14100, NEMVE08169
OG0000169	CAEEL15798	NEMVE20740
OG0000171	CAEEL00910, CAEEL20651	NEMVE00074, NEMVE07354, NEMVE02113, NEMVE02080
OG0000171	CAEEL11480	NEMVE13315
OG0000173	CAEEL04156	NEMVE17194, NEMVE14093, NEMVE11931, NEMVE01064, NEMVE10209, NEMVE00927, NEMVE22389, NEMVE08851
OG0000174	CAEEL09479	NEMVE22424, NEMVE05336, NEMVE05301, NEMVE11815
OG0000175	CAEEL19241	NEMVE08062
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	NEMVE00450, NEMVE15112
OG0000179	CAEEL13640	NEMVE22700
OG0000179	CAEEL02965, CAEEL06713	NEMVE14969, NEMVE18776
OG0000179	CAEEL19466, CAEEL07193	NEMVE07348, NEMVE15362
OG0000180	CAEEL06539	NEMVE07464
OG0000181	CAEEL07684	NEMVE24124
OG0000181	CAEEL10858	NEMVE23021
OG0000181	CAEEL10772	NEMVE13840, NEMVE02915
OG0000181	CAEEL12632	NEMVE13666, NEMVE22609
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	NEMVE11293
OG0000183	CAEEL18435	NEMVE10854, NEMVE13332
OG0000184	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164	NEMVE14657, NEMVE21989
OG0000185	CAEEL14200, CAEEL14122	NEMVE24028
OG0000186	CAEEL04404	NEMVE20616, NEMVE25738, NEMVE21024
OG0000186	CAEEL13010	NEMVE23359
OG0000188	CAEEL20699	NEMVE13624
OG0000191	CAEEL14244	NEMVE06357, NEMVE16189
OG0000191	CAEEL19421, CAEEL09443, CAEEL19122, CAEEL15476	NEMVE19938
OG0000191	CAEEL08724, CAEEL08082	NEMVE20056, NEMVE07639, NEMVE07647, NEMVE10676, NEMVE12682
OG0000192	CAEEL00285	NEMVE05593
OG0000193	CAEEL18944, CAEEL09482, CAEEL14826, CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079	NEMVE10259, NEMVE11693, NEMVE07643
OG0000193	CAEEL08719, CAEEL15014, CAEEL15011, CAEEL13132, CAEEL16410, CAEEL16409, CAEEL08797, CAEEL15012, CAEEL15013, CAEEL13133, CAEEL18985	NEMVE10068, NEMVE11691, NEMVE10067, NEMVE13255, NEMVE10260, NEMVE07641, NEMVE11522, NEMVE05479, NEMVE02730
OG0000194	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382	NEMVE11646, NEMVE08721
OG0000200	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152	NEMVE14737, NEMVE09501, NEMVE00651, NEMVE21943
OG0000201	CAEEL07587	NEMVE09097
OG0000202	CAEEL20283, CAEEL09165	NEMVE18137, NEMVE01256
OG0000203	CAEEL09812	NEMVE13514, NEMVE23942, NEMVE06833, NEMVE16297, NEMVE03834, NEMVE02777, NEMVE23941
OG0000205	CAEEL13029	NEMVE09132
OG0000205	CAEEL07272, CAEEL07274, CAEEL07273	NEMVE22488, NEMVE07344, NEMVE13282, NEMVE02003, NEMVE05573
OG0000207	CAEEL00203	NEMVE14338, NEMVE18126
OG0000208	CAEEL08447, CAEEL07330, CAEEL20488, CAEEL08722	NEMVE01513, NEMVE06396
