Orthogroup	CAEEL	SCHMD
OG0000197	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188	SCHMD17861, SCHMD23209
OG0000200	CAEEL12936, CAEEL14770, CAEEL14767, CAEEL14769, CAEEL14768, CAEEL14529, CAEEL12940, CAEEL13152	SCHMD07833, SCHMD18193, SCHMD17707
OG0000201	CAEEL07587	SCHMD00317, SCHMD09035
OG0000202	CAEEL09165	SCHMD17013
OG0000205	CAEEL13029	SCHMD01159, SCHMD14901, SCHMD14452, SCHMD14902, SCHMD14453
OG0000205	CAEEL07272, CAEEL07274, CAEEL07273	SCHMD03008, SCHMD07998, SCHMD07996
OG0000207	CAEEL05874	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396
OG0000208	CAEEL08447, CAEEL07330, CAEEL20488, CAEEL08722	SCHMD02180
OG0000210	CAEEL19469	SCHMD24015
OG0000211	CAEEL15290	SCHMD21436
OG0000211	CAEEL02311	SCHMD10115
OG0000218	CAEEL07824, CAEEL20213	SCHMD01527, SCHMD26821
OG0000221	CAEEL10747, CAEEL06648	SCHMD10720
OG0000223	CAEEL01621, CAEEL00892	SCHMD03921, SCHMD02888, SCHMD07141, SCHMD29544
OG0000225	CAEEL00458	SCHMD14160, SCHMD23340, SCHMD13094
OG0000225	CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881	SCHMD25261, SCHMD22794, SCHMD14161
OG0000226	CAEEL10068, CAEEL15041	SCHMD28293
OG0000227	CAEEL19645	SCHMD25908, SCHMD05741, SCHMD05742, SCHMD06927, SCHMD26170, SCHMD05353, SCHMD25852, SCHMD04380
OG0000230	CAEEL14845, CAEEL19792	SCHMD23835, SCHMD14315
OG0000230	CAEEL13030	SCHMD27521, SCHMD14316
OG0000231	CAEEL08481	SCHMD15225, SCHMD17377
OG0000231	CAEEL01724	SCHMD24769, SCHMD25604
OG0000231	CAEEL16546	SCHMD18752, SCHMD17488
OG0000233	CAEEL03636, CAEEL19665, CAEEL19664	SCHMD05000, SCHMD19540, SCHMD06716
OG0000235	CAEEL10795, CAEEL07012	SCHMD29163
OG0000236	CAEEL19835	SCHMD00730
OG0000238	CAEEL15431	SCHMD22146, SCHMD14066
OG0000239	CAEEL14926	SCHMD03432
OG0000239	CAEEL00570	SCHMD06547
OG0000242	CAEEL09632	SCHMD01201, SCHMD06951, SCHMD14093
OG0000242	CAEEL00216	SCHMD12559
OG0000242	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477	SCHMD20260
OG0000243	CAEEL13597, CAEEL13598	SCHMD12372
OG0000244	CAEEL11789, CAEEL12688	SCHMD21826, SCHMD15740, SCHMD18441, SCHMD21827
OG0000248	CAEEL17077	SCHMD25860
OG0000250	CAEEL11963	SCHMD07715, SCHMD11126
OG0000250	CAEEL07261	SCHMD00165
OG0000250	CAEEL06732	SCHMD03762, SCHMD05189
OG0000255	CAEEL05168	SCHMD14618, SCHMD25034
OG0000256	CAEEL11937, CAEEL19468	SCHMD06220
OG0000258	CAEEL19537	SCHMD19345, SCHMD00959
OG0000260	CAEEL11482	SCHMD00232, SCHMD09054, SCHMD09053, SCHMD00231
OG0000261	CAEEL20767	SCHMD07513, SCHMD19684, SCHMD09437, SCHMD06264, SCHMD17166
OG0000265	CAEEL20581	SCHMD14945, SCHMD03613, SCHMD19985
OG0000265	CAEEL10364	SCHMD18240, SCHMD09007
OG0000266	CAEEL02706	SCHMD23339
OG0000266	CAEEL02705, CAEEL19379, CAEEL09158	SCHMD11802
OG0000268	CAEEL08931	SCHMD02532, SCHMD02534
OG0000268	CAEEL09209	SCHMD25205, SCHMD21697, SCHMD06925, SCHMD06924, SCHMD06926, SCHMD10813, SCHMD14268
OG0000268	CAEEL08164	SCHMD25441
OG0000269	CAEEL10894	SCHMD02382, SCHMD21902
OG0000270	CAEEL16185, CAEEL17969, CAEEL17970	SCHMD21159, SCHMD17864
OG0000272	CAEEL11804, CAEEL19905	SCHMD13324, SCHMD08067
OG0000273	CAEEL18644	SCHMD09689
OG0000275	CAEEL11381, CAEEL10050	SCHMD24873
OG0000277	CAEEL07730, CAEEL07729	SCHMD09439
OG0000277	CAEEL07250	SCHMD27259
