Orthogroup	DROME	OWEFU
OG0000065	DROME22058	OFUSG22574.1.p1, OFUSG23358.1.p1, OFUSG12395.1.p1, OFUSG23801.1.p1, OFUSG23802.1.p1, OFUSG23800.1.p1, OFUSG01605.1.p1, OFUSG15392.1.p1, OFUSG01606.1.p1, OFUSG01817.1.p1, OFUSG16109.1.p1, OFUSG08606.1.p1, OFUSG25251.1.p1, OFUSG10638.1.p1, OFUSG03941.1.p1, OFUSG20646.1.p1, OFUSG26222.1.p1, OFUSG00747.1.p1, OFUSG00365.1.p1, OFUSG20533.1.p1
OG0000065	DROME11358	OFUSG05640.1.p1, OFUSG08086.1.p1, OFUSG08011.1.p1
OG0000066	DROME14379	OFUSG11553.1.p1
OG0000067	DROME11908, DROME11924, DROME11927, DROME05633	OFUSG01517.1.p1, OFUSG21774.1.p1
OG0000068	DROME18366, DROME18368, DROME18367	OFUSG19455.1.p1
OG0000068	DROME18209	OFUSG06649.2.p1, OFUSG06649.1.p1
OG0000069	DROME03713	OFUSG26968.1.p1, OFUSG26973.1.p1, OFUSG26972.1.p1
OG0000070	DROME04028, DROME04029, DROME06783	OFUSG13486.2.p1, OFUSG13486.1.p1, OFUSG01308.1.p1, OFUSG01308.2.p1
OG0000070	DROME17588, DROME17589, DROME19032	OFUSG07601.1.p1, OFUSG19636.1.p1, OFUSG12494.1.p1, OFUSG12493.1.p1, OFUSG19637.1.p1, OFUSG25749.1.p1
OG0000071	DROME14965	OFUSG18279.1.p1, OFUSG18280.1.p1, OFUSG18277.1.p1, OFUSG13697.1.p1, OFUSG09087.1.p1
OG0000071	DROME21550, DROME16775, DROME16543, DROME02809, DROME02810, DROME02811, DROME02814, DROME02808, DROME02812	OFUSG08108.1.p1
OG0000072	DROME12247, DROME12248	OFUSG02543.3.p1, OFUSG02543.1.p1, OFUSG02543.2.p1
OG0000072	DROME00154	OFUSG02679.1.p1, OFUSG02679.2.p1
OG0000072	DROME00750	OFUSG03079.1.p1
OG0000072	DROME14913	OFUSG10198.1.p1
OG0000073	DROME14684	OFUSG13409.1.p1
OG0000074	DROME03014	OFUSG24829.1.p1, OFUSG06062.1.p1
OG0000075	DROME01374	OFUSG16172.1.p1
OG0000075	DROME01373	OFUSG16504.1.p1
OG0000075	DROME01375	OFUSG16171.1.p1, OFUSG16171.2.p1
OG0000075	DROME04883, DROME04882	OFUSG18892.2.p1, OFUSG18892.1.p1
OG0000077	DROME15696, DROME15698, DROME15697	OFUSG05945.4.p1, OFUSG05945.3.p1, OFUSG05945.2.p1, OFUSG05945.1.p1
OG0000077	DROME07079, DROME07077, DROME07078	OFUSG04692.1.p1
OG0000077	DROME18051	OFUSG05776.1.p1, OFUSG24718.1.p1
OG0000077	DROME15502, DROME15501	OFUSG19471.1.p1, OFUSG19327.1.p1
OG0000077	DROME12670	OFUSG06337.1.p1
OG0000078	DROME15695	OFUSG16348.1.p1, OFUSG16350.1.p1, OFUSG04342.1.p1, OFUSG04340.1.p1, OFUSG04336.1.p1, OFUSG16350.2.p1, OFUSG16350.3.p1, OFUSG14729.1.p1, OFUSG25407.3.p1, OFUSG25407.2.p1, OFUSG25408.1.p1, OFUSG25407.1.p1, OFUSG06117.1.p1, OFUSG13932.1.p1, OFUSG09478.1.p1, OFUSG04630.1.p1, OFUSG00727.1.p1
OG0000079	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316	OFUSG21029.1.p1
OG0000079	DROME14749, DROME14748, DROME14747, DROME14750	OFUSG23598.1.p1, OFUSG13995.1.p1, OFUSG00197.1.p1, OFUSG00197.2.p1, OFUSG13998.1.p1, OFUSG10422.3.p1, OFUSG10422.2.p1, OFUSG10422.1.p1, OFUSG10422.4.p1
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	OFUSG24101.1.p1
