Orthogroup	DROME	SCHMD
OG0000268	DROME06544, DROME06542, DROME06543	SCHMD06926, SCHMD10813, SCHMD14268
OG0000268	DROME00943, DROME00944	SCHMD25441
OG0000270	DROME17880	SCHMD21159, SCHMD17864
OG0000270	DROME14671, DROME14672, DROME14673, DROME14674	SCHMD16423
OG0000272	DROME05031, DROME05029, DROME05030	SCHMD13324, SCHMD08067
OG0000273	DROME09248, DROME09247, DROME10822, DROME20533	SCHMD09689
OG0000273	DROME11374, DROME11373, DROME18659, DROME18660, DROME13047	SCHMD18528, SCHMD25490
OG0000277	DROME03338, DROME03337, DROME03339, DROME03340, DROME03341, DROME03342	SCHMD09439
OG0000277	DROME03640, DROME03639, DROME21210, DROME21209, DROME08160	SCHMD27259, SCHMD14857, SCHMD14380, SCHMD02171, SCHMD17662
OG0000278	DROME02023	SCHMD04708, SCHMD14538
OG0000280	DROME14500, DROME14502, DROME14501, DROME14499	SCHMD22604
OG0000280	DROME18032	SCHMD09460
OG0000280	DROME01076, DROME06229	SCHMD23115
OG0000282	DROME05714	SCHMD05137
OG0000282	DROME11686	SCHMD15635, SCHMD25636
OG0000284	DROME17657	SCHMD23360, SCHMD08213
OG0000285	DROME00993	SCHMD29037
