Orthogroup	MOUSE	BRAFL
OG0000036	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723	bflo_12806, bflo_12805
OG0000037	MOUSE10993, MOUSE10994, MOUSE10992, MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745, MOUSE07837, MOUSE07836, MOUSE07835, MOUSE20306	bflo_18550, bflo_02879
OG0000037	MOUSE49952, MOUSE49951, MOUSE20178, MOUSE43378	bflo_10999
OG0000037	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631	bflo_01343, bflo_01342
OG0000037	MOUSE21441	bflo_10180
OG0000038	MOUSE22591, MOUSE22592	bflo_18855
OG0000038	MOUSE41278	bflo_11477
OG0000039	MOUSE32704	bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169
OG0000039	MOUSE23387	bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412
OG0000040	MOUSE38749, MOUSE38739, MOUSE38746, MOUSE38748	bflo_18133
OG0000040	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413	bflo_18120, bflo_22334, bflo_22335, bflo_22336, bflo_18296, bflo_21600, bflo_21601, bflo_19151, bflo_22337, bflo_22516, bflo_10596, bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272
OG0000041	MOUSE28829, MOUSE21621, MOUSE06756, MOUSE06702, MOUSE13395, MOUSE28657	bflo_05956
OG0000042	MOUSE51171	bflo_01922, bflo_01196, bflo_01197
OG0000042	MOUSE15999, MOUSE51169, MOUSE51168, MOUSE51170, MOUSE51172, MOUSE38450, MOUSE38449, MOUSE38448, MOUSE38451	bflo_10929, bflo_25898, bflo_02971, bflo_02974, bflo_03714, bflo_26102, bflo_03006, bflo_22040, bflo_03610, bflo_26101, bflo_02981, bflo_11796, bflo_02991, bflo_03706, bflo_26342, bflo_25465, bflo_00903
OG0000044	MOUSE35862, MOUSE46639	bflo_09762
OG0000044	MOUSE41161, MOUSE41162	bflo_07748
OG0000045	MOUSE25074	bflo_20899, bflo_17244
OG0000045	MOUSE20735	bflo_03910
OG0000046	MOUSE48114, MOUSE48113	bflo_09128, bflo_05621
OG0000046	MOUSE54722, MOUSE34003	bflo_12973, bflo_25564, bflo_11116, bflo_21984
OG0000046	MOUSE32874	bflo_17346, bflo_17140, bflo_17411, bflo_17138, bflo_15946, bflo_19960, bflo_03865, bflo_11219, bflo_01794, bflo_19942, bflo_19982, bflo_19954, bflo_19961, bflo_19955, bflo_19958, bflo_19956, bflo_19962, bflo_11929, bflo_19932, bflo_10620, bflo_14470, bflo_15030
OG0000048	MOUSE55730	bflo_15152
OG0000048	MOUSE42201, MOUSE42202	bflo_17669
