Orthogroup	MOUSE	CAEEL
OG0000103	MOUSE03946, MOUSE03948, MOUSE03949, MOUSE03945, MOUSE03951, MOUSE03944, MOUSE12336, MOUSE12340, MOUSE15975, MOUSE28384	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	MOUSE43972, MOUSE43973, MOUSE43970, MOUSE43971, MOUSE43974, MOUSE03980, MOUSE03977, MOUSE03979, MOUSE15157, MOUSE14014	CAEEL01469, CAEEL18445
OG0000104	MOUSE50572, MOUSE50573, MOUSE16444, MOUSE16442, MOUSE16443, MOUSE16439, MOUSE16441, MOUSE16438, MOUSE16437, MOUSE16440, MOUSE16436	CAEEL04070
OG0000104	MOUSE06976, MOUSE06975, MOUSE06978, MOUSE06980, MOUSE06979, MOUSE06981, MOUSE06983, MOUSE06982, MOUSE15501, MOUSE15498, MOUSE15499, MOUSE05643, MOUSE05641, MOUSE05642, MOUSE06977, MOUSE50577, MOUSE16445, MOUSE16446, MOUSE50574, MOUSE50575, MOUSE50576, MOUSE16174, MOUSE23464, MOUSE23465, MOUSE23463, MOUSE01968, MOUSE01967, MOUSE01969, MOUSE53764, MOUSE22551, MOUSE22550	CAEEL18800
OG0000106	MOUSE15287, MOUSE04920, MOUSE04918, MOUSE30798, MOUSE30797, MOUSE51789, MOUSE51787, MOUSE51788	CAEEL19130, CAEEL20701
OG0000107	MOUSE41813	CAEEL06331, CAEEL14935, CAEEL14956, CAEEL11700, CAEEL06324, CAEEL11716, CAEEL01947, CAEEL10932, CAEEL15125, CAEEL06328, CAEEL14949, CAEEL14857, CAEEL16896, CAEEL10739, CAEEL11693, CAEEL19175
OG0000110	MOUSE04692	CAEEL18731
OG0000110	MOUSE38814	CAEEL15167
OG0000111	MOUSE17075, MOUSE14044, MOUSE06017, MOUSE06016, MOUSE07126, MOUSE28116, MOUSE53772, MOUSE29257, MOUSE29259, MOUSE29254, MOUSE21512, MOUSE34168, MOUSE00043, MOUSE00042, MOUSE00044, MOUSE00053, MOUSE00055, MOUSE00045, MOUSE00060, MOUSE00058, MOUSE00059, MOUSE00062, MOUSE00054, MOUSE00065, MOUSE00066, MOUSE00064, MOUSE00057, MOUSE00051, MOUSE00050, MOUSE00049, MOUSE00063, MOUSE00056, MOUSE00061, MOUSE00052, MOUSE21513	CAEEL20845
OG0000113	MOUSE33596, MOUSE33595, MOUSE08570, MOUSE08575, MOUSE08576, MOUSE22353, MOUSE22352, MOUSE08561, MOUSE08562, MOUSE08559, MOUSE08567, MOUSE08563, MOUSE08565, MOUSE08573, MOUSE08574, MOUSE08572, MOUSE08568, MOUSE08571, MOUSE39395, MOUSE08578, MOUSE08577, MOUSE39332, MOUSE39333, MOUSE39335, MOUSE39331, MOUSE39329	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	MOUSE36090, MOUSE36092, MOUSE36094, MOUSE36095, MOUSE36093, MOUSE36096, MOUSE36091, MOUSE34889, MOUSE34888	CAEEL18136
OG0000114	MOUSE04136	CAEEL15245, CAEEL11468
OG0000116	MOUSE27994	CAEEL14875
OG0000117	MOUSE26103, MOUSE26102	CAEEL10762
OG0000119	MOUSE26432, MOUSE26431, MOUSE26430, MOUSE02581, MOUSE02580, MOUSE05168, MOUSE05166, MOUSE05165, MOUSE05167	CAEEL08480
OG0000119	MOUSE26597, MOUSE26599, MOUSE14908, MOUSE25018, MOUSE25019, MOUSE05713	CAEEL08396
OG0000120	MOUSE32833	CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053
OG0000120	MOUSE28707, MOUSE28706, MOUSE28705	CAEEL15157
OG0000121	MOUSE01294	CAEEL06288, CAEEL12116
OG0000122	MOUSE40424, MOUSE40425, MOUSE40423, MOUSE36694, MOUSE36691, MOUSE36690, MOUSE36692, MOUSE10935, MOUSE10930, MOUSE10934, MOUSE10936, MOUSE10937, MOUSE10939, MOUSE10941, MOUSE10933, MOUSE10927, MOUSE10928, MOUSE10931, MOUSE10929, MOUSE10932, MOUSE10942, MOUSE10938, MOUSE10940, MOUSE10926, MOUSE26270, MOUSE26269, MOUSE26271, MOUSE14751, MOUSE14753	CAEEL01544
OG0000124	MOUSE45402, MOUSE45403	CAEEL19897
OG0000124	MOUSE34424, MOUSE34425	CAEEL04963
OG0000124	MOUSE27466, MOUSE49894	CAEEL15384, CAEEL15382
OG0000126	MOUSE36415, MOUSE36417, MOUSE03223, MOUSE44505	CAEEL08841, CAEEL04611
OG0000126	MOUSE12568, MOUSE36379, MOUSE36377, MOUSE36378, MOUSE36380	CAEEL09101
OG0000126	MOUSE19645, MOUSE01498, MOUSE01499, MOUSE32380, MOUSE30420, MOUSE30422, MOUSE30421, MOUSE27727, MOUSE27726, MOUSE27725	CAEEL10194
OG0000127	MOUSE47545, MOUSE54139, MOUSE29572	CAEEL19207
OG0000127	MOUSE52357, MOUSE52358, MOUSE13075	CAEEL20452
OG0000127	MOUSE09031, MOUSE06835, MOUSE28216	CAEEL00838
OG0000128	MOUSE20235, MOUSE44975, MOUSE44976, MOUSE50207, MOUSE50208	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	MOUSE24658, MOUSE20204, MOUSE18144, MOUSE24659, MOUSE24660, MOUSE24661, MOUSE43330, MOUSE49914, MOUSE27526, MOUSE27523, MOUSE27524, MOUSE27525, MOUSE27522, MOUSE27521	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187
OG0000129	MOUSE45123, MOUSE55058	CAEEL12325
OG0000129	MOUSE23071, MOUSE23074, MOUSE23073, MOUSE23072, MOUSE49915	CAEEL08188
OG0000131	MOUSE01093, MOUSE01094	CAEEL08663
