Orthogroup	MOUSE	DROME
OG0000111	MOUSE17075, MOUSE14044, MOUSE06017, MOUSE06016, MOUSE07126, MOUSE28116, MOUSE53772, MOUSE29257, MOUSE29259, MOUSE29254, MOUSE21512, MOUSE34168, MOUSE00043, MOUSE00042, MOUSE00044, MOUSE00053, MOUSE00055, MOUSE00045, MOUSE00060, MOUSE00058, MOUSE00059, MOUSE00062, MOUSE00054, MOUSE00065, MOUSE00066, MOUSE00064, MOUSE00057, MOUSE00051, MOUSE00050, MOUSE00049, MOUSE00063, MOUSE00056, MOUSE00061, MOUSE00052, MOUSE21513	DROME11971, DROME11972, DROME11973, DROME11975
OG0000113	MOUSE33596, MOUSE33595, MOUSE08570, MOUSE08575, MOUSE08576, MOUSE22353, MOUSE22352, MOUSE08561, MOUSE08562, MOUSE08559, MOUSE08567, MOUSE08563, MOUSE08565, MOUSE08573, MOUSE08574, MOUSE08572, MOUSE08568, MOUSE08571, MOUSE39395, MOUSE08578, MOUSE08577, MOUSE39332, MOUSE39333, MOUSE39335, MOUSE39331, MOUSE39329	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762
OG0000113	MOUSE08566, MOUSE39334, MOUSE39330	DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090
OG0000114	MOUSE36090, MOUSE36092, MOUSE36094, MOUSE36095, MOUSE36093, MOUSE36096, MOUSE36091, MOUSE34889, MOUSE34888	DROME04013, DROME04512, DROME04513
OG0000116	MOUSE27994	DROME05231
OG0000119	MOUSE26432, MOUSE26431, MOUSE26430, MOUSE02581, MOUSE02580, MOUSE05168, MOUSE05166, MOUSE05165, MOUSE05167	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501
OG0000119	MOUSE26597, MOUSE26599, MOUSE14908, MOUSE25018, MOUSE25019, MOUSE05713	DROME21220, DROME21219
OG0000119	MOUSE26569, MOUSE53192, MOUSE53193, MOUSE53194	DROME06207, DROME06208, DROME08017, DROME06209
OG0000120	MOUSE43385	DROME00669, DROME11520, DROME01716, DROME13340, DROME11519, DROME11518, DROME00703, DROME01785
OG0000120	MOUSE28707, MOUSE28706, MOUSE28705	DROME00682
