Orthogroup	MOUSE	CAPO3
OG0000222	MOUSE34451, MOUSE34452, MOUSE34453, MOUSE34454, MOUSE22872, MOUSE22873, MOUSE22874	CAPO304211
OG0000223	MOUSE13614, MOUSE28432, MOUSE28431, MOUSE35624, MOUSE35625, MOUSE40481, MOUSE40482, MOUSE40480, MOUSE40478, MOUSE40473, MOUSE40474, MOUSE40475, MOUSE40476, MOUSE40477, MOUSE40472, MOUSE40479, MOUSE40483, MOUSE20969, MOUSE20966, MOUSE20968, MOUSE20970, MOUSE20967, MOUSE21829, MOUSE21828, MOUSE21827	CAPO308126
OG0000225	MOUSE06880, MOUSE06881, MOUSE06882, MOUSE06888, MOUSE23452, MOUSE23453, MOUSE23451, MOUSE52882, MOUSE52881, MOUSE52880, MOUSE35428, MOUSE35429, MOUSE35426, MOUSE35427, MOUSE02372, MOUSE02371, MOUSE32095, MOUSE37168, MOUSE37169, MOUSE37170, MOUSE19594, MOUSE19593, MOUSE19595, MOUSE52883	CAPO305347
OG0000226	MOUSE18638	CAPO306934
OG0000234	MOUSE19093, MOUSE19092, MOUSE19095, MOUSE19096, MOUSE19094, MOUSE51563, MOUSE51565, MOUSE51566, MOUSE51567, MOUSE30639, MOUSE30638, MOUSE30635, MOUSE30636, MOUSE30637, MOUSE24948, MOUSE24946, MOUSE24950, MOUSE24944, MOUSE24952, MOUSE24951, MOUSE24954, MOUSE24945, MOUSE24953, MOUSE24947, MOUSE24949, MOUSE24959, MOUSE24956, MOUSE26980, MOUSE26977, MOUSE26979, MOUSE26978	CAPO301359
OG0000238	MOUSE46195, MOUSE46196	CAPO305428
OG0000239	MOUSE05656, MOUSE05655, MOUSE18920, MOUSE22235, MOUSE22234, MOUSE22233, MOUSE22237, MOUSE22236, MOUSE07433, MOUSE05662, MOUSE05661, MOUSE39765, MOUSE39768, MOUSE39766	CAPO302089
OG0000240	MOUSE01107, MOUSE01112	CAPO303877
OG0000240	MOUSE01114, MOUSE01115, MOUSE01113	CAPO303214
OG0000242	MOUSE21780, MOUSE21779, MOUSE35398	CAPO304847
OG0000244	MOUSE17322, MOUSE14484, MOUSE14482, MOUSE17321, MOUSE14483, MOUSE40945, MOUSE12365, MOUSE12363, MOUSE12364, MOUSE49833, MOUSE52466, MOUSE52468, MOUSE52465, MOUSE28443, MOUSE49097, MOUSE49096, MOUSE28439, MOUSE28440, MOUSE28444, MOUSE28445, MOUSE28442, MOUSE28446, MOUSE28447, MOUSE28438, MOUSE28448, MOUSE28449, MOUSE32118	CAPO301556
OG0000246	MOUSE44244, MOUSE44246, MOUSE44245	CAPO303496
OG0000248	MOUSE09714, MOUSE09715, MOUSE09716, MOUSE09726, MOUSE09722, MOUSE09717, MOUSE09695, MOUSE09693, MOUSE09694, MOUSE09819, MOUSE09818, MOUSE30742, MOUSE30741, MOUSE30740	CAPO307635, CAPO302481, CAPO302487
OG0000250	MOUSE06159, MOUSE06158, MOUSE06161, MOUSE06160	CAPO305827
OG0000255	MOUSE55667	CAPO301531
OG0000255	MOUSE27280, MOUSE27279	CAPO300499
OG0000256	MOUSE25569, MOUSE48599	CAPO307884
OG0000256	MOUSE19546, MOUSE27729, MOUSE27728, MOUSE30485, MOUSE30484	CAPO306483
OG0000257	MOUSE33024, MOUSE33022, MOUSE33026, MOUSE33023, MOUSE33025, MOUSE51708, MOUSE27690, MOUSE07914, MOUSE07916, MOUSE07915, MOUSE28077, MOUSE28076	CAPO300414
OG0000258	MOUSE42103	CAPO301106
OG0000258	MOUSE11272, MOUSE11273, MOUSE11274, MOUSE11276, MOUSE11275, MOUSE11271, MOUSE24985, MOUSE24984, MOUSE07336, MOUSE18772	CAPO301746
OG0000260	MOUSE07000, MOUSE06999, MOUSE52627, MOUSE52624, MOUSE52625	CAPO300399
OG0000265	MOUSE50385, MOUSE50384, MOUSE50383, MOUSE50386, MOUSE50379, MOUSE50380, MOUSE50381, MOUSE25766, MOUSE25769, MOUSE25767, MOUSE25771, MOUSE25773, MOUSE25770, MOUSE25768, MOUSE24034, MOUSE24037, MOUSE25772, MOUSE50387, MOUSE24035, MOUSE24036	CAPO306126
OG0000265	MOUSE15187, MOUSE15189, MOUSE15188	CAPO306540
OG0000271	MOUSE15712, MOUSE15711, MOUSE05806, MOUSE26256, MOUSE26257, MOUSE26255, MOUSE08533, MOUSE01191, MOUSE01190, MOUSE01193, MOUSE01189, MOUSE16479, MOUSE16477, MOUSE16478, MOUSE14823, MOUSE14822, MOUSE49985, MOUSE49983	CAPO304641
OG0000273	MOUSE48516	CAPO305109
OG0000273	MOUSE48517	CAPO307666
OG0000273	MOUSE37237, MOUSE37236	CAPO300804
OG0000273	MOUSE35701, MOUSE35704, MOUSE35700, MOUSE35702, MOUSE35699, MOUSE35703	CAPO306869
OG0000277	MOUSE46595, MOUSE46588, MOUSE46593, MOUSE46589, MOUSE46591, MOUSE20616, MOUSE37493, MOUSE37488, MOUSE37489	CAPO303621
OG0000277	MOUSE11509, MOUSE11511, MOUSE11512, MOUSE11510, MOUSE11513, MOUSE31700, MOUSE31698, MOUSE31701, MOUSE31702, MOUSE31699, MOUSE31697, MOUSE31696, MOUSE09541	CAPO301295
OG0000278	MOUSE37959	CAPO300620
OG0000278	MOUSE48469, MOUSE32002, MOUSE19188	CAPO305822
OG0000278	MOUSE03084	CAPO302023
OG0000278	MOUSE29280	CAPO304651
OG0000278	MOUSE12425	CAPO303638
OG0000282	MOUSE37149, MOUSE40386, MOUSE25102, MOUSE25103, MOUSE25101, MOUSE05300, MOUSE05299, MOUSE25104, MOUSE25105, MOUSE40389, MOUSE40390, MOUSE40391, MOUSE40388, MOUSE40387, MOUSE21276, MOUSE37148, MOUSE37147, MOUSE20932, MOUSE20929, MOUSE20933, MOUSE20930, MOUSE20931	CAPO308183
OG0000284	MOUSE31385, MOUSE32647, MOUSE32649, MOUSE32646, MOUSE32648, MOUSE32650	CAPO305695
OG0000285	MOUSE05140	CAPO303377
OG0000288	MOUSE28635, MOUSE28634, MOUSE28637, MOUSE28636, MOUSE32128, MOUSE32126, MOUSE32127, MOUSE32129, MOUSE44721, MOUSE00440, MOUSE00441, MOUSE00442, MOUSE32028	CAPO305142
OG0000289	MOUSE09225, MOUSE09226, MOUSE52041, MOUSE52040, MOUSE52039, MOUSE33710, MOUSE33709, MOUSE10526, MOUSE10525, MOUSE52131, MOUSE52130	CAPO307835
OG0000295	MOUSE39491, MOUSE39492, MOUSE39490, MOUSE39489, MOUSE39488, MOUSE30005, MOUSE06347, MOUSE06349, MOUSE06351	CAPO302113, CAPO302799
OG0000299	MOUSE18580, MOUSE18583, MOUSE18582, MOUSE18581, MOUSE18578, MOUSE18579, MOUSE18576, MOUSE18577, MOUSE28485, MOUSE28484, MOUSE28483, MOUSE28486, MOUSE34165, MOUSE34159, MOUSE34162, MOUSE34163, MOUSE34166, MOUSE34164, MOUSE34161, MOUSE34160, MOUSE00345, MOUSE00351, MOUSE00347, MOUSE00346, MOUSE34156, MOUSE34158, MOUSE34157, MOUSE00354	CAPO306599
OG0000305	MOUSE35196, MOUSE35195, MOUSE35197, MOUSE35194	CAPO307183
