Orthogroup	AENJA_ok	YEAST
OG0000967	AENJA_02972, AENJA_22529	YEAST05075
OG0000970	AENJA_09659, AENJA_03395	YEAST04028
OG0000982	AENJA_09037	YEAST01182
OG0000984	AENJA_13820	YEAST01493, YEAST00575
OG0000986	AENJA_19042, AENJA_19041	YEAST01481, YEAST04073
OG0000987	AENJA_23574	YEAST04734, YEAST02734
OG0000994	AENJA_20560, AENJA_02296	YEAST02360
OG0000996	AENJA_04444, AENJA_26096	YEAST00033
OG0001001	AENJA_07866	YEAST00341
OG0001003	AENJA_13424	YEAST00644
OG0001006	AENJA_21663, AENJA_25248	YEAST04513
OG0001016	AENJA_26608, AENJA_01521, AENJA_14403, AENJA_15956	YEAST00830
OG0001018	AENJA_02393, AENJA_12182	YEAST01172
OG0001024	AENJA_11445, AENJA_03556	YEAST01024, YEAST00308
OG0001064	AENJA_16034	YEAST00458
OG0001066	AENJA_19790	YEAST06311
OG0001075	AENJA_00807	YEAST05636
OG0001076	AENJA_01569	YEAST01570
OG0001081	AENJA_21808, AENJA_16503, AENJA_04238	YEAST04460
OG0001082	AENJA_06872, AENJA_21482, AENJA_09332	YEAST03919, YEAST02905, YEAST05331
OG0001094	AENJA_23025	YEAST03837
OG0001095	AENJA_25247	YEAST00773
OG0001101	AENJA_00373	YEAST03434
OG0001108	AENJA_12290, AENJA_04372, AENJA_04373, AENJA_09666	YEAST06309
OG0001111	AENJA_26838, AENJA_22327, AENJA_22201, AENJA_06275, AENJA_18410, AENJA_21728	YEAST06003
OG0001113	AENJA_06313	YEAST05320
OG0001113	AENJA_23050	YEAST00954
OG0001114	AENJA_07133, AENJA_13675	YEAST00036, YEAST05811
OG0001124	AENJA_16308	YEAST02719
OG0001132	AENJA_02927	YEAST05421
OG0001133	AENJA_14482, AENJA_13174, AENJA_03943, AENJA_09413, AENJA_03942	YEAST04296
OG0001133	AENJA_07797	YEAST03271
OG0001134	AENJA_06301	YEAST05015
OG0001135	AENJA_06307	YEAST03641
OG0001136	AENJA_06348	YEAST05047, YEAST02997
OG0001140	AENJA_10711	YEAST03519
OG0001142	AENJA_13577	YEAST04001
OG0001163	AENJA_23044, AENJA_20499, AENJA_04071, AENJA_23045	YEAST02433
OG0001164	AENJA_04659, AENJA_14441, AENJA_04658, AENJA_11399	YEAST03454
OG0001171	AENJA_07498	YEAST04620, YEAST03578
OG0001175	AENJA_19603, AENJA_10616	YEAST00534
OG0001177	AENJA_12717, AENJA_23960, AENJA_22118	YEAST06137
OG0001179	AENJA_13625, AENJA_13628, AENJA_26058	YEAST00368, YEAST04831, YEAST02287
OG0001181	AENJA_14047	YEAST02051
OG0001184	AENJA_17799, AENJA_15086	YEAST01681
OG0001185	AENJA_17542	YEAST04969
