Orthogroup	AENJA_ok	MOUSE
OG0000070	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501	MOUSE00175, MOUSE00176, MOUSE00177, MOUSE00178, MOUSE55320, MOUSE54102
OG0000070	AENJA_09128, AENJA_05824, AENJA_17346, AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750	MOUSE01400, MOUSE01399
OG0000072	AENJA_13128	MOUSE30088, MOUSE45691
OG0000072	AENJA_02450	MOUSE29660
OG0000072	AENJA_25944, AENJA_05445	MOUSE00771, MOUSE00773, MOUSE00770, MOUSE00774, MOUSE00772
OG0000073	AENJA_02295	MOUSE18062
OG0000073	AENJA_08518, AENJA_08515	MOUSE17327, MOUSE17328, MOUSE17326
OG0000074	AENJA_05555, AENJA_12312, AENJA_06058	MOUSE01754, MOUSE40707
OG0000074	AENJA_24714	MOUSE27442, MOUSE27441
OG0000074	AENJA_19802, AENJA_22095, AENJA_10992, AENJA_15679, AENJA_14253, AENJA_25976, AENJA_03334, AENJA_21322, AENJA_11103, AENJA_23926, AENJA_22408, AENJA_25285, AENJA_25284	MOUSE43699, MOUSE19006
OG0000075	AENJA_23745	MOUSE05779, MOUSE03707
OG0000075	AENJA_05831	MOUSE34423
OG0000075	AENJA_18277	MOUSE22548
OG0000075	AENJA_21406	MOUSE31075, MOUSE39073
OG0000075	AENJA_12918	MOUSE41200, MOUSE41199, MOUSE41201, MOUSE11240, MOUSE11239
OG0000075	AENJA_12839	MOUSE39111, MOUSE39110, MOUSE39108, MOUSE39109
OG0000077	AENJA_13107	MOUSE27949, MOUSE03243, MOUSE03242, MOUSE12725, MOUSE12726, MOUSE12727
OG0000077	AENJA_07475	MOUSE27778, MOUSE27779, MOUSE21334, MOUSE35957
OG0000077	AENJA_04661	MOUSE20922, MOUSE20923, MOUSE20925, MOUSE20926, MOUSE20924
OG0000078	AENJA_06551	MOUSE48544, MOUSE27283, MOUSE27282, MOUSE01884
OG0000079	AENJA_16186	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603
OG0000079	AENJA_02482	MOUSE36924, MOUSE36920, MOUSE36921, MOUSE36917, MOUSE36919, MOUSE36918, MOUSE36916, MOUSE36922, MOUSE36928, MOUSE36927, MOUSE55500, MOUSE03421, MOUSE03420, MOUSE03419
OG0000079	AENJA_17442	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479
OG0000079	AENJA_11789	MOUSE05042
OG0000079	AENJA_10507	MOUSE01454, MOUSE01456, MOUSE01455, MOUSE01453
OG0000079	AENJA_05095	MOUSE36929
OG0000081	AENJA_04625, AENJA_04630, AENJA_04629	MOUSE21429, MOUSE21428, MOUSE21430
OG0000081	AENJA_23269	MOUSE51879
OG0000082	AENJA_25747	MOUSE19184
OG0000083	AENJA_21795	MOUSE38865, MOUSE38864, MOUSE38866, MOUSE30042
OG0000084	AENJA_24814	MOUSE21451, MOUSE30075, MOUSE30074
OG0000084	AENJA_24184	MOUSE54561, MOUSE54560, MOUSE50161, MOUSE50162
OG0000085	AENJA_05556	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267
OG0000085	AENJA_06487	MOUSE04941, MOUSE37558, MOUSE37557
OG0000085	AENJA_24493	MOUSE50493, MOUSE50494, MOUSE50492
OG0000085	AENJA_20539	MOUSE15351, MOUSE19993
OG0000085	AENJA_08917	MOUSE16592, MOUSE16590
OG0000087	AENJA_23251	MOUSE04044, MOUSE04045
OG0000087	AENJA_19109	MOUSE24629, MOUSE24631
OG0000087	AENJA_08976	MOUSE40318, MOUSE40317
OG0000087	AENJA_19775	MOUSE11362
OG0000087	AENJA_03163	MOUSE22119, MOUSE22054, MOUSE22052
OG0000087	AENJA_19935	MOUSE11213
OG0000087	AENJA_04374, AENJA_10299	MOUSE46080, MOUSE46081
OG0000087	AENJA_20453	MOUSE46082
OG0000088	AENJA_07097, AENJA_08556, AENJA_07105, AENJA_07098, AENJA_07104, AENJA_11026, AENJA_11029, AENJA_15119, AENJA_13877, AENJA_03166, AENJA_03175, AENJA_08500	MOUSE00763, MOUSE00764, MOUSE27097, MOUSE52249, MOUSE53735, MOUSE49610, MOUSE49528, MOUSE49529, MOUSE49530
OG0000089	AENJA_09905, AENJA_09906, AENJA_05338, AENJA_04745, AENJA_16486, AENJA_16485, AENJA_22237, AENJA_02539, AENJA_15610, AENJA_01496	MOUSE16032
OG0000089	AENJA_09908, AENJA_23276, AENJA_11297, AENJA_00357, AENJA_23778, AENJA_22153, AENJA_17373, AENJA_13869, AENJA_00358, AENJA_09888, AENJA_08835, AENJA_24030, AENJA_01751, AENJA_09728, AENJA_01807	MOUSE55271
OG0000090	AENJA_02476	MOUSE17968
OG0000090	AENJA_10145	MOUSE17971, MOUSE17970, MOUSE17967
OG0000090	AENJA_01954	MOUSE32571, MOUSE32572
OG0000091	AENJA_01383, AENJA_01384, AENJA_01385, AENJA_05198, AENJA_09904, AENJA_06299	MOUSE19668, MOUSE19669
OG0000094	AENJA_14582	MOUSE41184, MOUSE41176, MOUSE41185, MOUSE41182, MOUSE41183, MOUSE41181, MOUSE41180, MOUSE41175, MOUSE41178, MOUSE41172, MOUSE41173, MOUSE41174, MOUSE41170, MOUSE41171, MOUSE41187, MOUSE41186, MOUSE41188, MOUSE41189, MOUSE41169, MOUSE41179, MOUSE41177, MOUSE11260, MOUSE11259, MOUSE11263, MOUSE11258, MOUSE11262, MOUSE53507, MOUSE53505, MOUSE11261, MOUSE53506, MOUSE53508
OG0000094	AENJA_26553	MOUSE23861, MOUSE23862, MOUSE23863, MOUSE25211, MOUSE25208, MOUSE25207, MOUSE25206, MOUSE25210, MOUSE48851, MOUSE48849, MOUSE48850
OG0000095	AENJA_07479, AENJA_11792, AENJA_11795, AENJA_02518, AENJA_18173	MOUSE21579
OG0000096	AENJA_25727	MOUSE54033, MOUSE13094, MOUSE29900
OG0000096	AENJA_21947	MOUSE19103, MOUSE30286, MOUSE30282
OG0000096	AENJA_08423	MOUSE30994, MOUSE47010
OG0000096	AENJA_09240	MOUSE45926
OG0000096	AENJA_14053	MOUSE52337, MOUSE52338
OG0000097	AENJA_19407, AENJA_02407	MOUSE31754, MOUSE31753, MOUSE31748, MOUSE31746, MOUSE31745, MOUSE31749, MOUSE31752, MOUSE31750, MOUSE31751, MOUSE31744
OG0000098	AENJA_10136, AENJA_10137	MOUSE44178, MOUSE44180, MOUSE47248, MOUSE47247, MOUSE01240
