Orthogroup	AENJA_ok	LYTVA_ok
OG0000029	AENJA_05610	LYTVA_25609, LYTVA_12911, LYTVA_03248
OG0000029	AENJA_05280	LYTVA_21024, LYTVA_08387, LYTVA_22534, LYTVA_00646, LYTVA_22532, LYTVA_00647, LYTVA_22533, LYTVA_18531, LYTVA_06596, LYTVA_23983, LYTVA_23982, LYTVA_14667, LYTVA_03114, LYTVA_21079, LYTVA_11087, LYTVA_07847, LYTVA_16374, LYTVA_14118, LYTVA_17454, LYTVA_10670, LYTVA_10669, LYTVA_12106, LYTVA_25172, LYTVA_28751, LYTVA_15803, LYTVA_05470, LYTVA_12796, LYTVA_24295, LYTVA_15802, LYTVA_16107, LYTVA_15826, LYTVA_25550, LYTVA_16955, LYTVA_29691, LYTVA_23564, LYTVA_08386
OG0000030	AENJA_17283	LYTVA_26760
OG0000030	AENJA_24351, AENJA_12274	LYTVA_28697
OG0000030	AENJA_21030	LYTVA_20955, LYTVA_09651
OG0000030	AENJA_05226	LYTVA_26586
OG0000031	AENJA_09856	LYTVA_04157, LYTVA_03000
OG0000031	AENJA_09858	LYTVA_07242
OG0000031	AENJA_20966	LYTVA_07394
OG0000031	AENJA_08759	LYTVA_19491
OG0000031	AENJA_10722	LYTVA_13645
OG0000031	AENJA_05740	LYTVA_05124
OG0000031	AENJA_14258, AENJA_15917, AENJA_14260	LYTVA_29658
OG0000031	AENJA_15028	LYTVA_09735
OG0000032	AENJA_15565	LYTVA_15487, LYTVA_14158
OG0000032	AENJA_15445, AENJA_10949	LYTVA_21601
OG0000032	AENJA_16462, AENJA_19113, AENJA_19112	LYTVA_15486, LYTVA_13671
OG0000032	AENJA_01667, AENJA_01332	LYTVA_08468, LYTVA_02734
OG0000032	AENJA_12718	LYTVA_00916
OG0000032	AENJA_12280, AENJA_12491	LYTVA_22021, LYTVA_08868, LYTVA_21508, LYTVA_13715
OG0000032	AENJA_06513	LYTVA_26011, LYTVA_24216, LYTVA_22020
OG0000033	AENJA_22775	LYTVA_26430
OG0000033	AENJA_17956, AENJA_20306, AENJA_13272	LYTVA_09380
OG0000033	AENJA_04460, AENJA_10095, AENJA_00313, AENJA_05637	LYTVA_28431
OG0000033	AENJA_15145	LYTVA_01818
OG0000033	AENJA_02327	LYTVA_26144
OG0000033	AENJA_25587, AENJA_13273, AENJA_09980, AENJA_09621, AENJA_14944	LYTVA_28731
OG0000033	AENJA_08560, AENJA_03095	LYTVA_14139, LYTVA_06583
OG0000033	AENJA_16367	LYTVA_03668
OG0000033	AENJA_20716	LYTVA_05706
OG0000033	AENJA_19957	LYTVA_04922
OG0000033	AENJA_21447, AENJA_04314	LYTVA_07303, LYTVA_11528
OG0000033	AENJA_02993	LYTVA_02656, LYTVA_01378
OG0000033	AENJA_13995	LYTVA_19303, LYTVA_26986, LYTVA_09691, LYTVA_16830, LYTVA_23842, LYTVA_08232, LYTVA_25046, LYTVA_17139
OG0000033	AENJA_12723, AENJA_12540	LYTVA_00757, LYTVA_12726, LYTVA_28732, LYTVA_23242
OG0000033	AENJA_25355	LYTVA_20558, LYTVA_07100
OG0000033	AENJA_13459	LYTVA_19429, LYTVA_26229
OG0000034	AENJA_21749	LYTVA_20191
