Orthogroup	SCHMD	DROME
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	DROME06781, DROME06782, DROME13860, DROME19834, DROME00819, DROME01561, DROME16444
OG0000168	SCHMD19556	DROME00156, DROME00157
OG0000168	SCHMD29139, SCHMD28842, SCHMD22979, SCHMD29401	DROME01783
OG0000174	SCHMD22727	DROME10165
OG0000174	SCHMD14760, SCHMD22728	DROME11306
OG0000175	SCHMD18439, SCHMD17544	DROME19671, DROME02329, DROME16486, DROME16483, DROME03593, DROME00840
OG0000179	SCHMD11075	DROME11221, DROME21050
OG0000179	SCHMD01320	DROME07796
OG0000181	SCHMD27609, SCHMD12097, SCHMD28522	DROME12775
OG0000182	SCHMD06161	DROME05590
OG0000182	SCHMD20312	DROME13778
OG0000183	SCHMD21103, SCHMD28756	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193
OG0000183	SCHMD12130, SCHMD10333	DROME07197, DROME07008, DROME18789
OG0000185	SCHMD07834	DROME08939, DROME08940
OG0000186	SCHMD07850, SCHMD22114, SCHMD12081	DROME18591
OG0000186	SCHMD11605	DROME04472
OG0000186	SCHMD01519, SCHMD14176, SCHMD06313	DROME05503, DROME05502
OG0000193	SCHMD03682, SCHMD08341	DROME21697, DROME21696, DROME21698
OG0000195	SCHMD06851	DROME10558, DROME10557, DROME10559, DROME09087
OG0000197	SCHMD10696, SCHMD17861, SCHMD23209	DROME14335, DROME14334, DROME14336
OG0000200	SCHMD07833, SCHMD18193, SCHMD17707	DROME04138, DROME04137, DROME04136, DROME04135, DROME04133, DROME04134, DROME04139, DROME04140, DROME06874, DROME04143, DROME04206, DROME03566, DROME03565, DROME01582, DROME04144
OG0000201	SCHMD28886, SCHMD20370	DROME11047
OG0000201	SCHMD00317, SCHMD09035	DROME19450
OG0000201	SCHMD10520	DROME18513, DROME18512, DROME18511, DROME18514
OG0000202	SCHMD17013	DROME20996, DROME21000, DROME20998, DROME20995, DROME20999, DROME20994, DROME20997, DROME21001
OG0000203	SCHMD13221	DROME04489
OG0000204	SCHMD19671, SCHMD20793, SCHMD11234, SCHMD00858	DROME20315, DROME20314, DROME20316, DROME20317, DROME15810, DROME15809, DROME15807, DROME15808
OG0000205	SCHMD25881, SCHMD14433, SCHMD00603, SCHMD11532, SCHMD18472, SCHMD00599, SCHMD27278	DROME06842, DROME06843
OG0000205	SCHMD03008, SCHMD07998, SCHMD07996	DROME08187
OG0000208	SCHMD02180	DROME12015, DROME12014, DROME15899, DROME15900, DROME15901
OG0000208	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998	DROME02132
OG0000210	SCHMD26754	DROME04199, DROME04478
OG0000210	SCHMD24015	DROME14047, DROME11376
OG0000211	SCHMD21436	DROME17290
OG0000211	SCHMD10115	DROME21074, DROME21072, DROME21073, DROME21071
OG0000222	SCHMD21612, SCHMD08502	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059
OG0000223	SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493, SCHMD07138, SCHMD07143, SCHMD26815, SCHMD26565	DROME10256
OG0000225	SCHMD25261, SCHMD22794, SCHMD14161	DROME11929
OG0000226	SCHMD28293	DROME15107, DROME15108, DROME15106, DROME15105
OG0000227	SCHMD04380	DROME04927, DROME04926
OG0000230	SCHMD27521, SCHMD14316	DROME09028, DROME09029
OG0000231	SCHMD15225, SCHMD17377	DROME06449, DROME06448
OG0000231	SCHMD23026	DROME20855, DROME20857, DROME20856, DROME20854
OG0000231	SCHMD24769, SCHMD25604	DROME07628, DROME07629
OG0000234	SCHMD19058, SCHMD11623, SCHMD10215, SCHMD25368	DROME11142
OG0000236	SCHMD00730	DROME03355
OG0000238	SCHMD22146, SCHMD14066	DROME01901, DROME01902
OG0000239	SCHMD18522	DROME05270, DROME05269, DROME05271, DROME05268
OG0000239	SCHMD03432	DROME19712, DROME19710, DROME19709, DROME19707, DROME19705, DROME19704, DROME19703, DROME19706, DROME19702, DROME19701, DROME19711, DROME19708
OG0000239	SCHMD16926, SCHMD03433, SCHMD01648, SCHMD18521, SCHMD06547	DROME03549, DROME03548, DROME03550, DROME03551
OG0000240	SCHMD06226, SCHMD00582	DROME20536, DROME04915, DROME04914, DROME21863, DROME21862
OG0000243	SCHMD12372	DROME04743, DROME04742, DROME04744
OG0000246	SCHMD16891, SCHMD17961, SCHMD12289	DROME13185, DROME13186, DROME13188, DROME13187
OG0000248	SCHMD01134, SCHMD07579	DROME01997
OG0000248	SCHMD25860	DROME05927, DROME05926, DROME05929, DROME05928
OG0000250	SCHMD07715, SCHMD11126	DROME14382
OG0000250	SCHMD00165	DROME11256, DROME11255, DROME11257
OG0000255	SCHMD14618, SCHMD25034	DROME15943
OG0000256	SCHMD06220	DROME08251, DROME08252, DROME07911, DROME07910, DROME02059, DROME02058
OG0000257	SCHMD15360, SCHMD21968, SCHMD21969, SCHMD20769	DROME12936
OG0000258	SCHMD19345, SCHMD00959	DROME06596, DROME06597, DROME06595, DROME06598, DROME06594
OG0000260	SCHMD00231	DROME17607, DROME17608, DROME17606, DROME16635, DROME16636
OG0000261	SCHMD07513, SCHMD19684, SCHMD09437, SCHMD06264, SCHMD17166	DROME06684, DROME06680, DROME06690, DROME06687, DROME06691, DROME06685, DROME06688, DROME06681, DROME06686, DROME06689, DROME06679, DROME06682, DROME06683
OG0000265	SCHMD14945, SCHMD03613, SCHMD19985	DROME20971, DROME20976, DROME20973, DROME20972, DROME20977, DROME20974, DROME20975
OG0000265	SCHMD18240, SCHMD09007	DROME00452
OG0000266	SCHMD08189	DROME08002, DROME09124
OG0000268	SCHMD02532, SCHMD02534	DROME06261, DROME06262
OG0000268	SCHMD06926, SCHMD10813, SCHMD14268	DROME06544, DROME06542, DROME06543
OG0000268	SCHMD25441	DROME00943, DROME00944
OG0000270	SCHMD21159, SCHMD17864	DROME17880
OG0000270	SCHMD16423	DROME14671, DROME14672, DROME14673, DROME14674
OG0000272	SCHMD13324, SCHMD08067	DROME05031, DROME05029, DROME05030
OG0000273	SCHMD09689	DROME09248, DROME09247, DROME10822, DROME20533
OG0000273	SCHMD18528, SCHMD25490	DROME11374, DROME11373, DROME18659, DROME18660, DROME13047
OG0000277	SCHMD09439	DROME03338, DROME03337, DROME03339, DROME03340, DROME03341, DROME03342
OG0000277	SCHMD27259, SCHMD14857, SCHMD14380, SCHMD02171, SCHMD17662	DROME03640, DROME03639, DROME21210, DROME21209, DROME08160
OG0000278	SCHMD04708, SCHMD14538	DROME02023
OG0000280	SCHMD22604	DROME14500, DROME14502, DROME14501, DROME14499
OG0000280	SCHMD09460	DROME18032
OG0000280	SCHMD23115	DROME01076, DROME06229
OG0000282	SCHMD05137	DROME05714
OG0000282	SCHMD15635, SCHMD25636	DROME11686
OG0000284	SCHMD23360, SCHMD08213	DROME17657
OG0000285	SCHMD29037	DROME00993
