Orthogroup	SCHMD	DANRE
OG0000128	SCHMD25789, SCHMD19594	DANRE33979, DANRE08860
OG0000128	SCHMD29825	DANRE26420, DANRE24430, DANRE24431
OG0000129	SCHMD20816, SCHMD05405	DANRE21944, DANRE21943, DANRE21942, DANRE21941, DANRE21936, DANRE21937, DANRE05805, DANRE05803, DANRE05804, DANRE21940, DANRE21939, DANRE21938, DANRE21934, DANRE21935, DANRE05801, DANRE05802, DANRE19999, DANRE37478, DANRE37477, DANRE37476, DANRE16830, DANRE17949, DANRE17948, DANRE11891, DANRE11892, DANRE11890
OG0000129	SCHMD03224	DANRE19744, DANRE12249, DANRE12250, DANRE37926, DANRE37925, DANRE37924
OG0000129	SCHMD17972	DANRE13156, DANRE13155, DANRE13154
OG0000129	SCHMD27382	DANRE28021
OG0000130	SCHMD17609	DANRE25590, DANRE25589, DANRE31159, DANRE02422, DANRE02421, DANRE36688, DANRE36687, DANRE36689, DANRE36691, DANRE36690, DANRE02251, DANRE43436, DANRE41295, DANRE05781, DANRE26414, DANRE26415, DANRE24435, DANRE24436, DANRE35913, DANRE41531, DANRE41530, DANRE00871, DANRE00870, DANRE00869, DANRE06895, DANRE33409, DANRE33410, DANRE00064, DANRE27390, DANRE03794, DANRE05069
OG0000132	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374	DANRE40562, DANRE34020, DANRE26062, DANRE26082, DANRE26074, DANRE26055, DANRE37452, DANRE37445, DANRE37403, DANRE37459, DANRE37460, DANRE37429, DANRE37412, DANRE26100, DANRE26165, DANRE26175, DANRE26158, DANRE26093, DANRE37468, DANRE39504, DANRE39494
OG0000135	SCHMD24143, SCHMD24147	DANRE37207
OG0000137	SCHMD04306	DANRE06165
OG0000137	SCHMD09558	DANRE17727, DANRE10757
OG0000139	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124	DANRE19920, DANRE19919
OG0000147	SCHMD11019	DANRE26942, DANRE26943, DANRE36250, DANRE36251, DANRE23193, DANRE23196, DANRE23195, DANRE23194
OG0000147	SCHMD11968	DANRE10593, DANRE10594, DANRE18815, DANRE11115
OG0000148	SCHMD08056	DANRE22584, DANRE22585, DANRE36775, DANRE36774, DANRE13292, DANRE36768, DANRE22578, DANRE36772, DANRE36773, DANRE13290, DANRE13291, DANRE13293, DANRE02329, DANRE31175, DANRE31176
OG0000149	SCHMD06205, SCHMD05440	DANRE25293, DANRE25295, DANRE25294, DANRE37665, DANRE37666, DANRE12798, DANRE12797
OG0000151	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274	DANRE14884, DANRE14886, DANRE14885, DANRE03134, DANRE29215, DANRE29216, DANRE40219, DANRE40221, DANRE40218, DANRE40220, DANRE01590, DANRE01589, DANRE35788, DANRE35787, DANRE42673
OG0000151	SCHMD02747, SCHMD12342	DANRE35183, DANRE35184, DANRE10549, DANRE23760, DANRE23732, DANRE34088, DANRE34089, DANRE19456, DANRE19457
OG0000153	SCHMD05163, SCHMD05160, SCHMD02381	DANRE38193, DANRE38194, DANRE38192, DANRE08665, DANRE34612, DANRE34614, DANRE34613, DANRE34610, DANRE34615, DANRE34611
OG0000155	SCHMD05383, SCHMD06593, SCHMD10992	DANRE17586, DANRE05670
OG0000155	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787	DANRE14414, DANRE14413, DANRE14411, DANRE14412, DANRE09080, DANRE09081, DANRE09079, DANRE04486, DANRE04485, DANRE14416, DANRE14415
OG0000155	SCHMD13125	DANRE14798, DANRE14799, DANRE14802, DANRE14800, DANRE14801, DANRE04487, DANRE04488, DANRE09083
OG0000157	SCHMD03548, SCHMD06363	DANRE34923, DANRE28272, DANRE21748, DANRE21746, DANRE21747
OG0000157	SCHMD01802	DANRE12853, DANRE12855, DANRE38298, DANRE12854
OG0000158	SCHMD18936	DANRE22512, DANRE22513, DANRE05145, DANRE05146, DANRE27251, DANRE27253, DANRE27252
OG0000158	SCHMD15100, SCHMD15049	DANRE37819, DANRE20159
OG0000159	SCHMD26601, SCHMD09606	DANRE24089, DANRE24088
OG0000159	SCHMD14942	DANRE15174, DANRE09143, DANRE35119, DANRE03349, DANRE03348
OG0000162	SCHMD08936, SCHMD26694	DANRE42795, DANRE42796
OG0000163	SCHMD23090	DANRE29252, DANRE22023, DANRE22022, DANRE29273, DANRE29274, DANRE29073, DANRE36123, DANRE36124, DANRE28765, DANRE29071, DANRE29072, DANRE29299, DANRE03607
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	DANRE29253, DANRE09545, DANRE09544, DANRE14272, DANRE03886, DANRE03884, DANRE03885, DANRE03887, DANRE23439, DANRE23438, DANRE23437, DANRE23436, DANRE23435
OG0000166	SCHMD08400	DANRE39976
OG0000166	SCHMD15704, SCHMD08401	DANRE29077
OG0000167	SCHMD16214, SCHMD15187	DANRE22706, DANRE22707, DANRE40314
OG0000171	SCHMD26790, SCHMD13950	DANRE00111, DANRE00110, DANRE04752, DANRE07375
OG0000171	SCHMD07241, SCHMD07240	DANRE03983
OG0000173	SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093	DANRE35295
OG0000174	SCHMD09838	DANRE33604, DANRE04813, DANRE04814
OG0000174	SCHMD22727, SCHMD14760, SCHMD22728	DANRE23326
