Orthogroup	SCHMD	BRALA
OG0000182	SCHMD07603	BRALA31663, BRALA29126, BRALA30715, BRALA27456, BRALA11689, BRALA27176, BRALA11168, BRALA04970
OG0000183	SCHMD22220	BRALA29461
OG0000183	SCHMD21103, SCHMD28756	BRALA34386
OG0000183	SCHMD12130, SCHMD10333	BRALA17782, BRALA17781, BRALA30657
OG0000185	SCHMD07834	BRALA17010
OG0000186	SCHMD07850, SCHMD22114, SCHMD12081	BRALA29207, BRALA31124
OG0000186	SCHMD11605	BRALA08975, BRALA08973, BRALA08974
OG0000186	SCHMD24594	BRALA21576
OG0000188	SCHMD07283	BRALA06044, BRALA06043, BRALA06042, BRALA06041, BRALA01596, BRALA12092
OG0000191	SCHMD25599, SCHMD19773, SCHMD22587, SCHMD26985, SCHMD17165, SCHMD21346, SCHMD23922	BRALA12908, BRALA03962
OG0000192	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443	BRALA05274
OG0000192	SCHMD03934	BRALA03467
OG0000193	SCHMD03682, SCHMD08341	BRALA21700
OG0000193	SCHMD22652, SCHMD22559	BRALA35297
OG0000194	SCHMD11912, SCHMD12565	BRALA06145, BRALA06143, BRALA24202, BRALA32166, BRALA06144, BRALA05240, BRALA29709, BRALA24201, BRALA30621, BRALA19294, BRALA04421, BRALA06130, BRALA14291, BRALA14295, BRALA14297
OG0000195	SCHMD06851	BRALA27202, BRALA33299, BRALA21846, BRALA14189
OG0000195	SCHMD06771	BRALA01750, BRALA01749, BRALA08338, BRALA22184
OG0000197	SCHMD10696, SCHMD17861, SCHMD23209	BRALA10218
OG0000198	SCHMD19721, SCHMD14674, SCHMD25939	BRALA19290, BRALA21496
OG0000199	SCHMD15299	BRALA12693
OG0000200	SCHMD07833, SCHMD18193, SCHMD17707	BRALA02802, BRALA02803, BRALA02804
OG0000201	SCHMD28886, SCHMD20370, SCHMD17233	BRALA11221
OG0000201	SCHMD00317, SCHMD09035	BRALA14937
OG0000201	SCHMD06305, SCHMD14342, SCHMD21248, SCHMD10519	BRALA35436
OG0000201	SCHMD10520	BRALA24651
OG0000202	SCHMD17013	BRALA31828
