Orthogroup	XENTR	HELIO_ok
OG0000127	XENTR01486, XENTR04784, XENTR07585	HELIO_03723
OG0000128	XENTR09496, XENTR10668	HELIO_05183
OG0000128	XENTR08486, XENTR08487	HELIO_03924
OG0000128	XENTR04418	HELIO_00789
OG0000129	XENTR14286	HELIO_08318
OG0000129	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673	HELIO_05477
OG0000129	XENTR14278, XENTR11921, XENTR18992, XENTR15519	HELIO_12045
OG0000130	XENTR04860	HELIO_00229
OG0000131	XENTR10944	HELIO_00530, HELIO_08397
OG0000132	XENTR17991, XENTR17911, XENTR17992, XENTR18068, XENTR18069, XENTR13502, XENTR19190, XENTR04255	HELIO_02084, HELIO_02083, HELIO_03711
OG0000132	XENTR04795	HELIO_04353
OG0000137	XENTR10738, XENTR07993, XENTR07994	HELIO_10563
OG0000137	XENTR11062, XENTR17418	HELIO_05850
OG0000137	XENTR10667	HELIO_01589, HELIO_12262
OG0000141	XENTR13160	HELIO_03491, HELIO_06248, HELIO_06291, HELIO_06766, HELIO_00102, HELIO_10597
OG0000147	XENTR03268, XENTR13018	HELIO_12780
OG0000147	XENTR02156, XENTR12287	HELIO_07856
OG0000147	XENTR01301, XENTR12003	HELIO_02877
OG0000147	XENTR15311	HELIO_07688
OG0000148	XENTR10464, XENTR17112, XENTR02369, XENTR07951	HELIO_12241
OG0000148	XENTR11222, XENTR06966, XENTR07952, XENTR02368	HELIO_01322
OG0000149	XENTR03422, XENTR03423	HELIO_11224
OG0000149	XENTR01442, XENTR00579	HELIO_09667, HELIO_05786, HELIO_08463, HELIO_10026
OG0000149	XENTR04855	HELIO_08561
OG0000151	XENTR04929, XENTR06165, XENTR12078, XENTR11745	HELIO_02909
OG0000151	XENTR14804, XENTR06918, XENTR07090, XENTR00143, XENTR00142	HELIO_01067
OG0000151	XENTR06824, XENTR00446, XENTR00447	HELIO_11427
OG0000154	XENTR11406, XENTR12586	HELIO_00470
OG0000155	XENTR03823	HELIO_02785
OG0000155	XENTR18176	HELIO_06336
OG0000155	XENTR13673, XENTR05745, XENTR13672	HELIO_10305
OG0000157	XENTR09579, XENTR08086	HELIO_02764
OG0000157	XENTR09559	HELIO_02898
OG0000158	XENTR17930, XENTR04115, XENTR04631	HELIO_05890
OG0000159	XENTR09320, XENTR09321	HELIO_11077
OG0000159	XENTR09386	HELIO_07755
OG0000160	XENTR02472	HELIO_11870
OG0000160	XENTR00861, XENTR00862	HELIO_09094
OG0000162	XENTR19069	HELIO_02633
OG0000163	XENTR17419	HELIO_05553
OG0000163	XENTR06573, XENTR03895	HELIO_02290
OG0000163	XENTR10844, XENTR07114, XENTR03341	HELIO_07317
OG0000164	XENTR03117, XENTR11443, XENTR03405, XENTR11930	HELIO_04867
OG0000165	XENTR15301, XENTR13043, XENTR16873, XENTR11658, XENTR00720, XENTR14265, XENTR04481, XENTR04329, XENTR18883, XENTR08529, XENTR02768, XENTR13290, XENTR13289, XENTR02058, XENTR02059, XENTR19075, XENTR04395, XENTR09345	HELIO_01649
OG0000166	XENTR01839	HELIO_00134, HELIO_00135
OG0000166	XENTR14691, XENTR00874, XENTR00875, XENTR00043, XENTR01855	HELIO_11547
OG0000167	XENTR18214, XENTR04642, XENTR04643, XENTR03633, XENTR12761, XENTR09151, XENTR05471, XENTR02446, XENTR12175	HELIO_07346
OG0000168	XENTR11485, XENTR09871	HELIO_11699
OG0000168	XENTR11542, XENTR17377, XENTR00071, XENTR05864, XENTR04725	HELIO_07708
OG0000169	XENTR07575, XENTR17682, XENTR17683, XENTR17684, XENTR17885	HELIO_04309, HELIO_11118, HELIO_04365, HELIO_12257
OG0000171	XENTR12901	HELIO_09820
OG0000171	XENTR09537, XENTR13400, XENTR13399	HELIO_01149
OG0000171	XENTR05662	HELIO_03619
OG0000172	XENTR03780, XENTR04175, XENTR04174, XENTR04177, XENTR16551	HELIO_09881
OG0000173	XENTR18313, XENTR17877, XENTR06255, XENTR06090, XENTR08570, XENTR13645, XENTR00648, XENTR00654, XENTR08279, XENTR13600, XENTR17945, XENTR13599, XENTR05902	HELIO_09570, HELIO_09571
OG0000174	XENTR18562, XENTR12376	HELIO_09480, HELIO_04614, HELIO_10809
OG0000174	XENTR02208, XENTR05576	HELIO_01069
OG0000175	XENTR08289, XENTR15844	HELIO_05633
OG0000175	XENTR03000, XENTR09335, XENTR04649	HELIO_11471
OG0000179	XENTR01942	HELIO_05015
OG0000179	XENTR00560, XENTR12119	HELIO_04929
OG0000179	XENTR05649	HELIO_08122
OG0000180	XENTR00269	HELIO_10517
OG0000180	XENTR14458, XENTR09734, XENTR04382, XENTR05909	HELIO_01389
OG0000181	XENTR06005	HELIO_03744
OG0000181	XENTR17190, XENTR17189, XENTR03816	HELIO_11084, HELIO_06953
OG0000181	XENTR09033, XENTR12669	HELIO_10771
OG0000182	XENTR14471	HELIO_06024
OG0000183	XENTR02086, XENTR13524, XENTR16217	HELIO_03106, HELIO_07785
OG0000183	XENTR02643	HELIO_12279
OG0000183	XENTR02630	HELIO_02987
OG0000184	XENTR04682, XENTR04685, XENTR04684, XENTR04683, XENTR04680, XENTR04681, XENTR03930, XENTR04679, XENTR03929	HELIO_04383
OG0000185	XENTR06208, XENTR17890	HELIO_02917
OG0000185	XENTR09757, XENTR04609	HELIO_08141
OG0000185	XENTR12734	HELIO_12016
OG0000188	XENTR02204, XENTR07576, XENTR05663	HELIO_10975
OG0000192	XENTR01061	HELIO_08116
OG0000192	XENTR03994, XENTR04308	HELIO_04385
OG0000192	XENTR16408	HELIO_03071
OG0000192	XENTR01771	HELIO_03349
OG0000194	XENTR14824, XENTR18660, XENTR00280, XENTR10034	HELIO_04375, HELIO_03596, HELIO_05547, HELIO_11820, HELIO_06680, HELIO_07417
OG0000195	XENTR11322, XENTR09909, XENTR17326	HELIO_05982
OG0000197	XENTR05307, XENTR15908	HELIO_06777, HELIO_03671
OG0000197	XENTR03218, XENTR03217, XENTR15281, XENTR12861, XENTR09625, XENTR08202, XENTR08199, XENTR08201	HELIO_03884
OG0000198	XENTR01193, XENTR17668, XENTR11605, XENTR06767, XENTR06766, XENTR18054	HELIO_07810
OG0000201	XENTR16600, XENTR16601, XENTR04781	HELIO_03794
OG0000201	XENTR04564	HELIO_07497
OG0000201	XENTR12187, XENTR00868	HELIO_09400
OG0000202	XENTR10504, XENTR02700, XENTR02277, XENTR01975, XENTR01974, XENTR01976, XENTR01977, XENTR07918, XENTR13180, XENTR02012, XENTR17556	HELIO_09483, HELIO_08601
OG0000203	XENTR08192, XENTR07634	HELIO_11397
OG0000203	XENTR09015, XENTR08065	HELIO_01088
OG0000203	XENTR04067	HELIO_02460
OG0000204	XENTR04113, XENTR02352	HELIO_05845
OG0000205	XENTR12959, XENTR05519	HELIO_00076
OG0000205	XENTR16886, XENTR01752, XENTR14923	HELIO_00236
OG0000205	XENTR18445, XENTR10749, XENTR03131	HELIO_00235, HELIO_07450
OG0000206	XENTR10880, XENTR04135	HELIO_05908
OG0000206	XENTR10501, XENTR13106, XENTR12355	HELIO_09072, HELIO_05036, HELIO_06863, HELIO_08368
OG0000207	XENTR04496, XENTR02974	HELIO_04136, HELIO_05670, HELIO_01226, HELIO_01015, HELIO_08023
OG0000208	XENTR16926, XENTR03526, XENTR09459, XENTR16011, XENTR11826, XENTR05993	HELIO_06822, HELIO_08975
OG0000210	XENTR12375	HELIO_02498
OG0000210	XENTR19252	HELIO_10527
OG0000210	XENTR04415	HELIO_12121
OG0000211	XENTR02626	HELIO_11401
OG0000211	XENTR00605	HELIO_00554
OG0000211	XENTR12567, XENTR17201, XENTR17202	HELIO_04759
OG0000211	XENTR15376, XENTR01456	HELIO_11035
OG0000213	XENTR03518, XENTR08248	HELIO_04918, HELIO_01073, HELIO_04313, HELIO_04336, HELIO_06549
OG0000215	XENTR01627, XENTR06477	HELIO_05873, HELIO_05161, HELIO_03905
OG0000218	XENTR06015	HELIO_12321
OG0000220	XENTR07581	HELIO_04722
OG0000220	XENTR15742	HELIO_04300, HELIO_10035, HELIO_12042
OG0000221	XENTR04171, XENTR10605, XENTR06942	HELIO_06860
