Orthogroup	XENTR	CAEEL
OG0000220	XENTR12748, XENTR06465, XENTR14440, XENTR06734	CAEEL07565, CAEEL08758
OG0000221	XENTR04171, XENTR10605, XENTR06942	CAEEL10747
OG0000221	XENTR10392, XENTR01755, XENTR16885	CAEEL06648
OG0000225	XENTR02888, XENTR02887, XENTR02890, XENTR02882, XENTR02884, XENTR10481, XENTR16882, XENTR02814, XENTR02816, XENTR02864, XENTR03767, XENTR05141, XENTR06741, XENTR17843, XENTR17844	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	XENTR11864	CAEEL12318
OG0000227	XENTR12301, XENTR12302, XENTR16453, XENTR13632, XENTR15725, XENTR05302, XENTR05301, XENTR06938, XENTR00522, XENTR04987	CAEEL19645
OG0000229	XENTR02900, XENTR07694	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478
OG0000230	XENTR08030, XENTR08029	CAEEL14845, CAEEL19792
OG0000231	XENTR12600, XENTR00418, XENTR03456, XENTR16995	CAEEL08481
OG0000231	XENTR00474, XENTR12545	CAEEL01724
OG0000234	XENTR08092, XENTR06076, XENTR18346	CAEEL02295
OG0000234	XENTR00774, XENTR10873	CAEEL03013, CAEEL03014
OG0000235	XENTR11258, XENTR03491, XENTR04363, XENTR04213, XENTR04161, XENTR08759	CAEEL10795, CAEEL07012
OG0000236	XENTR04703	CAEEL19835
OG0000238	XENTR01828	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387
OG0000239	XENTR09596	CAEEL14926
OG0000239	XENTR06920, XENTR03351	CAEEL00570
OG0000242	XENTR11501, XENTR00387, XENTR02580, XENTR18495, XENTR12685	CAEEL05302
OG0000242	XENTR19139, XENTR02853	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477
OG0000244	XENTR01354, XENTR01248, XENTR01353, XENTR11299, XENTR03738, XENTR10413, XENTR05888, XENTR02505, XENTR12546	CAEEL11789, CAEEL12688
OG0000249	XENTR08519, XENTR16772, XENTR00575, XENTR09681	CAEEL02928
OG0000250	XENTR02680	CAEEL11963
OG0000250	XENTR13730	CAEEL07261
OG0000250	XENTR12693	CAEEL04698
OG0000250	XENTR18990	CAEEL06732
OG0000251	XENTR11476, XENTR03109	CAEEL03882, CAEEL05921, CAEEL16332, CAEEL04207
OG0000255	XENTR09255	CAEEL05168
OG0000255	XENTR12056	CAEEL05715
OG0000256	XENTR18908	CAEEL11937, CAEEL19468
OG0000257	XENTR07148, XENTR11248	CAEEL01910, CAEEL15386
OG0000258	XENTR05687, XENTR18554, XENTR18555, XENTR01829	CAEEL19537
OG0000258	XENTR04830, XENTR00764	CAEEL09342
OG0000258	XENTR12963, XENTR01640	CAEEL15770
OG0000260	XENTR02375, XENTR07041, XENTR01980, XENTR02010, XENTR10330	CAEEL11482
OG0000265	XENTR16202, XENTR06790, XENTR04690	CAEEL20581
OG0000265	XENTR16783	CAEEL10364
OG0000266	XENTR19182	CAEEL02705, CAEEL19379, CAEEL09158
OG0000268	XENTR08601, XENTR08600, XENTR12203	CAEEL08164
OG0000272	XENTR12139, XENTR00222, XENTR10866	CAEEL11804, CAEEL19905
OG0000273	XENTR05880	CAEEL18644
OG0000275	XENTR12980, XENTR06678	CAEEL14783
OG0000275	XENTR08145, XENTR07453, XENTR01933	CAEEL11381, CAEEL10050
OG0000277	XENTR14696, XENTR01190	CAEEL07730, CAEEL07729
OG0000277	XENTR10121, XENTR08844, XENTR08749	CAEEL11066
OG0000278	XENTR19229	CAEEL07740
OG0000278	XENTR14066	CAEEL09180
OG0000278	XENTR09088	CAEEL07099
OG0000278	XENTR12427	CAEEL02024
OG0000282	XENTR02925, XENTR13973, XENTR08646, XENTR07444, XENTR13582	CAEEL11864
OG0000284	XENTR07786, XENTR15522, XENTR13217	CAEEL18846
OG0000287	XENTR00628, XENTR08815, XENTR09170	CAEEL19227, CAEEL19907, CAEEL20741, CAEEL18156
OG0000295	XENTR03072	CAEEL04248, CAEEL10950
OG0000296	XENTR15309	CAEEL14675
OG0000301	XENTR04265, XENTR08731, XENTR05595	CAEEL11399
OG0000301	XENTR00731, XENTR05032	CAEEL18767
OG0000302	XENTR16030	CAEEL08099
OG0000305	XENTR15555	CAEEL19499
OG0000305	XENTR05359, XENTR04162, XENTR07218	CAEEL15162, CAEEL10872, CAEEL15163
OG0000308	XENTR05341, XENTR03132, XENTR11682, XENTR17432, XENTR11467, XENTR06275	CAEEL00748
OG0000312	XENTR12581	CAEEL16684
OG0000312	XENTR16372, XENTR10558	CAEEL08464
OG0000315	XENTR03674	CAEEL07409
OG0000315	XENTR04204, XENTR06293	CAEEL07609
OG0000315	XENTR02373	CAEEL07292
OG0000316	XENTR00550, XENTR11533	CAEEL01799
OG0000319	XENTR04637	CAEEL10346
OG0000321	XENTR09351, XENTR09906, XENTR02057, XENTR09352, XENTR09907	CAEEL19255
OG0000322	XENTR06441	CAEEL18855, CAEEL09291, CAEEL09109
OG0000323	XENTR11681, XENTR15307, XENTR15306, XENTR18280, XENTR06278, XENTR08426	CAEEL08030
OG0000325	XENTR07161	CAEEL01448, CAEEL10554
OG0000327	XENTR02532, XENTR02531, XENTR02535	CAEEL18527
OG0000329	XENTR05224, XENTR13205, XENTR13637, XENTR14193	CAEEL05342
OG0000332	XENTR14310, XENTR07549	CAEEL10794
OG0000333	XENTR16826	CAEEL20574
OG0000338	XENTR03666, XENTR00810, XENTR00811, XENTR03279	CAEEL02726
OG0000343	XENTR11384, XENTR11385, XENTR00663, XENTR09712	CAEEL00542
OG0000345	XENTR04999, XENTR04907, XENTR12817	CAEEL09288
OG0000346	XENTR17511, XENTR00075, XENTR04734	CAEEL04767
OG0000350	XENTR15815, XENTR10276, XENTR02136, XENTR05748, XENTR16105	CAEEL13904
OG0000352	XENTR04727, XENTR11543, XENTR14779	CAEEL05587
OG0000353	XENTR02225	CAEEL10430
OG0000356	XENTR07422	CAEEL10812
OG0000357	XENTR15991, XENTR10312, XENTR11352, XENTR14897	CAEEL07861
OG0000357	XENTR15970, XENTR17586, XENTR08879, XENTR13168	CAEEL10151, CAEEL05953
OG0000358	XENTR09276, XENTR00396	CAEEL13826
OG0000358	XENTR16746, XENTR09348	CAEEL19072
OG0000359	XENTR05950, XENTR00976	CAEEL02740, CAEEL18786, CAEEL18785
OG0000363	XENTR17199, XENTR06334, XENTR17198	CAEEL04898, CAEEL01034, CAEEL00066
OG0000364	XENTR07477	CAEEL18153, CAEEL18154
OG0000365	XENTR02627, XENTR09699	CAEEL03052
OG0000367	XENTR00773, XENTR02827, XENTR18936, XENTR18872, XENTR04515, XENTR03632	CAEEL11241
OG0000372	XENTR06420	CAEEL06634
OG0000372	XENTR12969, XENTR16656	CAEEL11042
OG0000373	XENTR11366	CAEEL15439
OG0000374	XENTR06197, XENTR03155	CAEEL04637
