Orthogroup	XENTR	LYTVA_ok
OG0000078	XENTR19100	LYTVA_01709
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	LYTVA_19637, LYTVA_24538, LYTVA_21250
OG0000079	XENTR01194	LYTVA_05934
OG0000079	XENTR15371	LYTVA_06214, LYTVA_17750
OG0000081	XENTR18129, XENTR18128, XENTR18130, XENTR17315, XENTR17314, XENTR18127, XENTR17316, XENTR16305, XENTR17318, XENTR17317	LYTVA_25424
OG0000082	XENTR16096	LYTVA_25888
OG0000082	XENTR01624, XENTR01625	LYTVA_18803
OG0000083	XENTR04370, XENTR12084, XENTR05647	LYTVA_26815
OG0000084	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724	LYTVA_14799
OG0000085	XENTR01729, XENTR03138	LYTVA_19136
OG0000085	XENTR04052, XENTR12507	LYTVA_13307
OG0000085	XENTR15005	LYTVA_05365
OG0000085	XENTR00809	LYTVA_17776
OG0000085	XENTR12352, XENTR12351	LYTVA_06708
OG0000087	XENTR17246	LYTVA_15159
OG0000087	XENTR13447, XENTR13446	LYTVA_06727
OG0000087	XENTR07023	LYTVA_22406
OG0000087	XENTR10385	LYTVA_22963
OG0000087	XENTR06016	LYTVA_04512
OG0000087	XENTR00988	LYTVA_18728
OG0000087	XENTR18799	LYTVA_07967
OG0000088	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110	LYTVA_25176, LYTVA_22082, LYTVA_14006, LYTVA_21232, LYTVA_01236, LYTVA_20639, LYTVA_10043, LYTVA_19532, LYTVA_01363, LYTVA_15031, LYTVA_01366, LYTVA_27296, LYTVA_08261, LYTVA_00566, LYTVA_29559, LYTVA_14054, LYTVA_14936, LYTVA_12867, LYTVA_29601, LYTVA_12865, LYTVA_28455
OG0000089	XENTR04109	LYTVA_06777, LYTVA_25975
OG0000090	XENTR11768	LYTVA_02577
OG0000090	XENTR06545	LYTVA_18395, LYTVA_13128
OG0000091	XENTR08624	LYTVA_04137
OG0000093	XENTR11592, XENTR02843, XENTR08380	LYTVA_29075, LYTVA_25106, LYTVA_28477, LYTVA_25104
OG0000094	XENTR10717, XENTR18065, XENTR15146	LYTVA_10290
OG0000094	XENTR09915, XENTR14788, XENTR17591	LYTVA_09221
OG0000096	XENTR02028, XENTR07076, XENTR03113	LYTVA_28490
OG0000096	XENTR02339, XENTR11518	LYTVA_12286
OG0000096	XENTR01880	LYTVA_21388
OG0000096	XENTR18613	LYTVA_10606
OG0000096	XENTR18353, XENTR11491, XENTR07413, XENTR11633	LYTVA_19397
OG0000096	XENTR16018, XENTR14119	LYTVA_24298
OG0000096	XENTR17893	LYTVA_20858
OG0000098	XENTR05433, XENTR18578, XENTR17176	LYTVA_15643
OG0000098	XENTR13786, XENTR13233, XENTR09318, XENTR06987	LYTVA_24589, LYTVA_16909
OG0000099	XENTR08245, XENTR06050, XENTR16324, XENTR11719, XENTR12540	LYTVA_09301, LYTVA_14363, LYTVA_14362
OG0000101	XENTR09885, XENTR05951	LYTVA_13163
OG0000101	XENTR10544, XENTR10545	LYTVA_03793
OG0000101	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771	LYTVA_25292, LYTVA_25291
OG0000102	XENTR10759, XENTR05530	LYTVA_23145
OG0000103	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493	LYTVA_05784
OG0000103	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614	LYTVA_08412
OG0000104	XENTR05699, XENTR11871	LYTVA_24486
OG0000104	XENTR03188, XENTR10251	LYTVA_21210
OG0000104	XENTR11872, XENTR05698	LYTVA_17806
OG0000104	XENTR07142	LYTVA_12502
OG0000104	XENTR02594, XENTR10789, XENTR16122	LYTVA_12996
OG0000106	XENTR07802	LYTVA_01037
OG0000106	XENTR05910, XENTR12158, XENTR05297	LYTVA_12933, LYTVA_15504, LYTVA_30171, LYTVA_06537, LYTVA_25256
OG0000107	XENTR16492	LYTVA_12329
OG0000113	XENTR00307	LYTVA_11625
OG0000114	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055	LYTVA_18980, LYTVA_05208, LYTVA_13458
OG0000115	XENTR10985	LYTVA_15799, LYTVA_02089
OG0000116	XENTR12530	LYTVA_00275, LYTVA_00276, LYTVA_12381
OG0000119	XENTR05393, XENTR05242, XENTR06871	LYTVA_11474
OG0000119	XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933	LYTVA_08592, LYTVA_07119, LYTVA_19356
OG0000119	XENTR01125, XENTR14071	LYTVA_04285, LYTVA_11467
OG0000121	XENTR04902, XENTR18080	LYTVA_23606, LYTVA_10086
OG0000121	XENTR08396, XENTR08397	LYTVA_03587
OG0000122	XENTR06907, XENTR17281	LYTVA_10750
OG0000122	XENTR02708, XENTR14715, XENTR10342, XENTR01730, XENTR03137, XENTR03802	LYTVA_18458
OG0000123	XENTR09572, XENTR12457, XENTR17140	LYTVA_03404
OG0000123	XENTR02182	LYTVA_12956
OG0000123	XENTR10906	LYTVA_28852, LYTVA_16769
OG0000124	XENTR05926	LYTVA_14993
OG0000124	XENTR09248, XENTR09249	LYTVA_27850
OG0000124	XENTR12958, XENTR01638	LYTVA_05622
OG0000124	XENTR13084, XENTR11997	LYTVA_20699
OG0000125	XENTR01735, XENTR14091, XENTR08560	LYTVA_16406
OG0000125	XENTR01738, XENTR14098	LYTVA_25487
OG0000125	XENTR05425	LYTVA_01832
OG0000126	XENTR02718, XENTR02062, XENTR09023	LYTVA_19767
OG0000126	XENTR14632, XENTR03466	LYTVA_03902
OG0000126	XENTR05061, XENTR11942, XENTR13975, XENTR08532	LYTVA_29180
OG0000127	XENTR02720, XENTR03441, XENTR09025	LYTVA_27169
OG0000127	XENTR10923, XENTR12718	LYTVA_12856
OG0000127	XENTR18212	LYTVA_21563
OG0000127	XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893	LYTVA_12830
OG0000127	XENTR01486, XENTR04784, XENTR07585	LYTVA_20093
OG0000128	XENTR09496, XENTR10668	LYTVA_01369, LYTVA_05348, LYTVA_25678
OG0000128	XENTR08486, XENTR08487	LYTVA_25569, LYTVA_25568
OG0000128	XENTR04418	LYTVA_25168
OG0000129	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673	LYTVA_24420, LYTVA_06816
OG0000129	XENTR14278, XENTR11921, XENTR18992, XENTR15519	LYTVA_27162
OG0000130	XENTR04860	LYTVA_19257
OG0000130	XENTR04495, XENTR07613, XENTR03572	LYTVA_15064
OG0000130	XENTR09287, XENTR09286, XENTR18945, XENTR04945, XENTR12880, XENTR09655, XENTR07979	LYTVA_05651
OG0000130	XENTR08843, XENTR10120	LYTVA_15765, LYTVA_27521
OG0000131	XENTR10944	LYTVA_24487, LYTVA_12418, LYTVA_04259, LYTVA_21090
OG0000132	XENTR17991, XENTR17911, XENTR17992, XENTR18068, XENTR18069, XENTR13502, XENTR19190, XENTR04255	LYTVA_12161, LYTVA_21000, LYTVA_22030, LYTVA_12450, LYTVA_13402
OG0000137	XENTR10738, XENTR07993, XENTR07994	LYTVA_14649
OG0000137	XENTR11062, XENTR17418	LYTVA_14169, LYTVA_05475
OG0000137	XENTR10667	LYTVA_25469, LYTVA_15627
OG0000140	XENTR17095	LYTVA_30020
OG0000140	XENTR01606, XENTR07662	LYTVA_19546
OG0000141	XENTR13160	LYTVA_04353, LYTVA_16633, LYTVA_23463, LYTVA_05955, LYTVA_05956, LYTVA_05957, LYTVA_05958, LYTVA_17141, LYTVA_11297, LYTVA_29166, LYTVA_09438, LYTVA_09439, LYTVA_25402
OG0000142	XENTR14526, XENTR15206, XENTR12932	LYTVA_01494
OG0000147	XENTR03268, XENTR13018	LYTVA_06334
OG0000147	XENTR12286	LYTVA_20853
OG0000147	XENTR02156, XENTR12287	LYTVA_24464
OG0000147	XENTR01301, XENTR12003	LYTVA_06610, LYTVA_07302
OG0000147	XENTR00602	LYTVA_18928
OG0000147	XENTR15311	LYTVA_03351
OG0000148	XENTR10464, XENTR17112, XENTR02369, XENTR07951	LYTVA_19008
OG0000149	XENTR03422, XENTR03423	LYTVA_27288
OG0000149	XENTR01442, XENTR00579	LYTVA_06518, LYTVA_19439, LYTVA_27853, LYTVA_06524, LYTVA_14878, LYTVA_23613, LYTVA_03219, LYTVA_27903, LYTVA_15256, LYTVA_09082
OG0000149	XENTR04855	LYTVA_24788
OG0000151	XENTR04929, XENTR06165, XENTR12078, XENTR11745	LYTVA_06631
OG0000151	XENTR06824, XENTR00446, XENTR00447	LYTVA_13428, LYTVA_13427
OG0000155	XENTR18176	LYTVA_12158
OG0000155	XENTR13673, XENTR05745, XENTR13672	LYTVA_22929
OG0000158	XENTR17930, XENTR04115, XENTR04631	LYTVA_03807
OG0000159	XENTR09386	LYTVA_25766
OG0000159	XENTR07751	LYTVA_12728
OG0000160	XENTR00861, XENTR00862	LYTVA_11099
OG0000162	XENTR19069	LYTVA_18164
OG0000163	XENTR03897, XENTR06574	LYTVA_26726
OG0000163	XENTR10844, XENTR07114, XENTR03341	LYTVA_16156
OG0000164	XENTR03117, XENTR11443, XENTR03405, XENTR11930	LYTVA_25753
OG0000165	XENTR15301, XENTR13043, XENTR16873, XENTR11658, XENTR00720, XENTR14265, XENTR04481, XENTR04329, XENTR18883, XENTR08529, XENTR02768, XENTR13290, XENTR13289, XENTR02058, XENTR02059, XENTR19075, XENTR04395, XENTR09345	LYTVA_00753
OG0000166	XENTR01839	LYTVA_25764
OG0000166	XENTR14691, XENTR00874, XENTR00875, XENTR00043, XENTR01855	LYTVA_15942
OG0000167	XENTR13141	LYTVA_24832
OG0000168	XENTR11485, XENTR09871	LYTVA_20122, LYTVA_24324
OG0000168	XENTR11542, XENTR17377, XENTR00071, XENTR05864, XENTR04725	LYTVA_19322, LYTVA_08888
OG0000169	XENTR07575, XENTR17682, XENTR17683, XENTR17684, XENTR17885	LYTVA_09716, LYTVA_24640, LYTVA_06335, LYTVA_06337, LYTVA_18535
OG0000171	XENTR12901	LYTVA_27882
OG0000171	XENTR11514	LYTVA_20168
OG0000171	XENTR09537, XENTR13400, XENTR13399	LYTVA_24654
OG0000171	XENTR05662	LYTVA_27222
OG0000172	XENTR03780, XENTR04175, XENTR04174, XENTR04177, XENTR16551	LYTVA_28668
OG0000173	XENTR18313, XENTR17877, XENTR06255, XENTR06090, XENTR08570, XENTR13645, XENTR00648, XENTR00654, XENTR08279, XENTR13600, XENTR17945, XENTR13599, XENTR05902	LYTVA_13813
OG0000174	XENTR18562, XENTR12376	LYTVA_12646, LYTVA_19454, LYTVA_00411
OG0000174	XENTR02208, XENTR05576	LYTVA_10125
OG0000175	XENTR03000, XENTR09335, XENTR04649	LYTVA_23856
OG0000179	XENTR01942	LYTVA_11503
OG0000179	XENTR00560, XENTR12119	LYTVA_09715, LYTVA_09722, LYTVA_06848
OG0000179	XENTR05649	LYTVA_21017
OG0000179	XENTR05414, XENTR12627	LYTVA_21234
OG0000180	XENTR00269	LYTVA_16023
OG0000180	XENTR14458, XENTR09734, XENTR04382, XENTR05909	LYTVA_05451, LYTVA_05450
OG0000181	XENTR17190, XENTR17189, XENTR03816	LYTVA_30016
OG0000182	XENTR14471	LYTVA_02337, LYTVA_01729
OG0000183	XENTR02086, XENTR13524, XENTR16217	LYTVA_29269
OG0000183	XENTR02643	LYTVA_12902
OG0000183	XENTR02630	LYTVA_28105
OG0000184	XENTR04682, XENTR04685, XENTR04684, XENTR04683, XENTR04680, XENTR04681, XENTR03930, XENTR04679, XENTR03929	LYTVA_22049, LYTVA_02101, LYTVA_11407, LYTVA_11408
OG0000185	XENTR06208, XENTR17890	LYTVA_22522
OG0000185	XENTR09757, XENTR04609	LYTVA_05708
OG0000185	XENTR12734	LYTVA_27187
OG0000186	XENTR03039	LYTVA_16833
OG0000188	XENTR00085, XENTR08613	LYTVA_07056
OG0000188	XENTR02204, XENTR07576, XENTR05663	LYTVA_29520
OG0000188	XENTR09997, XENTR04456	LYTVA_06131
OG0000190	XENTR07782, XENTR06828, XENTR06827, XENTR07781, XENTR06829	LYTVA_08213
OG0000192	XENTR03994, XENTR04308	LYTVA_22840
OG0000192	XENTR16408	LYTVA_17555
