Orthogroup	ASTMX	CAPO3
OG0000260	ASTMX02089	CAPO303219
OG0000260	ASTMX08323, ASTMX08530, ASTMX00791, ASTMX02088	CAPO300399
OG0000265	ASTMX20048, ASTMX19410, ASTMX06906, ASTMX17905, ASTMX03304	CAPO306126
OG0000265	ASTMX17774, ASTMX08300	CAPO306540
OG0000271	ASTMX08643, ASTMX19899, ASTMX11074, ASTMX18872, ASTMX12570, ASTMX12732, ASTMX04753, ASTMX09407, ASTMX13766, ASTMX13768, ASTMX02664, ASTMX13767	CAPO304641
OG0000273	ASTMX02360	CAPO305109
OG0000273	ASTMX16340	CAPO300804
OG0000273	ASTMX21300	CAPO306869
OG0000277	ASTMX17498, ASTMX03998, ASTMX13452	CAPO303621
OG0000277	ASTMX12126, ASTMX12127, ASTMX03033, ASTMX03664	CAPO301295
OG0000278	ASTMX18193	CAPO305822
OG0000278	ASTMX01574	CAPO302023
OG0000278	ASTMX16975, ASTMX10057	CAPO303638
OG0000282	ASTMX18342, ASTMX09599, ASTMX04653, ASTMX06602, ASTMX00322, ASTMX19110, ASTMX07649	CAPO308183
OG0000284	ASTMX00328, ASTMX15433	CAPO305695
OG0000285	ASTMX01560	CAPO303377
OG0000288	ASTMX19599, ASTMX03159, ASTMX17230, ASTMX07890, ASTMX01219	CAPO305142
OG0000289	ASTMX12627, ASTMX20455, ASTMX02890, ASTMX10329, ASTMX21654, ASTMX05955, ASTMX18073, ASTMX11422, ASTMX16415	CAPO307835
OG0000295	ASTMX20405, ASTMX19587, ASTMX20406, ASTMX19588, ASTMX22085, ASTMX19804	CAPO302113, CAPO302799
OG0000299	ASTMX18363, ASTMX17281, ASTMX00682, ASTMX08715, ASTMX12382, ASTMX11949	CAPO306599
OG0000306	ASTMX18000, ASTMX12121, ASTMX01553, ASTMX05933, ASTMX13715, ASTMX14016, ASTMX15243	CAPO308212
OG0000308	ASTMX20341, ASTMX17147, ASTMX10685, ASTMX02323, ASTMX17926	CAPO304037
OG0000310	ASTMX00126	CAPO305978
OG0000312	ASTMX17975	CAPO304557
OG0000312	ASTMX19559, ASTMX13976	CAPO302691
OG0000313	ASTMX20598, ASTMX13321, ASTMX07858, ASTMX04915, ASTMX16687, ASTMX11511	CAPO307072
OG0000313	ASTMX07132	CAPO301348
OG0000314	ASTMX10586, ASTMX02410, ASTMX02409, ASTMX21219, ASTMX07736, ASTMX14320, ASTMX01567, ASTMX21999, ASTMX10109, ASTMX11499	CAPO304303
OG0000315	ASTMX11724	CAPO307611
OG0000315	ASTMX08301, ASTMX03040	CAPO308167
OG0000319	ASTMX15258, ASTMX11737, ASTMX11738, ASTMX05117, ASTMX10390	CAPO303225
OG0000322	ASTMX06004, ASTMX03375, ASTMX14712, ASTMX15181, ASTMX15890	CAPO306406
OG0000326	ASTMX00747, ASTMX05282, ASTMX15670, ASTMX15158, ASTMX20792	CAPO308358, CAPO307947
OG0000326	ASTMX00749	CAPO303322
OG0000327	ASTMX06414, ASTMX05544, ASTMX06421, ASTMX13482, ASTMX13483, ASTMX13484, ASTMX06420, ASTMX06415	CAPO308120
OG0000334	ASTMX22703, ASTMX21795, ASTMX06979, ASTMX13611, ASTMX22716, ASTMX22027, ASTMX21357, ASTMX22598	CAPO300337
OG0000335	ASTMX18011, ASTMX18289	CAPO307753
OG0000338	ASTMX13042, ASTMX20131, ASTMX05102, ASTMX05103, ASTMX03140, ASTMX09866, ASTMX01891	CAPO304735
OG0000339	ASTMX07466	CAPO305264
OG0000343	ASTMX10298, ASTMX08048, ASTMX09330, ASTMX07009, ASTMX11872, ASTMX14973	CAPO306429
OG0000345	ASTMX17770, ASTMX16023, ASTMX16273, ASTMX07982, ASTMX01509	CAPO300769
OG0000352	ASTMX05896, ASTMX03995, ASTMX17359, ASTMX13140, ASTMX01195, ASTMX07258	CAPO300356
OG0000357	ASTMX15888, ASTMX01105, ASTMX14562, ASTMX04757	CAPO301487
OG0000359	ASTMX07087, ASTMX13220	CAPO305417
OG0000359	ASTMX09819, ASTMX07326	CAPO301540
OG0000359	ASTMX01180	CAPO306866
OG0000360	ASTMX04622, ASTMX02247, ASTMX22133, ASTMX09946, ASTMX13961	CAPO300757
OG0000364	ASTMX08125	CAPO301330, CAPO300908
OG0000367	ASTMX18601, ASTMX09449, ASTMX02026, ASTMX13956, ASTMX04028, ASTMX06700, ASTMX14123, ASTMX14122, ASTMX18667	CAPO301272
OG0000371	ASTMX11842, ASTMX16154	CAPO307503
OG0000372	ASTMX00698, ASTMX11491, ASTMX06694, ASTMX07580, ASTMX13013	CAPO307553
OG0000373	ASTMX13546, ASTMX07311, ASTMX17503, ASTMX11338, ASTMX01301, ASTMX01605	CAPO301744
OG0000385	ASTMX12707, ASTMX02895, ASTMX01809, ASTMX18429, ASTMX18427, ASTMX18428	CAPO300182, CAPO305781, CAPO305517
OG0000392	ASTMX12388, ASTMX03996, ASTMX06463, ASTMX05494	CAPO300351
OG0000393	ASTMX19684, ASTMX19683, ASTMX17767, ASTMX20759	CAPO307627
OG0000397	ASTMX08239, ASTMX05577, ASTMX13966, ASTMX12675, ASTMX19668, ASTMX18504	CAPO304372
OG0000399	ASTMX07149, ASTMX09464, ASTMX15648, ASTMX13680, ASTMX19388, ASTMX07577, ASTMX13014, ASTMX14554, ASTMX05126, ASTMX19706	CAPO302781
OG0000402	ASTMX08873, ASTMX08328, ASTMX15651, ASTMX21467, ASTMX17950, ASTMX07646, ASTMX19109, ASTMX00692, ASTMX17284, ASTMX02556	CAPO300999
OG0000405	ASTMX06845, ASTMX10883, ASTMX04895, ASTMX21258, ASTMX08631, ASTMX07907	CAPO300636
OG0000412	ASTMX08855	CAPO306116
OG0000412	ASTMX13390, ASTMX06615, ASTMX11203, ASTMX12505	CAPO307159
OG0000413	ASTMX22225, ASTMX13671, ASTMX19651, ASTMX16482, ASTMX04390	CAPO302663
OG0000413	ASTMX16688, ASTMX04912, ASTMX09192, ASTMX19930	CAPO304678
OG0000416	ASTMX16726, ASTMX21802, ASTMX21803, ASTMX16725	CAPO300647, CAPO303519
OG0000419	ASTMX14421, ASTMX01798, ASTMX13831, ASTMX01797	CAPO304227
OG0000420	ASTMX03701, ASTMX11233, ASTMX04743	CAPO307162
OG0000422	ASTMX00828, ASTMX04590, ASTMX14110, ASTMX06444, ASTMX19359	CAPO301071
OG0000424	ASTMX07663	CAPO302770, CAPO306814
OG0000426	ASTMX14958	CAPO302714
OG0000426	ASTMX11516, ASTMX15003, ASTMX14175, ASTMX10096, ASTMX04997	CAPO306829
OG0000427	ASTMX06287, ASTMX09008	CAPO303813
OG0000431	ASTMX11097, ASTMX09197, ASTMX22566	CAPO306585
OG0000431	ASTMX06516, ASTMX00145, ASTMX09571	CAPO304684
OG0000433	ASTMX10245, ASTMX08139, ASTMX12987	CAPO304838, CAPO302573
OG0000434	ASTMX05014	CAPO304471
OG0000435	ASTMX07675, ASTMX17180, ASTMX22596, ASTMX08016, ASTMX00822, ASTMX11321, ASTMX01296, ASTMX01968, ASTMX00957	CAPO308080
OG0000436	ASTMX00162, ASTMX01672, ASTMX22621, ASTMX04268	CAPO305799
OG0000442	ASTMX06201, ASTMX00907, ASTMX14474	CAPO302753, CAPO302633
OG0000444	ASTMX14380, ASTMX00703, ASTMX21179	CAPO305423
OG0000444	ASTMX10912, ASTMX16562	CAPO301239
OG0000445	ASTMX09933	CAPO301584
OG0000447	ASTMX14913, ASTMX09104, ASTMX06112, ASTMX14924, ASTMX04090, ASTMX14911, ASTMX21473	CAPO300691
OG0000450	ASTMX07538, ASTMX08134, ASTMX11116, ASTMX11115, ASTMX01427, ASTMX10964, ASTMX17597, ASTMX18833, ASTMX18053, ASTMX11721, ASTMX11722	CAPO307586, CAPO307446
OG0000453	ASTMX04911	CAPO305025
OG0000454	ASTMX10568, ASTMX07895, ASTMX18556, ASTMX19705, ASTMX19391, ASTMX05140	CAPO301952
OG0000461	ASTMX14096	CAPO303645, CAPO304085, CAPO303531
OG0000461	ASTMX09634, ASTMX19013	CAPO307456
OG0000467	ASTMX19597, ASTMX15795, ASTMX10740, ASTMX09415, ASTMX01966, ASTMX05515, ASTMX02018	CAPO302214
OG0000468	ASTMX16969, ASTMX16968, ASTMX16966, ASTMX16964, ASTMX16965, ASTMX16967, ASTMX08249, ASTMX07575	CAPO302003, CAPO303185
OG0000469	ASTMX17554, ASTMX08379, ASTMX20035, ASTMX11781, ASTMX01028, ASTMX09278, ASTMX13963, ASTMX16633, ASTMX02217, ASTMX04047	CAPO306584, CAPO302277
OG0000470	ASTMX20617, ASTMX01420, ASTMX16395, ASTMX15646, ASTMX03241, ASTMX22015	CAPO307521
OG0000474	ASTMX09410, ASTMX04778, ASTMX21427, ASTMX22551, ASTMX19649, ASTMX03307, ASTMX04489, ASTMX17013, ASTMX16239	CAPO307766
OG0000475	ASTMX05454, ASTMX09395, ASTMX04770, ASTMX05457, ASTMX04247, ASTMX09728, ASTMX05455, ASTMX08656, ASTMX22981, ASTMX05456	CAPO303779
OG0000476	ASTMX15079	CAPO306104
OG0000479	ASTMX07487, ASTMX08702, ASTMX01240, ASTMX04831, ASTMX08818	CAPO303549
OG0000479	ASTMX21850, ASTMX17585, ASTMX15198, ASTMX05901	CAPO304267
OG0000480	ASTMX05218, ASTMX07171, ASTMX07170	CAPO307201
OG0000481	ASTMX04468	CAPO300053
OG0000481	ASTMX15759	CAPO304800
OG0000481	ASTMX21277, ASTMX10551	CAPO304355
OG0000484	ASTMX20535, ASTMX06464, ASTMX05493, ASTMX21963, ASTMX03189, ASTMX02359, ASTMX05957	CAPO304750
OG0000485	ASTMX18912, ASTMX15444, ASTMX22055, ASTMX02971, ASTMX22496	CAPO303224, CAPO303026
OG0000486	ASTMX13378, ASTMX03758	CAPO306048, CAPO306972
OG0000488	ASTMX03433, ASTMX00689	CAPO305871
OG0000491	ASTMX05642, ASTMX18439, ASTMX18438, ASTMX18437, ASTMX14753, ASTMX17371, ASTMX11249	CAPO305506
OG0000494	ASTMX16000, ASTMX05886, ASTMX17592, ASTMX10961, ASTMX13194, ASTMX13294, ASTMX10353	CAPO300277
OG0000505	ASTMX18350	CAPO303790, CAPO306121
OG0000506	ASTMX21436, ASTMX20807, ASTMX05502, ASTMX16924, ASTMX20808, ASTMX10856, ASTMX08798	CAPO304587
OG0000508	ASTMX01457, ASTMX09874	CAPO303408, CAPO307945
OG0000508	ASTMX07533	CAPO302590
OG0000510	ASTMX10189, ASTMX20520, ASTMX12755, ASTMX12852, ASTMX10966, ASTMX16608	CAPO303128, CAPO305095
OG0000511	ASTMX13576	CAPO301322
OG0000514	ASTMX10637, ASTMX15495, ASTMX20347, ASTMX17787, ASTMX03613, ASTMX20346	CAPO307292
OG0000516	ASTMX06518, ASTMX01654, ASTMX13984, ASTMX12362, ASTMX20641	CAPO302072
OG0000519	ASTMX13209, ASTMX05997	CAPO300709
OG0000520	ASTMX19989, ASTMX14233, ASTMX09883	CAPO304720
OG0000522	ASTMX18924, ASTMX19564, ASTMX01611, ASTMX06605	CAPO306204
OG0000528	ASTMX18461, ASTMX02315, ASTMX10467, ASTMX20121	CAPO300417
OG0000530	ASTMX03176, ASTMX02906, ASTMX17387, ASTMX07408, ASTMX19455	CAPO306919
OG0000532	ASTMX11129, ASTMX21141	CAPO300259
OG0000532	ASTMX01302, ASTMX15057	CAPO301913
OG0000538	ASTMX06663, ASTMX01046, ASTMX13231, ASTMX04495, ASTMX12645, ASTMX21007	CAPO300039
OG0000548	ASTMX20814, ASTMX19774, ASTMX15937, ASTMX10502, ASTMX10235, ASTMX16625, ASTMX05347	CAPO307253, CAPO307370
OG0000551	ASTMX02105	CAPO305700
OG0000552	ASTMX21676, ASTMX01181, ASTMX00313	CAPO302805
OG0000553	ASTMX06372, ASTMX14267, ASTMX09263, ASTMX16310, ASTMX17368, ASTMX03487, ASTMX06718, ASTMX14321, ASTMX21466, ASTMX11677	CAPO302261
OG0000554	ASTMX01832, ASTMX14014, ASTMX18036, ASTMX05113, ASTMX22267, ASTMX07583, ASTMX22268	CAPO300205
OG0000561	ASTMX19650, ASTMX12281, ASTMX09747, ASTMX04726	CAPO307817, CAPO304686, CAPO304296
OG0000563	ASTMX12226, ASTMX05877, ASTMX13470	CAPO305151
