Orthogroup	ASTMX	LYTVA_ok
OG0000125	ASTMX19681, ASTMX13832	LYTVA_25487
OG0000125	ASTMX00267	LYTVA_01832
OG0000126	ASTMX08551, ASTMX08784, ASTMX11157	LYTVA_19767
OG0000126	ASTMX09154	LYTVA_16967
OG0000126	ASTMX06187, ASTMX17244	LYTVA_03902
OG0000126	ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148	LYTVA_29180
OG0000127	ASTMX09798, ASTMX08552, ASTMX08785, ASTMX11156, ASTMX05665, ASTMX21500	LYTVA_27169
OG0000127	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032	LYTVA_12856
OG0000127	ASTMX11418, ASTMX00918, ASTMX13409, ASTMX07588, ASTMX13478	LYTVA_21563
OG0000127	ASTMX10799, ASTMX06687, ASTMX15259, ASTMX15260	LYTVA_12830
