Orthogroup	ASTMX	STRPU_ok
OG0000080	ASTMX22762	STRPU_04387, STRPU_15801, STRPU_17234, STRPU_16347, STRPU_07754
OG0000080	ASTMX03885	STRPU_07841, STRPU_16971, STRPU_16830, STRPU_00556, STRPU_09960, STRPU_06340, STRPU_16071, STRPU_16545
OG0000081	ASTMX02774	STRPU_10387, STRPU_19245, STRPU_19246
OG0000082	ASTMX06917	STRPU_19842
OG0000082	ASTMX17888	STRPU_09694, STRPU_09737
OG0000082	ASTMX17248	STRPU_22564, STRPU_22563, STRPU_20087
OG0000083	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864	STRPU_05477, STRPU_05480, STRPU_05479
OG0000084	ASTMX18467, ASTMX12487, ASTMX09980, ASTMX22125, ASTMX15418, ASTMX20810	STRPU_10120, STRPU_10047
OG0000084	ASTMX08038	STRPU_09358
OG0000085	ASTMX01460, ASTMX20784, ASTMX14674	STRPU_24977
OG0000085	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760	STRPU_15094
OG0000085	ASTMX19538	STRPU_25637
OG0000085	ASTMX21189, ASTMX20129	STRPU_14802
OG0000085	ASTMX08704, ASTMX02521	STRPU_17832
OG0000087	ASTMX06968	STRPU_06300, STRPU_06346
OG0000087	ASTMX06381	STRPU_23330
OG0000087	ASTMX19474	STRPU_08212
OG0000088	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971	STRPU_22547, STRPU_21931, STRPU_22061, STRPU_09861, STRPU_06425, STRPU_12997, STRPU_24674, STRPU_07045, STRPU_20838, STRPU_20875, STRPU_13326, STRPU_11713, STRPU_13712, STRPU_00232, STRPU_25974, STRPU_22714, STRPU_00696, STRPU_12904, STRPU_12905, STRPU_07251, STRPU_07272, STRPU_21273, STRPU_21272, STRPU_26899, STRPU_19492, STRPU_00779, STRPU_19792, STRPU_04079, STRPU_04080, STRPU_26089
OG0000089	ASTMX10521	STRPU_10589
OG0000089	ASTMX12140, ASTMX19290, ASTMX07948, ASTMX03871, ASTMX13992	STRPU_17838, STRPU_22395
OG0000090	ASTMX15822, ASTMX13800, ASTMX19765	STRPU_20024, STRPU_20023
OG0000090	ASTMX12258, ASTMX10648	STRPU_15706
OG0000091	ASTMX03395	STRPU_17342, STRPU_24653, STRPU_09916, STRPU_24656, STRPU_24652
OG0000093	ASTMX01191, ASTMX07190, ASTMX03079, ASTMX18769	STRPU_16292, STRPU_19475, STRPU_19473, STRPU_19480, STRPU_17622, STRPU_02298, STRPU_02299, STRPU_02300, STRPU_17621, STRPU_13630, STRPU_15251, STRPU_25013, STRPU_15508, STRPU_01856, STRPU_01855, STRPU_03976, STRPU_24512, STRPU_15196, STRPU_17525, STRPU_17526, STRPU_15252
OG0000094	ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747	STRPU_22767, STRPU_01923
OG0000094	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671	STRPU_19407
OG0000096	ASTMX11824, ASTMX12057, ASTMX18217	STRPU_06019
