Orthogroup	ASTMX	APOSC_ok
OG0000103	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972	APOSC_08194
OG0000103	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316	APOSC_19265
OG0000104	ASTMX07046, ASTMX03729, ASTMX19421	APOSC_15082, APOSC_15083, APOSC_15085, APOSC_15084
OG0000104	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448	APOSC_11443, APOSC_11444, APOSC_11442
OG0000104	ASTMX03728, ASTMX07045	APOSC_16135
OG0000104	ASTMX00149	APOSC_04087, APOSC_04088
OG0000104	ASTMX00709, ASTMX16073	APOSC_13374
OG0000106	ASTMX14703, ASTMX18591, ASTMX08015	APOSC_22868
OG0000106	ASTMX03154	APOSC_21078
OG0000106	ASTMX10570, ASTMX00462	APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863
OG0000108	ASTMX16847, ASTMX07881, ASTMX08427, ASTMX08437, ASTMX04339, ASTMX03583	APOSC_10956
OG0000110	ASTMX08508	APOSC_20398, APOSC_08788, APOSC_17988, APOSC_15633, APOSC_20613, APOSC_13751
OG0000113	ASTMX19383, ASTMX05472	APOSC_22087, APOSC_26451
OG0000113	ASTMX07205	APOSC_05289, APOSC_24456, APOSC_21846, APOSC_16966, APOSC_27198, APOSC_04616, APOSC_09550, APOSC_06453, APOSC_14352
OG0000114	ASTMX06800	APOSC_23462
OG0000114	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249	APOSC_10928, APOSC_00248, APOSC_23655, APOSC_06012, APOSC_17348, APOSC_05416
OG0000115	ASTMX01700	APOSC_24198
OG0000115	ASTMX08993, ASTMX16595	APOSC_04786
OG0000116	ASTMX01410	APOSC_28097, APOSC_09224
OG0000117	ASTMX21002, ASTMX14024	APOSC_19840, APOSC_25285
OG0000117	ASTMX14023	APOSC_01933
OG0000118	ASTMX10091, ASTMX22719	APOSC_13283
OG0000119	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636	APOSC_11483
OG0000119	ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905	APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102
OG0000119	ASTMX00656, ASTMX18233	APOSC_19027, APOSC_11438, APOSC_25237, APOSC_25238
OG0000120	ASTMX21836, ASTMX22567, ASTMX00463	APOSC_04315
OG0000120	ASTMX04437	APOSC_18873
OG0000120	ASTMX12007	APOSC_13215
OG0000120	ASTMX00681, ASTMX22880	APOSC_05045
OG0000121	ASTMX13884, ASTMX13883, ASTMX13882, ASTMX20607	APOSC_24649, APOSC_24650, APOSC_11574, APOSC_15665, APOSC_05374, APOSC_28387, APOSC_12126, APOSC_08548, APOSC_10960, APOSC_00676, APOSC_02343
OG0000122	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832	APOSC_25177
OG0000122	ASTMX22053, ASTMX06000, ASTMX18931, ASTMX06001, ASTMX16780, ASTMX11273, ASTMX05998, ASTMX22052, ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421	APOSC_11178
OG0000123	ASTMX19107, ASTMX20866, ASTMX07971, ASTMX04078	APOSC_03443
OG0000123	ASTMX01522, ASTMX09979, ASTMX12484, ASTMX14953, ASTMX15212	APOSC_20465
OG0000123	ASTMX14814, ASTMX00304	APOSC_23180
OG0000124	ASTMX09338, ASTMX18149, ASTMX01149	APOSC_29022
OG0000124	ASTMX16401, ASTMX07748	APOSC_26551
OG0000124	ASTMX10640, ASTMX14745, ASTMX06441	APOSC_03695
OG0000124	ASTMX10817, ASTMX14412	APOSC_13919
OG0000124	ASTMX15641, ASTMX13821, ASTMX22615, ASTMX05824	APOSC_09834
OG0000125	ASTMX13565, ASTMX10452, ASTMX15866, ASTMX05329	APOSC_10519, APOSC_10520, APOSC_10518
OG0000125	ASTMX19681, ASTMX13832	APOSC_27450
OG0000125	ASTMX00267	APOSC_26262, APOSC_07039, APOSC_19200
OG0000126	ASTMX08551, ASTMX08784, ASTMX11157	APOSC_16760
OG0000126	ASTMX09154	APOSC_16759
OG0000126	ASTMX06187, ASTMX17244	APOSC_21117
OG0000126	ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148	APOSC_28093
OG0000127	ASTMX09798, ASTMX08552, ASTMX08785, ASTMX11156, ASTMX05665, ASTMX21500	APOSC_24103
OG0000127	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032	APOSC_09690
