Orthogroup	CAPO3	NEMVE
OG0000310	CAPO305978	NEMVE06421, NEMVE21881, NEMVE10980, NEMVE15268
OG0000312	CAPO302691	NEMVE14828
OG0000312	CAPO307944	NEMVE02480
OG0000313	CAPO307072	NEMVE07772, NEMVE22122, NEMVE21924
OG0000313	CAPO301348	NEMVE09466, NEMVE10402, NEMVE08939, NEMVE19582
OG0000314	CAPO304303	NEMVE23854, NEMVE13571, NEMVE04719, NEMVE15370, NEMVE02359, NEMVE12383
OG0000315	CAPO307611	NEMVE02785
OG0000315	CAPO308167	NEMVE07786
OG0000317	CAPO306620	NEMVE21983
OG0000319	CAPO303225	NEMVE04991, NEMVE11008, NEMVE15918, NEMVE00786, NEMVE24382, NEMVE07730, NEMVE06264, NEMVE12731, NEMVE06239, NEMVE03426, NEMVE08121, NEMVE00714, NEMVE00937
OG0000320	CAPO308077	NEMVE16325
OG0000321	CAPO303657, CAPO307405	NEMVE09410
OG0000322	CAPO306406	NEMVE06193, NEMVE02760, NEMVE08806, NEMVE01047
OG0000326	CAPO303322	NEMVE13638
OG0000327	CAPO308120	NEMVE17335, NEMVE07831, NEMVE04692, NEMVE14295, NEMVE06814, NEMVE24780
OG0000335	CAPO307753	NEMVE02469, NEMVE21929
OG0000338	CAPO304735	NEMVE23189, NEMVE10431, NEMVE14053
OG0000339	CAPO305264	NEMVE11322, NEMVE01443
OG0000343	CAPO306429	NEMVE03840, NEMVE10282, NEMVE10285
OG0000345	CAPO300769	NEMVE00031, NEMVE06094, NEMVE05822, NEMVE13377, NEMVE23409
OG0000352	CAPO300356	NEMVE06598, NEMVE05333, NEMVE08174, NEMVE09599
OG0000357	CAPO301487	NEMVE08179
OG0000359	CAPO305417	NEMVE05129
OG0000359	CAPO301540	NEMVE12401
OG0000360	CAPO300757	NEMVE20646, NEMVE15243, NEMVE02208, NEMVE02089, NEMVE04676, NEMVE04667
OG0000363	CAPO305594	NEMVE12633, NEMVE21531
OG0000364	CAPO301330, CAPO300908	NEMVE13972, NEMVE18483, NEMVE18675, NEMVE00134, NEMVE18216, NEMVE18218
OG0000365	CAPO302286	NEMVE24695, NEMVE20905
OG0000367	CAPO301272	NEMVE15237
OG0000371	CAPO307503	NEMVE00983, NEMVE00049, NEMVE12173, NEMVE17932, NEMVE01163, NEMVE14930, NEMVE03633
OG0000372	CAPO307553	NEMVE15104, NEMVE17540, NEMVE21923, NEMVE13274, NEMVE13664
OG0000373	CAPO301744	NEMVE23724
OG0000385	CAPO300182, CAPO305781, CAPO305517	NEMVE22772, NEMVE04943, NEMVE19068, NEMVE04910
OG0000390	CAPO301433, CAPO301477	NEMVE23581, NEMVE23578, NEMVE22614, NEMVE14022, NEMVE09738, NEMVE25288, NEMVE14507, NEMVE16755
OG0000392	CAPO300351	NEMVE01067, NEMVE07781
OG0000393	CAPO307627	NEMVE10034, NEMVE23058, NEMVE10184
OG0000397	CAPO304372	NEMVE17031, NEMVE01578
OG0000399	CAPO302781	NEMVE08302, NEMVE02783, NEMVE21873, NEMVE03144, NEMVE13243, NEMVE13654
OG0000402	CAPO300999	NEMVE01259, NEMVE08796, NEMVE12680, NEMVE24242, NEMVE07426, NEMVE15505, NEMVE15504, NEMVE13271, NEMVE07421
OG0000405	CAPO300636	NEMVE13877
OG0000412	CAPO306116	NEMVE11551, NEMVE13684
OG0000412	CAPO307159	NEMVE12461, NEMVE13451, NEMVE16451, NEMVE06524, NEMVE00046
OG0000413	CAPO302663	NEMVE05971
OG0000413	CAPO304678	NEMVE18974
OG0000416	CAPO305980	NEMVE25332
OG0000420	CAPO307162	NEMVE15235, NEMVE22999, NEMVE13892, NEMVE00087
OG0000422	CAPO301071	NEMVE02846
OG0000424	CAPO302770, CAPO306814	NEMVE13993, NEMVE20112, NEMVE07389, NEMVE14806, NEMVE19359, NEMVE13676
OG0000426	CAPO302714	NEMVE05016
OG0000426	CAPO306829	NEMVE22427, NEMVE09058
OG0000427	CAPO303813	NEMVE19474
OG0000429	CAPO300725	NEMVE13930, NEMVE22433
OG0000433	CAPO304838, CAPO302573	NEMVE25882, NEMVE19705
OG0000434	CAPO304471	NEMVE23107, NEMVE01233, NEMVE09499, NEMVE05105
OG0000435	CAPO308080	NEMVE18620, NEMVE24017
OG0000436	CAPO305799	NEMVE06326, NEMVE22110
OG0000442	CAPO302753, CAPO302633	NEMVE13826
OG0000444	CAPO305423	NEMVE14919
OG0000444	CAPO301239	NEMVE13025, NEMVE11937, NEMVE06859
OG0000445	CAPO301584	NEMVE14650
OG0000447	CAPO300691	NEMVE16106
OG0000450	CAPO307586, CAPO307446	NEMVE22423
OG0000453	CAPO306839	NEMVE22906, NEMVE05448
OG0000453	CAPO305025	NEMVE19312, NEMVE24390, NEMVE19711
OG0000454	CAPO301952	NEMVE22643, NEMVE05253
OG0000461	CAPO303645, CAPO304085, CAPO303531	NEMVE16015, NEMVE02669
OG0000461	CAPO307456	NEMVE01791, NEMVE24592
OG0000467	CAPO302214	NEMVE22373, NEMVE14048
OG0000468	CAPO302003, CAPO303185	NEMVE13616
OG0000469	CAPO306584, CAPO302277	NEMVE09305
OG0000469	CAPO302982	NEMVE19141, NEMVE03029
OG0000470	CAPO307521	NEMVE21967
OG0000474	CAPO307766	NEMVE14315, NEMVE13253, NEMVE13254
OG0000475	CAPO303779	NEMVE24885, NEMVE01730, NEMVE06628
OG0000476	CAPO306104	NEMVE18829
OG0000479	CAPO303549	NEMVE08501
OG0000479	CAPO304267	NEMVE01571
OG0000480	CAPO307201	NEMVE15945, NEMVE13632, NEMVE03415
OG0000481	CAPO300053	NEMVE14291
OG0000481	CAPO304800	NEMVE08558, NEMVE19919
OG0000481	CAPO304355	NEMVE15147
OG0000484	CAPO304750	NEMVE01977
OG0000485	CAPO303224, CAPO303026	NEMVE22788, NEMVE13734, NEMVE13331, NEMVE07747, NEMVE13855, NEMVE20860, NEMVE14808
OG0000488	CAPO305871	NEMVE15686, NEMVE21984, NEMVE10971, NEMVE05317, NEMVE01783
OG0000491	CAPO305506	NEMVE02605
OG0000494	CAPO300277	NEMVE07299, NEMVE07527
OG0000505	CAPO303790, CAPO306121	NEMVE08537
OG0000506	CAPO304587	NEMVE19592, NEMVE13334, NEMVE02126
OG0000508	CAPO303408, CAPO307945	NEMVE05943
OG0000508	CAPO302590	NEMVE14310
OG0000510	CAPO303128, CAPO305095	NEMVE20557, NEMVE22375
OG0000511	CAPO301322	NEMVE20439, NEMVE02944, NEMVE10041, NEMVE02376
OG0000514	CAPO307292	NEMVE02331
OG0000519	CAPO300709	NEMVE08236, NEMVE08233, NEMVE20583
OG0000520	CAPO304720	NEMVE15120, NEMVE15641, NEMVE11102, NEMVE11257
OG0000522	CAPO306204	NEMVE16796, NEMVE20997, NEMVE17699
OG0000528	CAPO300417	NEMVE01984, NEMVE00929, NEMVE07136, NEMVE00032
OG0000530	CAPO306919	NEMVE06599
OG0000532	CAPO301913	NEMVE20756, NEMVE25016
OG0000538	CAPO300039	NEMVE04777
OG0000548	CAPO307253, CAPO307370	NEMVE09030, NEMVE04844, NEMVE06148
OG0000549	CAPO305341	NEMVE02972, NEMVE17041, NEMVE07249, NEMVE12537, NEMVE17324, NEMVE10001, NEMVE05564, NEMVE13118, NEMVE14115, NEMVE08371, NEMVE04872
OG0000551	CAPO305700	NEMVE08380, NEMVE08363
OG0000552	CAPO302805	NEMVE21688, NEMVE07685, NEMVE13052, NEMVE19772, NEMVE22528
OG0000553	CAPO302261	NEMVE17027, NEMVE01847, NEMVE02314
