Orthogroup	CAPO3	LYTVA_ok
OG0000574	CAPO303025	LYTVA_26701, LYTVA_10809
OG0000578	CAPO305505	LYTVA_22088
OG0000583	CAPO302594	LYTVA_02410
OG0000585	CAPO302010	LYTVA_24374
OG0000586	CAPO304818	LYTVA_28319
OG0000587	CAPO304868	LYTVA_14343, LYTVA_26577
OG0000590	CAPO302664	LYTVA_12360
OG0000590	CAPO307990	LYTVA_14114
OG0000591	CAPO300885	LYTVA_18700
OG0000591	CAPO301508, CAPO306921	LYTVA_26896
OG0000592	CAPO302552	LYTVA_06892
OG0000594	CAPO305185	LYTVA_00318, LYTVA_12514
OG0000597	CAPO305949	LYTVA_08995, LYTVA_09001
OG0000600	CAPO302133	LYTVA_06939, LYTVA_02314, LYTVA_30191
OG0000603	CAPO300286	LYTVA_12055
OG0000604	CAPO304248	LYTVA_15560
OG0000609	CAPO306415	LYTVA_28306, LYTVA_08875
OG0000611	CAPO305139	LYTVA_07188
OG0000611	CAPO302505	LYTVA_21486
OG0000612	CAPO308174	LYTVA_17035
OG0000612	CAPO300901	LYTVA_18667
OG0000613	CAPO306741, CAPO303985	LYTVA_03372, LYTVA_03903, LYTVA_25492
OG0000614	CAPO308097	LYTVA_22760, LYTVA_07728
OG0000614	CAPO306138, CAPO304207	LYTVA_08490
OG0000616	CAPO301011	LYTVA_14032, LYTVA_18492, LYTVA_22938
OG0000617	CAPO305351, CAPO305350, CAPO301395, CAPO308110, CAPO305569, CAPO302463, CAPO301963, CAPO307719, CAPO308046, CAPO302479, CAPO302684, CAPO303925	LYTVA_11479, LYTVA_25974
OG0000619	CAPO303580	LYTVA_00565
OG0000623	CAPO306891	LYTVA_05482
OG0000623	CAPO306678	LYTVA_02662
OG0000624	CAPO304034, CAPO304035	LYTVA_17510, LYTVA_30177, LYTVA_22160, LYTVA_15747
OG0000627	CAPO301912	LYTVA_13220
OG0000628	CAPO306878	LYTVA_13954, LYTVA_03881
OG0000629	CAPO304632	LYTVA_20124, LYTVA_03778, LYTVA_25763, LYTVA_20962, LYTVA_17253
OG0000634	CAPO305866	LYTVA_05392, LYTVA_17198, LYTVA_27803
OG0000636	CAPO300927, CAPO308236	LYTVA_29351
OG0000637	CAPO306492	LYTVA_16274, LYTVA_17765, LYTVA_13438, LYTVA_07736
OG0000639	CAPO300322	LYTVA_07276
