Orthogroup	CAPO3	HUMAN
OG0000405	CAPO300636	HUMAN23578, HUMAN01875, HUMAN10099, HUMAN23576, HUMAN23577, HUMAN15074, HUMAN15075
OG0000412	CAPO306116	HUMAN01024
OG0000412	CAPO307159	HUMAN03115, HUMAN29280
OG0000413	CAPO302663	HUMAN15492, HUMAN09264, HUMAN18689, HUMAN15493
OG0000413	CAPO304678	HUMAN22024, HUMAN05237, HUMAN30227
OG0000416	CAPO300647, CAPO303519	HUMAN01240, HUMAN01239, HUMAN01245, HUMAN01241, HUMAN01238, HUMAN01242, HUMAN01246, HUMAN01243, HUMAN01244
OG0000419	CAPO304227	HUMAN04658, HUMAN04656, HUMAN04654, HUMAN04657, HUMAN04655, HUMAN04659, HUMAN02414
OG0000420	CAPO307162	HUMAN07576, HUMAN23840, HUMAN23841
OG0000422	CAPO301071	HUMAN16674, HUMAN00789, HUMAN16673
OG0000424	CAPO302770, CAPO306814	HUMAN03402, HUMAN03401, HUMAN03400, HUMAN03399, HUMAN03403, HUMAN03410
OG0000426	CAPO302714	HUMAN24154
OG0000426	CAPO306829	HUMAN24156, HUMAN16388, HUMAN24155, HUMAN20208, HUMAN12979, HUMAN16387, HUMAN12181
OG0000427	CAPO303813	HUMAN04181
OG0000429	CAPO300725	HUMAN21085
OG0000431	CAPO306585	HUMAN22396, HUMAN22397, HUMAN05405, HUMAN05406
OG0000431	CAPO304684	HUMAN21847, HUMAN07891, HUMAN07892, HUMAN07890
OG0000433	CAPO304838, CAPO302573	HUMAN25706, HUMAN25705, HUMAN21369
OG0000434	CAPO304471	HUMAN24562
OG0000435	CAPO308080	HUMAN27349, HUMAN08429, HUMAN13679, HUMAN00704, HUMAN27348, HUMAN18944, HUMAN18945
OG0000436	CAPO305799	HUMAN20651, HUMAN17585, HUMAN20650, HUMAN20652
OG0000442	CAPO302753, CAPO302633	HUMAN21390, HUMAN00644, HUMAN25507
OG0000444	CAPO305423	HUMAN06130, HUMAN06129, HUMAN02376, HUMAN02375, HUMAN02373, HUMAN02374
OG0000444	CAPO301239	HUMAN05043, HUMAN05044, HUMAN20398
OG0000445	CAPO301584	HUMAN25336, HUMAN25337
OG0000447	CAPO300691	HUMAN22936, HUMAN29983, HUMAN05378, HUMAN24000, HUMAN24001, HUMAN24004
OG0000450	CAPO307586, CAPO307446	HUMAN21185, HUMAN25687, HUMAN10924, HUMAN04606, HUMAN04607, HUMAN07391, HUMAN10922, HUMAN26408, HUMAN26409, HUMAN07392
OG0000454	CAPO301952	HUMAN14909, HUMAN14911, HUMAN14912, HUMAN09584, HUMAN01758, HUMAN01761, HUMAN28671, HUMAN28672, HUMAN09585, HUMAN09586, HUMAN09587
OG0000461	CAPO303645, CAPO304085, CAPO303531	HUMAN12693
OG0000461	CAPO307456	HUMAN26401, HUMAN26402, HUMAN07313, HUMAN07312, HUMAN07311, HUMAN07310
OG0000467	CAPO302815	HUMAN02442
OG0000467	CAPO302214	HUMAN29942, HUMAN20849, HUMAN02441, HUMAN02850, HUMAN02852, HUMAN02440, HUMAN20851
OG0000468	CAPO302003, CAPO303185	HUMAN29031, HUMAN08624
OG0000469	CAPO306584, CAPO302277	HUMAN20925, HUMAN02455, HUMAN20460, HUMAN20461, HUMAN02876, HUMAN30502, HUMAN30503
OG0000470	CAPO307521	HUMAN10148, HUMAN13194, HUMAN08602, HUMAN08603, HUMAN02695
OG0000474	CAPO307766	HUMAN06611, HUMAN06612, HUMAN06609, HUMAN12853, HUMAN12852, HUMAN20808, HUMAN18157
OG0000475	CAPO303779	HUMAN21413, HUMAN06680, HUMAN23203, HUMAN21411
OG0000476	CAPO306104	HUMAN29052
OG0000479	CAPO303549	HUMAN00548, HUMAN25778, HUMAN30326
OG0000479	CAPO304267	HUMAN04562, HUMAN19754, HUMAN19753
OG0000480	CAPO307201	HUMAN21970, HUMAN21960, HUMAN21962, HUMAN00364, HUMAN00362, HUMAN00363
OG0000481	CAPO300053	HUMAN10858
OG0000481	CAPO304800	HUMAN29163, HUMAN29162
OG0000481	CAPO304355	HUMAN23804, HUMAN27663
OG0000484	CAPO304750	HUMAN14629, HUMAN01113, HUMAN01114, HUMAN23384, HUMAN23383, HUMAN23382, HUMAN15014
OG0000485	CAPO303224, CAPO303026	HUMAN20639, HUMAN18255, HUMAN20638, HUMAN05761, HUMAN05762
OG0000486	CAPO306048, CAPO306972	HUMAN22789, HUMAN03580
OG0000488	CAPO305871	HUMAN19011
OG0000491	CAPO305506	HUMAN00697, HUMAN30458, HUMAN07527, HUMAN23052
OG0000494	CAPO300277	HUMAN11765, HUMAN04544, HUMAN07415, HUMAN11773, HUMAN07288
OG0000505	CAPO303790, CAPO306121	HUMAN28802, HUMAN01622
OG0000506	CAPO304587	HUMAN22035, HUMAN22034, HUMAN11883, HUMAN11882, HUMAN11881, HUMAN05281, HUMAN05280, HUMAN30005, HUMAN30006
OG0000508	CAPO303408, CAPO307945	HUMAN12380, HUMAN26281
OG0000508	CAPO307989	HUMAN12381
OG0000508	CAPO302590	HUMAN06650, HUMAN18003
OG0000510	CAPO303128, CAPO305095	HUMAN12686, HUMAN27025, HUMAN07364, HUMAN05041
OG0000511	CAPO301322	HUMAN25187, HUMAN28151
OG0000514	CAPO307292	HUMAN20065, HUMAN10473, HUMAN10472, HUMAN13478, HUMAN13479
OG0000516	CAPO302072	HUMAN28002, HUMAN28001, HUMAN08226, HUMAN19549, HUMAN05500, HUMAN05499, HUMAN24427
OG0000519	CAPO300709	HUMAN19983, HUMAN19982, HUMAN19989, HUMAN19990, HUMAN19995, HUMAN19992, HUMAN19985
OG0000520	CAPO304720	HUMAN15317, HUMAN05571
OG0000522	CAPO306204	HUMAN17344, HUMAN22248, HUMAN22247, HUMAN17343
OG0000528	CAPO300417	HUMAN08895, HUMAN15806, HUMAN15805, HUMAN04719, HUMAN16886
OG0000530	CAPO306919	HUMAN14150, HUMAN29041, HUMAN01293
OG0000532	CAPO301913	HUMAN16791
OG0000538	CAPO300039	HUMAN17702, HUMAN06667, HUMAN06666, HUMAN03004
OG0000538	CAPO302001	HUMAN12817
OG0000548	CAPO307253, CAPO307370	HUMAN24231, HUMAN27638, HUMAN27637, HUMAN17353, HUMAN03638, HUMAN02528, HUMAN06895, HUMAN20990, HUMAN30501
OG0000551	CAPO305700	HUMAN21041
OG0000552	CAPO302805	HUMAN23579, HUMAN23580, HUMAN13654, HUMAN30481
OG0000553	CAPO302261	HUMAN02361, HUMAN06910, HUMAN19362, HUMAN05458, HUMAN05459, HUMAN20240, HUMAN12995
OG0000554	CAPO300205	HUMAN28125, HUMAN24025, HUMAN27604, HUMAN22160, HUMAN27603, HUMAN03797, HUMAN24024, HUMAN16725
OG0000561	CAPO307817, CAPO304686, CAPO304296	HUMAN08902, HUMAN08905, HUMAN04883, HUMAN23834
OG0000563	CAPO305151	HUMAN07268, HUMAN13046, HUMAN07267
OG0000566	CAPO306820	HUMAN13951, HUMAN09508, HUMAN09507, HUMAN12454
OG0000567	CAPO300710, CAPO302895	HUMAN07964, HUMAN01748, HUMAN14288, HUMAN14286, HUMAN14287
OG0000572	CAPO302048	HUMAN11669, HUMAN16893, HUMAN09020, HUMAN04717, HUMAN16892, HUMAN09021, HUMAN05894, HUMAN00191, HUMAN00192
OG0000573	CAPO301573	HUMAN05881, HUMAN26705, HUMAN21827, HUMAN00083
