transcript_id	gene_id
rna-XM_035838656.1	LOC118428438
rna-XM_035838811.1	LOC118428438
rna-XM_035838513.1	LOC118428438
rna-XM_035838664.1	LOC118428438
rna-XM_035838505.1	LOC118428438
rna-XM_035838519.1	LOC118428438
rna-XM_035838864.1	LOC118428438
rna-XM_035838791.1	LOC118428438
rna-XM_035838785.1	LOC118428438
rna-XM_035838649.1	LOC118428438
rna-XM_035838755.1	LOC118428438
rna-XM_035838881.1	LOC118428438
rna-XM_035838851.1	LOC118428438
rna-XM_035838702.1	LOC118428438
rna-XM_035834075.1	LOC118425274
rna-XM_035807625.1	LOC118407098
rna-XM_035807554.1	LOC118407098
rna-XM_035807707.1	LOC118407098
rna-XM_035807777.1	LOC118407098
rna-XM_035834487.1	LOC118425556
rna-XM_035834087.1	LOC118425285
rna-XM_035832426.1	LOC118424013
rna-XM_035832435.1	LOC118424013
rna-XM_035832416.1	LOC118424013
rna-XM_035832448.1	LOC118424024
rna-XM_035832466.1	LOC118424024
rna-XM_035832458.1	LOC118424024
rna-XM_035822947.1	LOC118417389
rna-XM_035822955.1	LOC118417389
rna-XM_035823466.1	LOC118417754
rna-XM_035823459.1	LOC118417754
rna-XM_035807334.1	LOC118406899
rna-XM_035817088.1	LOC118413560
rna-XM_035817102.1	LOC118413560
rna-XM_035817094.1	LOC118413560
rna-XM_035817113.1	LOC118413583
rna-XM_035833830.1	LOC118425012
rna-XM_035833767.1	LOC118424942
rna-XM_035833759.1	LOC118424942
rna-XM_035833752.1	LOC118424942
rna-XM_035833797.1	LOC118424942
rna-XM_035833804.1	LOC118424942
rna-XM_035833781.1	LOC118424942
rna-XM_035833789.1	LOC118424942
rna-XM_035833812.1	LOC118424942
rna-XM_035833819.1	LOC118424942
rna-XM_035833774.1	LOC118424942
rna-XM_035833841.1	LOC118425023
rna-XM_035822123.1	LOC118416847
rna-XM_035822135.1	LOC118416857
rna-XM_035819461.1	LOC118415089
rna-XM_035819469.1	LOC118415089
rna-XM_035819459.1	LOC118415089
rna-XM_035819458.1	LOC118415073
rna-XM_035819481.1	LOC118415117
rna-XM_035834183.1	LOC118425372
rna-XM_035826428.1	LOC118419820
rna-XM_035826442.1	LOC118419826
rna-XM_035829481.1	LOC118421975
rna-XM_035829488.1	LOC118421975
rna-XM_035814113.1	LOC118411632
rna-XM_035814123.1	LOC118411642
rna-XM_035814144.1	LOC118411663
rna-XM_035814134.1	LOC118411653
rna-XM_035834269.1	LOC118425448
rna-XM_035838207.1	LOC118428199
rna-XM_035816317.1	LOC118413137
rna-XM_035816326.1	LOC118413137
rna-XM_035816338.1	LOC118413149
rna-XM_035816362.1	LOC118413154
rna-XM_035816375.1	LOC118413154
rna-XM_035816384.1	LOC118413154
rna-XM_035816392.1	LOC118413154
rna-XM_035816352.1	LOC118413154
rna-XM_035816367.1	LOC118413154
rna-XM_035816401.1	LOC118413188
rna-XM_035816410.1	LOC118413188
rna-XM_035816422.1	LOC118413202
rna-XM_035816435.1	LOC118413210
rna-XM_035816453.1	LOC118413210
rna-XM_035816443.1	LOC118413210
rna-XM_035834281.1	LOC118425457
rna-XM_035823375.1	LOC118417703
rna-XM_035823337.1	LOC118417682
rna-XM_035823346.1	LOC118417682
rna-XM_035823363.1	LOC118417682
rna-XM_035823355.1	LOC118417682
rna-XM_035819330.1	LOC118414962
rna-XM_035819311.1	LOC118414962
rna-XM_035819322.1	LOC118414962
rna-XM_035819339.1	LOC118414962
rna-XM_035819351.1	LOC118414980
rna-XM_035832992.1	LOC118424424
rna-XM_035833000.1	LOC118424424
rna-XM_035833006.1	LOC118424424
rna-XM_035829293.1	LOC118421789
rna-XM_035840564.1	LOC118429924
rna-XM_035834385.1	LOC118425509
rna-XM_035836966.1	LOC118427277
rna-XM_035836946.1	LOC118427263
rna-XM_035836953.1	LOC118427263
rna-XM_035836934.1	LOC118427255
rna-XM_035823077.1	LOC118417495
rna-XM_035823089.1	LOC118417504
rna-XM_035823059.1	LOC118417479
rna-XM_035823050.1	LOC118417479
rna-XM_035823066.1	LOC118417479
rna-XM_035833276.1	LOC118424627
rna-XM_035834447.1	LOC118425537
rna-XM_035833304.1	LOC118424632
rna-XM_035833296.1	LOC118424632
rna-XM_035833289.1	LOC118424632
rna-XM_035828577.1	LOC118421325
rna-XM_035828546.1	LOC118421295
rna-XM_035828565.1	LOC118421295
rna-XM_035828556.1	LOC118421295
rna-XM_035828539.1	LOC118421295
rna-XM_035828531.1	LOC118421295
rna-XM_035828520.1	LOC118421270
rna-XM_035828512.1	LOC118421270
rna-XM_035828504.1	LOC118421270
rna-XM_035828495.1	LOC118421270
rna-XM_035828483.1	LOC118421263
rna-XM_035828637.1	LOC118421373
rna-XM_035828597.1	LOC118421334
