Orthogroup	ORYLA	XENTR
OG0000072	ORYLA03563	XENTR13953
OG0000072	ORYLA00527	XENTR03548
OG0000072	ORYLA04050	XENTR18546
OG0000072	ORYLA20464	XENTR01057
OG0000072	ORYLA05266	XENTR13152
OG0000073	ORYLA06148, ORYLA06147	XENTR03608, XENTR03610, XENTR03611, XENTR03612
OG0000073	ORYLA09058, ORYLA06772	XENTR09344
OG0000073	ORYLA12397	XENTR05966, XENTR05967
OG0000073	ORYLA18725	XENTR09343
OG0000074	ORYLA10949	XENTR11114
OG0000075	ORYLA08229	XENTR02757, XENTR11353
OG0000075	ORYLA07050	XENTR12610
OG0000075	ORYLA15750	XENTR06215
OG0000075	ORYLA05870, ORYLA14226	XENTR09250
OG0000075	ORYLA04438	XENTR14285
OG0000075	ORYLA10049	XENTR04179
OG0000075	ORYLA15751	XENTR06216
OG0000075	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786	XENTR01223
OG0000075	ORYLA20334	XENTR05975
OG0000075	ORYLA11054	XENTR10723
OG0000075	ORYLA14687, ORYLA10924	XENTR17547
OG0000075	ORYLA15926	XENTR16124
OG0000075	ORYLA19688	XENTR05986, XENTR05987
OG0000077	ORYLA00390	XENTR06888
OG0000077	ORYLA03856, ORYLA01218	XENTR17790
OG0000077	ORYLA02852, ORYLA17787	XENTR02687
OG0000077	ORYLA06009, ORYLA03431	XENTR10451
OG0000077	ORYLA17383	XENTR01904
OG0000077	ORYLA12034	XENTR08754
OG0000077	ORYLA00844, ORYLA07409	XENTR13403
OG0000077	ORYLA10378, ORYLA11807	XENTR07875
OG0000077	ORYLA09729	XENTR00642
