Orthogroup	ORYLA	SACKO_ok
OG0000077	ORYLA09130, ORYLA06009, ORYLA03431	SACKO_03449
OG0000077	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409	SACKO_24063
OG0000077	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729	SACKO_16621, SACKO_13762
OG0000077	ORYLA17450	SACKO_02025
OG0000078	ORYLA13083, ORYLA13994, ORYLA10833	SACKO_29101, SACKO_02475
OG0000079	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903	SACKO_22850
OG0000079	ORYLA02351, ORYLA01210, ORYLA04604	SACKO_28168
OG0000079	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726	SACKO_02973
OG0000079	ORYLA17895	SACKO_02974
OG0000082	ORYLA02580	SACKO_10320, SACKO_23913, SACKO_28357, SACKO_23907, SACKO_09409, SACKO_23931, SACKO_23906, SACKO_26214, SACKO_32295
OG0000082	ORYLA01470	SACKO_12474
OG0000082	ORYLA09330	SACKO_26490
OG0000083	ORYLA04024, ORYLA20424	SACKO_30590
OG0000084	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676	SACKO_10969, SACKO_17061, SACKO_10264, SACKO_10253
OG0000084	ORYLA07195, ORYLA01287	SACKO_06467, SACKO_06545, SACKO_31931
OG0000084	ORYLA00399, ORYLA18720, ORYLA19616, ORYLA17981, ORYLA02328, ORYLA12505	SACKO_25939, SACKO_05229, SACKO_05226, SACKO_29112, SACKO_05196, SACKO_05204, SACKO_34192, SACKO_05203, SACKO_05224, SACKO_05166, SACKO_05235, SACKO_10741, SACKO_10738, SACKO_10729, SACKO_10733, SACKO_06583
OG0000085	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818	SACKO_23009
OG0000085	ORYLA06168	SACKO_25563
OG0000085	ORYLA17935	SACKO_10208
OG0000085	ORYLA02243, ORYLA05178	SACKO_33849
OG0000086	ORYLA18822	SACKO_16708
OG0000087	ORYLA07293	SACKO_19449, SACKO_18343
OG0000087	ORYLA15867	SACKO_23472
OG0000088	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524	SACKO_22121, SACKO_03740, SACKO_08568, SACKO_17308, SACKO_10633, SACKO_10635, SACKO_31806, SACKO_21553, SACKO_32685, SACKO_32679, SACKO_28645, SACKO_11604, SACKO_11610, SACKO_24227, SACKO_24190, SACKO_14146, SACKO_31824, SACKO_31840, SACKO_27885, SACKO_20075, SACKO_18749, SACKO_25662, SACKO_04357, SACKO_25835, SACKO_02277, SACKO_25182, SACKO_33837, SACKO_01867, SACKO_33325, SACKO_11683
OG0000089	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332	SACKO_27338
