Orthogroup	AMPFI_ok	BRAFL
OG0000052	AMPFI_06573, AMPFI_21766, AMPFI_02333, AMPFI_17383, AMPFI_21399, AMPFI_24133, AMPFI_17342, AMPFI_21992, AMPFI_16769, AMPFI_22231	bflo_05328, bflo_02741
OG0000052	AMPFI_12754	bflo_00114
OG0000052	AMPFI_03965, AMPFI_20512, AMPFI_13505, AMPFI_14163, AMPFI_22708, AMPFI_14350, AMPFI_13327, AMPFI_07170, AMPFI_10973, AMPFI_20869, AMPFI_16702, AMPFI_09892, AMPFI_19128, AMPFI_20552, AMPFI_11422, AMPFI_14308	bflo_05170
OG0000052	AMPFI_21569, AMPFI_07204, AMPFI_13487, AMPFI_15398, AMPFI_17200, AMPFI_01100, AMPFI_22535, AMPFI_20388, AMPFI_08105, AMPFI_19421, AMPFI_18413, AMPFI_04515, AMPFI_12378, AMPFI_13504, AMPFI_11435, AMPFI_04528, AMPFI_18268, AMPFI_20266, AMPFI_10566, AMPFI_08584, AMPFI_10936	bflo_09046, bflo_09710, bflo_00584, bflo_04449, bflo_01355
OG0000054	AMPFI_10274	bflo_04388
OG0000054	AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106
OG0000054	AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023	bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284
OG0000055	AMPFI_18462	bflo_21433
OG0000056	AMPFI_10015	bflo_25516
OG0000056	AMPFI_06567, AMPFI_06885	bflo_15237
OG0000056	AMPFI_13952, AMPFI_00302	bflo_22428
OG0000057	AMPFI_01580, AMPFI_02256	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221
OG0000057	AMPFI_23737	bflo_24939, bflo_19525, bflo_00567, bflo_15438
OG0000058	AMPFI_18481	bflo_09194
OG0000059	AMPFI_17417, AMPFI_04404, AMPFI_21031, AMPFI_04726, AMPFI_09318, AMPFI_05376, AMPFI_04204, AMPFI_22805, AMPFI_10609, AMPFI_22560	bflo_10912, bflo_10938, bflo_11816, bflo_11814, bflo_11815
