Orthogroup	AMPFI_ok	NEMVE
OG0000039	AMPFI_14066	NEMVE15743
OG0000039	AMPFI_25847, AMPFI_16323	NEMVE01294
OG0000043	AMPFI_07177	NEMVE21961, NEMVE21792, NEMVE19640
OG0000043	AMPFI_13817	NEMVE14296
OG0000044	AMPFI_10491, AMPFI_12455, AMPFI_02748	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743
OG0000044	AMPFI_22026, AMPFI_08823, AMPFI_04139	NEMVE16246, NEMVE14588
OG0000044	AMPFI_18408	NEMVE09195, NEMVE09209
OG0000044	AMPFI_05987, AMPFI_21776	NEMVE12375, NEMVE01572, NEMVE04962, NEMVE08299, NEMVE08297, NEMVE08301, NEMVE10773, NEMVE02442, NEMVE17897, NEMVE07734
OG0000046	AMPFI_02275, AMPFI_17068, AMPFI_25804, AMPFI_24317, AMPFI_00292	NEMVE08905, NEMVE15252
OG0000047	AMPFI_03112, AMPFI_04645, AMPFI_00607, AMPFI_06372, AMPFI_21301, AMPFI_11729, AMPFI_00637, AMPFI_07545, AMPFI_07270, AMPFI_17978, AMPFI_10021, AMPFI_11102, AMPFI_05597, AMPFI_15333, AMPFI_03574, AMPFI_11670, AMPFI_09476, AMPFI_06533, AMPFI_05489, AMPFI_11363, AMPFI_14142, AMPFI_19115, AMPFI_05578, AMPFI_04593, AMPFI_04594, AMPFI_21557, AMPFI_25065, AMPFI_03030, AMPFI_13573, AMPFI_10932, AMPFI_21792, AMPFI_24520, AMPFI_09452, AMPFI_13036, AMPFI_05392, AMPFI_13977, AMPFI_21235, AMPFI_15495, AMPFI_03650, AMPFI_05720, AMPFI_04140, AMPFI_21607, AMPFI_11932, AMPFI_22910, AMPFI_19278, AMPFI_03417, AMPFI_12567, AMPFI_16279, AMPFI_24519, AMPFI_15062, AMPFI_00264, AMPFI_17658, AMPFI_22335, AMPFI_00558, AMPFI_22776, AMPFI_16779, AMPFI_01017, AMPFI_21621, AMPFI_03846, AMPFI_24365, AMPFI_23515, AMPFI_25894, AMPFI_04837, AMPFI_21540, AMPFI_21496, AMPFI_21704, AMPFI_23685, AMPFI_15690, AMPFI_20140, AMPFI_20456, AMPFI_00531, AMPFI_17064, AMPFI_10945, AMPFI_22321	NEMVE12741, NEMVE05419
OG0000047	AMPFI_23759, AMPFI_01041	NEMVE12937
OG0000047	AMPFI_18136	NEMVE05848
OG0000047	AMPFI_01167	NEMVE02543, NEMVE05936, NEMVE08290
OG0000047	AMPFI_20742, AMPFI_00834	NEMVE10640, NEMVE06306, NEMVE11518
OG0000047	AMPFI_15441, AMPFI_12215, AMPFI_20139, AMPFI_15442, AMPFI_13862, AMPFI_21587, AMPFI_16006	NEMVE11050
OG0000048	AMPFI_17027, AMPFI_21987, AMPFI_06139, AMPFI_22758	NEMVE14912
OG0000048	AMPFI_10591, AMPFI_13556	NEMVE14024
OG0000048	AMPFI_19210, AMPFI_10367, AMPFI_21707, AMPFI_01763, AMPFI_08767	NEMVE15061
