Orthogroup	AMPFI_ok	CAEEL
OG0000363	AMPFI_04121	CAEEL12357, CAEEL16480
OG0000364	AMPFI_18353, AMPFI_21188, AMPFI_18689, AMPFI_01368, AMPFI_19431	CAEEL18153, CAEEL18154
OG0000365	AMPFI_08145	CAEEL03052
OG0000367	AMPFI_07904, AMPFI_24584, AMPFI_10053	CAEEL11241
OG0000372	AMPFI_10224	CAEEL09938
OG0000372	AMPFI_09792	CAEEL06634
OG0000372	AMPFI_13417	CAEEL11042
OG0000373	AMPFI_02134	CAEEL08053
OG0000373	AMPFI_16084	CAEEL15442, CAEEL15129, CAEEL10313, CAEEL08693, CAEEL00731, CAEEL00550, CAEEL14746, CAEEL12229, CAEEL14071, CAEEL05508, CAEEL05560, CAEEL16400, CAEEL10659
OG0000374	AMPFI_05049	CAEEL04637
OG0000375	AMPFI_07511	CAEEL04597
OG0000378	AMPFI_07224	CAEEL01589
OG0000378	AMPFI_10400	CAEEL18606
OG0000380	AMPFI_04763	CAEEL07128
