Orthogroup	STRPU_ok	YEAST
OG0000274	STRPU_06824, STRPU_06548, STRPU_06547, STRPU_06530, STRPU_06569, STRPU_03139, STRPU_06064, STRPU_02777, STRPU_06059	YEAST02118, YEAST04573, YEAST01485
OG0000278	STRPU_27259, STRPU_27277	YEAST03847
OG0000278	STRPU_03004	YEAST03806
OG0000278	STRPU_20692	YEAST04060
OG0000278	STRPU_26265	YEAST01107
OG0000284	STRPU_20352, STRPU_21046, STRPU_21045, STRPU_20354, STRPU_07330, STRPU_18787	YEAST05621
OG0000289	STRPU_18786, STRPU_18677, STRPU_12560, STRPU_12562	YEAST00645
OG0000305	STRPU_23290, STRPU_21971, STRPU_22779, STRPU_01937	YEAST04899
OG0000308	STRPU_13191, STRPU_13968, STRPU_21103, STRPU_21098, STRPU_14797, STRPU_24752, STRPU_08810, STRPU_25229	YEAST02548
OG0000310	STRPU_25676, STRPU_25769, STRPU_25768, STRPU_25786, STRPU_25767, STRPU_25785, STRPU_08819, STRPU_08721, STRPU_01455, STRPU_19424, STRPU_19517	YEAST02635
OG0000312	STRPU_26934, STRPU_21396, STRPU_06464, STRPU_05481	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	STRPU_05794, STRPU_10597	YEAST05106
OG0000313	STRPU_24296	YEAST05526
OG0000315	STRPU_23166	YEAST04684
OG0000316	STRPU_04688, STRPU_27381, STRPU_10737, STRPU_01026, STRPU_23411, STRPU_23297	YEAST01673
OG0000317	STRPU_19895, STRPU_19868, STRPU_19997, STRPU_25286, STRPU_07276, STRPU_07292	YEAST01356
OG0000321	STRPU_18694, STRPU_05283, STRPU_06234	YEAST03264
OG0000323	STRPU_14332, STRPU_16538, STRPU_16558, STRPU_23717	YEAST02249
OG0000326	STRPU_10867, STRPU_10847	YEAST06056
OG0000338	STRPU_02251, STRPU_15548, STRPU_15357	YEAST02967
OG0000338	STRPU_26051	YEAST04211
OG0000343	STRPU_17122, STRPU_17107	YEAST03024, YEAST02736
OG0000345	STRPU_04478, STRPU_04481, STRPU_04484, STRPU_04781, STRPU_04803, STRPU_04808, STRPU_04681, STRPU_04121	YEAST01884
OG0000352	STRPU_18690, STRPU_06876, STRPU_16144, STRPU_16137, STRPU_07149, STRPU_16650, STRPU_16649	YEAST04069
OG0000357	STRPU_14591, STRPU_23598	YEAST01925
OG0000359	STRPU_09098, STRPU_02069, STRPU_14383, STRPU_05510	YEAST02489
OG0000363	STRPU_20959, STRPU_22858, STRPU_22857, STRPU_14845, STRPU_14865	YEAST04081, YEAST05870
OG0000365	STRPU_00678, STRPU_18948, STRPU_19090, STRPU_17253, STRPU_17254	YEAST05831
OG0000367	STRPU_22294, STRPU_24010	YEAST02141, YEAST03746, YEAST03210
OG0000372	STRPU_20297, STRPU_16741, STRPU_01713, STRPU_05141, STRPU_05066, STRPU_15694	YEAST05988
OG0000373	STRPU_15389, STRPU_20623	YEAST02023
OG0000373	STRPU_08202	YEAST04495, YEAST01417, YEAST05964
OG0000380	STRPU_22132, STRPU_06735, STRPU_13220	YEAST01047
OG0000385	STRPU_11318, STRPU_11302, STRPU_11104, STRPU_11129, STRPU_11108, STRPU_11132, STRPU_11109, STRPU_11133, STRPU_13347, STRPU_11130, STRPU_11105	YEAST03496
OG0000393	STRPU_17898, STRPU_17427, STRPU_17899, STRPU_17900, STRPU_25376, STRPU_01522, STRPU_09438	YEAST04072, YEAST04071
OG0000393	STRPU_26326	YEAST01302
OG0000397	STRPU_10143, STRPU_10081	YEAST05080
