Orthogroup	STRPU_ok	AENJA_ok
OG0000049	STRPU_23534	AENJA_10359
OG0000049	STRPU_01801, STRPU_17036	AENJA_24984, AENJA_12834
OG0000049	STRPU_17685	AENJA_24580
OG0000049	STRPU_17686	AENJA_11158
OG0000049	STRPU_06696	AENJA_02953, AENJA_07586
OG0000049	STRPU_17073	AENJA_26413
OG0000049	STRPU_04345	AENJA_17680
OG0000050	STRPU_06209, STRPU_11559, STRPU_20985, STRPU_20001, STRPU_23015, STRPU_00753, STRPU_03815	AENJA_04055, AENJA_09800, AENJA_19193
OG0000050	STRPU_10411	AENJA_03200, AENJA_25472, AENJA_19123, AENJA_10961, AENJA_09597, AENJA_17561, AENJA_19763, AENJA_24932, AENJA_01528, AENJA_02355, AENJA_00087
OG0000050	STRPU_16312	AENJA_04583
OG0000051	STRPU_27246	AENJA_15112
OG0000051	STRPU_04087, STRPU_04086, STRPU_04085, STRPU_04081, STRPU_04082, STRPU_04844, STRPU_04845, STRPU_04838, STRPU_04842, STRPU_04843, STRPU_04683, STRPU_04684, STRPU_08146, STRPU_04384, STRPU_04388, STRPU_04386, STRPU_04385, STRPU_11426, STRPU_04634, STRPU_04664	AENJA_18491, AENJA_12662
OG0000051	STRPU_17901, STRPU_17577, STRPU_17576, STRPU_17547, STRPU_17574, STRPU_17579, STRPU_17578, STRPU_17575, STRPU_02970, STRPU_16946	AENJA_24250
OG0000052	STRPU_00276, STRPU_03183	AENJA_07437, AENJA_03439, AENJA_08145
OG0000052	STRPU_16462, STRPU_09642, STRPU_12463, STRPU_09640, STRPU_09643, STRPU_15631, STRPU_23975, STRPU_23951, STRPU_09641, STRPU_12462, STRPU_10210, STRPU_06254, STRPU_06255, STRPU_05990, STRPU_18874	AENJA_09495, AENJA_02638, AENJA_11489, AENJA_25939, AENJA_25043, AENJA_26054, AENJA_00223, AENJA_03349, AENJA_13979
OG0000053	STRPU_09915	AENJA_14744
OG0000053	STRPU_10261	AENJA_09568
OG0000053	STRPU_21567	AENJA_04227, AENJA_07517, AENJA_07516
OG0000053	STRPU_23430, STRPU_01006, STRPU_14042, STRPU_09726, STRPU_09769, STRPU_12831, STRPU_06744, STRPU_06743, STRPU_06746, STRPU_06745, STRPU_09255, STRPU_18743, STRPU_18742, STRPU_18741, STRPU_25321, STRPU_23287, STRPU_09631, STRPU_06742, STRPU_02470, STRPU_13595	AENJA_26082
OG0000053	STRPU_10255, STRPU_10254, STRPU_10269, STRPU_09818, STRPU_10259	AENJA_25816, AENJA_09489
OG0000054	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653	AENJA_06676, AENJA_23371
