Orthogroup	STRPU_ok	CAPO3
OG0000343	STRPU_17122, STRPU_17107	CAPO306429
OG0000345	STRPU_04121	CAPO300769
OG0000352	STRPU_18690, STRPU_06876, STRPU_16144, STRPU_16137, STRPU_07149, STRPU_16650, STRPU_16649	CAPO300356
OG0000357	STRPU_23598	CAPO301487
OG0000359	STRPU_09098, STRPU_02069	CAPO305417
OG0000359	STRPU_14383	CAPO301540
OG0000359	STRPU_05510	CAPO306866
OG0000360	STRPU_24087, STRPU_16620, STRPU_05700, STRPU_23802	CAPO300757
OG0000364	STRPU_24813, STRPU_24695, STRPU_12300, STRPU_23213, STRPU_23224, STRPU_24852, STRPU_22921	CAPO301330, CAPO300908
OG0000367	STRPU_22294, STRPU_24010	CAPO301272
OG0000371	STRPU_23761, STRPU_23760, STRPU_16099, STRPU_13196, STRPU_13809, STRPU_09318, STRPU_23763, STRPU_23766, STRPU_23764	CAPO307503
OG0000372	STRPU_20297, STRPU_16741, STRPU_01713, STRPU_05141, STRPU_05066, STRPU_15694	CAPO307553
OG0000373	STRPU_15389, STRPU_20623	CAPO301744
OG0000385	STRPU_11318, STRPU_11302, STRPU_11104, STRPU_11129, STRPU_11108, STRPU_11132, STRPU_11109, STRPU_11133, STRPU_13347, STRPU_11130, STRPU_11105	CAPO300182, CAPO305781, CAPO305517
OG0000390	STRPU_14892, STRPU_15069, STRPU_15070, STRPU_15067, STRPU_15284, STRPU_14788, STRPU_18623, STRPU_08567, STRPU_08568, STRPU_14895, STRPU_14894, STRPU_14896	CAPO301433, CAPO301477
OG0000390	STRPU_02974, STRPU_23877	CAPO307000
OG0000392	STRPU_19132	CAPO300351
OG0000393	STRPU_17898, STRPU_17427, STRPU_17899, STRPU_17900, STRPU_25376, STRPU_01522, STRPU_09438, STRPU_26326	CAPO307627
OG0000397	STRPU_10143, STRPU_10081	CAPO304372
OG0000399	STRPU_07794, STRPU_20860, STRPU_20896, STRPU_07796, STRPU_11457, STRPU_23097	CAPO302781
OG0000402	STRPU_09420, STRPU_01539, STRPU_26119, STRPU_26105, STRPU_26104, STRPU_26118	CAPO300999
OG0000405	STRPU_27356	CAPO300636
OG0000412	STRPU_22647	CAPO306116
OG0000412	STRPU_04141, STRPU_20062	CAPO307159
OG0000413	STRPU_21399	CAPO302663
OG0000413	STRPU_06626	CAPO304678
OG0000416	STRPU_20196	CAPO305980
OG0000420	STRPU_23782, STRPU_10246, STRPU_10247, STRPU_10244, STRPU_14739, STRPU_14741, STRPU_14740, STRPU_20569, STRPU_20568	CAPO307162
OG0000422	STRPU_07102	CAPO301071
OG0000424	STRPU_11870, STRPU_04472, STRPU_04471	CAPO302770, CAPO306814
OG0000426	STRPU_09853	CAPO302714
OG0000426	STRPU_00627	CAPO306829
OG0000427	STRPU_12503, STRPU_00637	CAPO303813
OG0000429	STRPU_23154	CAPO300725
OG0000431	STRPU_05364	CAPO306585
OG0000431	STRPU_06554, STRPU_06544	CAPO304684
OG0000433	STRPU_17895	CAPO304838, CAPO302573
OG0000434	STRPU_07317, STRPU_15085, STRPU_14398, STRPU_14396, STRPU_14395, STRPU_14557, STRPU_14249	CAPO304471
OG0000435	STRPU_24868, STRPU_24869, STRPU_22156	CAPO308080
OG0000436	STRPU_23785	CAPO305799
OG0000442	STRPU_17294	CAPO302753, CAPO302633
OG0000444	STRPU_12350	CAPO305423
OG0000444	STRPU_12803	CAPO301239
OG0000445	STRPU_02013, STRPU_16954, STRPU_26060, STRPU_17672	CAPO301584
OG0000447	STRPU_05018	CAPO300691
OG0000450	STRPU_14805	CAPO307586, CAPO307446
OG0000453	STRPU_11780, STRPU_11765, STRPU_11767, STRPU_11764	CAPO305025
OG0000454	STRPU_26357	CAPO301952
OG0000461	STRPU_22427	CAPO303645, CAPO304085, CAPO303531
OG0000461	STRPU_14492	CAPO307456
