Orthogroup	HELIO_ok	SCHMD
OG0000151	HELIO_01067	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274
OG0000151	HELIO_11427	SCHMD02747, SCHMD12342
OG0000155	HELIO_02785	SCHMD05383, SCHMD06593, SCHMD10992
OG0000155	HELIO_06336	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787
OG0000155	HELIO_10305	SCHMD13125
OG0000157	HELIO_02764	SCHMD03548, SCHMD06363
OG0000157	HELIO_02898	SCHMD24948, SCHMD15302, SCHMD05230, SCHMD01802, SCHMD01418
OG0000158	HELIO_05890	SCHMD18936
OG0000159	HELIO_11077	SCHMD26601, SCHMD09606
OG0000159	HELIO_03934, HELIO_05434, HELIO_10044, HELIO_03988, HELIO_03474, HELIO_03938, HELIO_06538, HELIO_00861, HELIO_05361, HELIO_09054, HELIO_07755, HELIO_07071, HELIO_00285, HELIO_10509	SCHMD14942
OG0000160	HELIO_06133	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430
OG0000162	HELIO_02633	SCHMD01637
OG0000163	HELIO_05553, HELIO_10661, HELIO_02290	SCHMD23090
OG0000163	HELIO_07317	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000166	HELIO_10168	SCHMD08400
OG0000166	HELIO_00134, HELIO_00135	SCHMD15704, SCHMD08401
OG0000169	HELIO_04309, HELIO_11118, HELIO_04365, HELIO_12257	SCHMD00387
OG0000174	HELIO_01069	SCHMD09838
OG0000174	HELIO_01831, HELIO_10694	SCHMD08354, SCHMD22729
OG0000175	HELIO_01966	SCHMD23748, SCHMD18438, SCHMD03520
OG0000175	HELIO_02535, HELIO_08923, HELIO_05633, HELIO_11471	SCHMD18439, SCHMD17544
OG0000179	HELIO_05015	SCHMD11075
OG0000179	HELIO_04929	SCHMD01320
