Orthogroup	HELIO_ok	YEAST
OG0000964	HELIO_02016	YEAST04606
OG0000965	HELIO_02433, HELIO_01613	YEAST02552
OG0000965	HELIO_02543	YEAST02050
OG0000967	HELIO_05380, HELIO_03536, HELIO_01717	YEAST05075
OG0000970	HELIO_10364, HELIO_01898	YEAST04028
OG0000982	HELIO_07584	YEAST01182
OG0000984	HELIO_08631	YEAST01493, YEAST00575
OG0000986	HELIO_03699	YEAST01481, YEAST04073
OG0000987	HELIO_01520	YEAST04734, YEAST02734
OG0000994	HELIO_02373, HELIO_07661	YEAST02360
OG0000996	HELIO_08470	YEAST00033
OG0001001	HELIO_03180, HELIO_03179, HELIO_08058	YEAST00341
OG0001003	HELIO_03157, HELIO_03158	YEAST00644
OG0001006	HELIO_12602, HELIO_03139	YEAST04513
OG0001016	HELIO_06921, HELIO_03156	YEAST00830
OG0001018	HELIO_02325, HELIO_10601	YEAST01172
OG0001024	HELIO_04378	YEAST01024, YEAST00308
OG0001033	HELIO_06818	YEAST02124
OG0001064	HELIO_06789	YEAST00458
OG0001066	HELIO_06550, HELIO_03182	YEAST06311
OG0001075	HELIO_03042	YEAST05636
OG0001076	HELIO_10241	YEAST01570
OG0001081	HELIO_05200, HELIO_10290, HELIO_06610, HELIO_11737	YEAST04460
OG0001082	HELIO_11176, HELIO_04668	YEAST03919, YEAST02905, YEAST05331
OG0001095	HELIO_04642, HELIO_03581, HELIO_00438	YEAST00773
OG0001096	HELIO_10964, HELIO_06053, HELIO_11485	YEAST01384
OG0001101	HELIO_11659	YEAST03434
OG0001108	HELIO_00460, HELIO_08728	YEAST06309
OG0001113	HELIO_11363	YEAST05320
OG0001114	HELIO_01619	YEAST00036, YEAST05811
OG0001124	HELIO_05892, HELIO_11497	YEAST02719
OG0001132	HELIO_09410	YEAST05421
OG0001133	HELIO_03341	YEAST04296
OG0001133	HELIO_10368	YEAST03271
OG0001134	HELIO_12460	YEAST05015
OG0001135	HELIO_07754	YEAST03641
OG0001140	HELIO_11252, HELIO_00781	YEAST03519
OG0001142	HELIO_04691, HELIO_05081	YEAST04001
OG0001163	HELIO_12002	YEAST02433
OG0001164	HELIO_09308, HELIO_08913	YEAST03454
OG0001171	HELIO_07445	YEAST04620, YEAST03578
OG0001175	HELIO_05555, HELIO_11278	YEAST00534
OG0001177	HELIO_06526, HELIO_10848	YEAST06137
OG0001179	HELIO_04085, HELIO_04405, HELIO_06718	YEAST00368, YEAST04831, YEAST02287
OG0001181	HELIO_05206	YEAST02051
OG0001184	HELIO_12185, HELIO_02728	YEAST01681
OG0001185	HELIO_12657	YEAST04969
OG0001186	HELIO_09188, HELIO_01928	YEAST04605, YEAST01886
