Orthogroup	HELIO_ok	APOSC_ok
OG0000032	HELIO_06271, HELIO_05549, HELIO_06177	APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726
OG0000032	HELIO_02546, HELIO_10763, HELIO_07665, HELIO_07198	APOSC_11250, APOSC_11249, APOSC_24933
OG0000034	HELIO_03040	APOSC_28767, APOSC_28766
OG0000034	HELIO_11045	APOSC_01056
OG0000034	HELIO_10910	APOSC_00389
OG0000034	HELIO_05981	APOSC_10138
OG0000034	HELIO_12487	APOSC_10830
OG0000034	HELIO_11629	APOSC_23397
OG0000034	HELIO_08377	APOSC_25715
OG0000035	HELIO_06273	APOSC_21179
OG0000035	HELIO_04621	APOSC_27035
OG0000035	HELIO_03945, HELIO_04376	APOSC_22023, APOSC_22024, APOSC_12588, APOSC_03857, APOSC_23863, APOSC_01826
OG0000035	HELIO_12501	APOSC_25872
OG0000035	HELIO_03534	APOSC_04998
OG0000035	HELIO_06366	APOSC_25573
OG0000035	HELIO_00732	APOSC_08656
OG0000035	HELIO_11539	APOSC_21135, APOSC_21136
OG0000035	HELIO_10164	APOSC_16251
OG0000035	HELIO_04984	APOSC_27270
OG0000036	HELIO_01209, HELIO_01210	APOSC_08020
OG0000036	HELIO_09115	APOSC_04631, APOSC_04630
OG0000036	HELIO_09618	APOSC_25667
OG0000036	HELIO_10881, HELIO_00206, HELIO_04367, HELIO_07074, HELIO_04322	APOSC_07168, APOSC_20421, APOSC_22182
OG0000036	HELIO_07711	APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485
OG0000036	HELIO_02352, HELIO_11421, HELIO_04744	APOSC_06557, APOSC_05790
OG0000037	HELIO_07508	APOSC_16399
OG0000037	HELIO_06312, HELIO_10715	APOSC_03749, APOSC_00065
OG0000037	HELIO_01421	APOSC_24133
OG0000037	HELIO_01377	APOSC_28740
OG0000037	HELIO_04770	APOSC_09579
OG0000037	HELIO_09574, HELIO_11062, HELIO_01380	APOSC_20507, APOSC_00307
OG0000038	HELIO_07209	APOSC_17727, APOSC_26790, APOSC_06670
OG0000039	HELIO_01180	APOSC_00666
OG0000039	HELIO_00133	APOSC_22387
OG0000040	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945	APOSC_12799, APOSC_05455, APOSC_11724, APOSC_11723, APOSC_18664, APOSC_11832, APOSC_16301, APOSC_16488, APOSC_28921, APOSC_07234
OG0000041	HELIO_03057	APOSC_19034
OG0000042	HELIO_12728	APOSC_17021, APOSC_22500
